The Spring series for 2004 is a best 3 out of 4 event series.,,,,,,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,MAR ,APR ,TOTAL,,,,,
,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,
POS,CLS,NAME,JAN,FEB,MAR,APR,TOTAL,,,,,
1,DS,Jeff Deerinwater,920, ,950,899,2769,,,,,
2,GS,Doug Evans,900,937,904, ,2741,,,,,
3,SM,Todd Houser,880,885,913,883,2681,,,,,
4,CSP,Jake Beggy,878,891,897, ,2666,,,,,
5,DS,Jay Balducci,860,949, , ,1809,,,,,
6,AS,Dayron Vargas, ,916,877, ,1793,,,,,
7,CSP,Gary Ray, , ,895,881,1776,,,,,
8,AP/BP,Art Ehman, ,899, ,872,1771,,,,,
9,DSP,Jeremy Hayes,861,898, , ,1759,,,,,
10,HS,Tom Evans, ,883,856, ,1739,,,,,
11,SM,Brian Parks,839,862, , ,1701,,,,,
12,GS,Brian Landes, ,878, ,812,1690,,,,,
13,BS,Matt Francis, ,948, , ,948,,,,,
14,SS,Bill Schroeder, , ,939, ,939,,,,,
15,BS,Jeff Williams, , ,933, ,933,,,,,
16,DS,Michael Whitehouse, , , ,915,915,,,,,
17,STS,Tom Mcintyre,905, , , ,905,,,,,
18,AS,Derek Slife,895, , , ,895,,,,,
19,GS,Brad Owen, , , ,888,888,,,,,
20,SS,Kim Kemper, , , ,885,885,,,,,
21,GS,Harry Berzes, , , ,880,880,,,,,
22,HS,David Webb, ,867, , ,867,,,,,
23,BSP,Jim Cook,859, , , ,859,,,,,
24,SM,Mark Johnson, ,857, , ,857,,,,,
25,BS,Paul Lialios, , , ,857,857,,,,,
26,SM,Dawn Maxwell, ,853, , ,853,,,,,
27,AS,Jeremy Galo,850, , , ,850,,,,,
28,ESP,Jim Knibloe,843, , , ,843,,,,,
29,ESP,Gregory Brewer, ,838, , ,838,,,,,
30,CSP,Chris Peterson,825, , , ,825,,,,,
31,DM,Kevin Cuniff, ,806, , ,806,,,,,
32,STS,Scott Stom, , ,804, ,804,,,,,
33,SM,John Raskob, , , ,803,803,,,,,
34,DM,Adam Rivera, ,801, , ,801,,,,,
35,ASP,Greg Mondeau,778, , , ,778,,,,,
,,,,,,,,,,,,
NOVICE CLASS,,,,,,,,,,,,
POS,CLS,NAME,JAN,FEB,MAR,APR,TOTAL,,,,,
1,DS,Jamal Brewer, ,888,912,885,2685,,,,,
2,DS,John Ellis,880,893,895,877,2668,,,,,
3,STX,Gary Tang,857,920,819,869,2646,,,,,
4,AS,Chris Groppi, ,871,877,864,2612,,,,,
5,SM,Jimmy Cantano,820,868,839,856,2563,,,,,
6,CP,Jeff Eckart, , ,842,811,1653,,,,,
7,GS/FS,Jill Chantengco,780,866, , ,1646,,,,,
8,STX,Laura Mayer, , ,812,790,1602,,,,,
9,SM,Jason Kennedy, , ,950, ,950,,,,,
10,GS,Rich Damp,902, , , ,902,,,,,
11,STS,Daniel Hanström, ,895, , ,895,,,,,
12,HS,John Key, ,891, , ,891,,,,,
13,SS,Nick Farkas, , , ,887,887,,,,,
14,STS,Christopher Lampe, , , ,882,882,,,,,
15,FS,Michael Sanders,842, , , ,842,,,,,
16,FS,Don Chantengco,840, , , ,840,,,,,
17,STS,Adam Stern, , , ,839,839,,,,,
18,ESP,Rich Sanders,834, , , ,834,,,,,
19,CP,Chris Sanders,820, , , ,820,,,,,
20,BS,Rich Boudet,820, , , ,820,,,,,
21,ES,Bryan Sears, , , ,795,795,,,,,
22,DSP,Hisham Abukhzam, , , ,795,795,,,,,
23,CSP,Mark Warner, , , ,781,781,,,,,
24,GS,Alejandrina Vargas, , ,780, ,780,,,,,
25,GS,Robert Bedillion, ,738, , ,738,,,,,
26,HS,Carol Dieckmann, ,720, , ,720,,,,,
27,SM,Carlos Orozco, , , ,564,564,,,,,
