"Here are the results! We had 76 competitors for the Event, and 44 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
5,open,STX,Lee Mayer,95 VW/Jetta,68.744,(2),66.257, ,67.131, ,63.236, ,63.236,46,50.273,31,895,,,,
1,open,SM,David Harsay,00 Ford/Mustang GT,67.725, ,65.536, ,68.884, ,63.050, ,63.050,44,52.836,52,852,,,,
2,open,SM,John Raskob,90 Mitsubishi/Eclipse,64.130, ,63.629, ,64.141, ,63.568, ,63.568,50,53.270,53,845,,,,
3,open,SM,Jerimiah Taylor,95 Chevrolet/Camaro,64.436, ,64.956, ,104.873,(20),63.949, ,63.949,53,53.589,57,840,,,,
1,open,SM2,Keith Lensch,98 chevrolet/corvette,80.253,(20),80.797,(20),81.192,(20),60.111, ,60.111,21,51.034,37,882,,,,
2,open,SM2,Dave Skull,91 Toyota/MR2,83.632,(20),61.249, ,61.110, ,60.692, ,60.692,24,51.528,42,874,,,,
1,open,FJ4,Jaime Baker,71 Chevy /Camaro,56.954, ,77.177,(20),77.983,(22),56.392, ,56.392,5,47.031,7,957,,,,
2,open,FJ4,Kayla Smith,70 Chevy /Camaro,68.569, ,63.635, ,62.061, ,61.251, ,61.251,29,51.083,38,881,,,,
1,ladies,HS,Dawn Maxwell,02 MINI/Cooper,60.647, ,60.745, ,60.286, ,81.282,(20),60.286,22,46.782,5,962,,,,
2,ladies,GS,Kim Sparling,02 Saab/9-3,71.793, ,67.463, ,67.212, ,67.171, ,67.171,68,52.461,47,858,,,,
3,ladies,ASP,Mindi Cross,65 Lotus/Elan,62.978, ,62.306, ,62.461, ,64.405, ,62.306,37,52.835,51,852,,,,
4,ladies,CP,Ronda Smith,69 Chevy /Camaro,65.335, ,63.549, ,62.956, ,63.198,(2),62.956,42,53.764,61,837,,,,
1,novice,DS,Jamal Brewer,04 Dodge/SRT-4,70.965, ,87.011,(20),66.812, ,65.499, ,65.499,61,52.006,44,866,,,,
2,novice,AS,Chris Groppi,04 Subaru/WRX STi,85.811,(20),65.223,(2),62.946, ,63.887,(2),62.946,41,52.119,45,864,,,,
3,novice,SM,Olin Tweed,92 honda/civic,102.073,(20),66.422, ,65.046,(2),63.833, ,63.833,51,53.492,55,842,,,,
4,novice,SM,Jimmy Cantano,98 Acura/Integra,66.461, ,64.534, ,63.889, ,64.325, ,63.889,52,53.539,56,841,,,,
5,novice,FSP,Jason Hostallero,81 BMW/320I,93.659,(20),69.571, ,68.286, ,66.953, ,66.953,67,54.433,64,827,,,,
6,novice,GS,Lindsay Holbrook,04 VW/GTI,91.061,(23),91.733,(20),71.804,(2),70.117, ,70.117,75,54.761,66,822,,,,
7,novice,CSP,Mark Warner,87 Toyota/MR2,74.200, ,68.838, ,67.750, ,66.216, ,66.216,64,55.423,68,812,,,,
8,novice,DSP,Hisham Abukhzam,00 Toyota/Celica GT,69.860, ,67.945, ,69.297,(2),68.341, ,67.945,69,55.647,69,809,,,,
9,novice,DSP,James Wood,99 Hyundai/Tiburon,101.608,(20),73.197,(2),68.744, ,71.661, ,68.744,72,56.301,71,800,,,,
1,street,CSP,Clint Child,00 acura/integra r,59.279, ,58.904, ,59.082, ,81.273,(20),58.904,13,49.303,20,913,,,,
2,street,GS,Brad Owen,01 Nissan/Sentra,64.903, ,65.340, ,63.391, ,64.155, ,63.391,49,49.508,24,909,,,,
3,street,SS,Newton Johnson,04 Corvette/Z06,102.493,(42),61.271, ,60.976, ,59.700, ,59.700,16,49.909,25,902,,,,
4,street,BS,Paul Lialios,00 porsche /boxster,64.645, ,84.382,(20),63.406, ,61.511, ,61.511,34,50.808,33,886,,,,
5,street,BSP,Art Ehman,65 Factory Five/Roadster,61.635, ,60.692, ,63.264,(2),61.098, ,60.692,25,50.921,35,884,,,,
6,street,CSP,Gary Ray,88 BMW/M3,DNF, ,62.188, ,63.735,(2),60.859, ,60.859,27,50.939,36,884,,,,
7,street,DS,John Ellis,00 Toyota/Celica,67.286, ,66.241, ,65.802, ,64.455, ,64.455,58,51.177,39,880,,,,
8,street,SS,Jim Barks,03 Chevy/Corvette,85.268,(20),64.511, ,62.978, ,63.333, ,62.978,43,52.650,49,855,,,,
9,street,ESP,Jim Knibloe,97 Mitsubishi/Eclipse,89.195,(20),66.993, ,65.096, ,63.998, ,63.998,54,52.734,50,854,,,,
10,street,AS,Jeff Williams,02 BMW/M-Roadster,73.920, ,68.673, ,65.145, ,64.562, ,64.562,59,53.457,54,842,,,,
