"Here are the results! We had 71 competitors for the Event, and 43 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
1,open,FJ4,Jamie Baker,Emmick/Cobra,80.911,(20),60.835, ,58.478, ,57.683, ,57.683,9,48.108,12,924,,,,
2,open,FJ4,Kayla Smith,Emmick/Cobra,68.253, ,64.357, ,DNF, ,DNS, ,64.357,49,53.674,53,828,,,,
1,ladies,GS,Kim Sparling,02 Saab/9-3,87.081,(22),74.118,(8),65.088, ,65.040, ,65.040,51,50.796,34,875,,,,
2,ladies,BP,Lori Ehman,65 Factory Five/Cobra,83.231,(6),67.152, ,70.406,(2),65.074, ,65.074,52,56.159,65,791,,,,
1,novice,SS,Nick Farkas,98 Chevy/Corvette,82.157,(20),62.075, ,60.105, ,59.968, ,59.968,19,50.133,22,887,,,,
2,novice,DS,Jamal Brewer,04 Dodge/SRT-4,69.922, ,66.321, ,63.254, ,65.254,(2),63.254,39,50.224,24,885,,,,
3,novice,STS,Christopher Lampe,98 Dodge/Neon,65.683, ,63.730, ,69.443, ,63.908, ,63.730,41,50.410,28,882,,,,
4,novice,DS,John Ellis,00 Toyota/Celica GTS,66.199, ,65.653, ,63.852, ,66.659, ,63.852,43,50.698,33,877,,,,
5,novice,STX,Gary Tang,00 Acura/Integra Type R,89.172,(24),85.625,(22),83.976,(20),64.345, ,64.345,48,51.154,37,869,,,,
6,novice,AS,Chris Groppi,04 Subaru/WRX STi,83.921,(20),64.258, ,62.156, ,62.659, ,62.156,32,51.465,39,864,,,,
7,novice,SM,Jimmy Cantano,98 Acura/Integra,67.367, ,64.639, ,62.847, ,61.924, ,61.924,30,51.892,42,856,,,,
8,novice,STS,Adam Stern,91 Honda/Prelude,71.317, ,67.870, ,69.971,(2),66.957, ,66.957,60,52.963,50,839,,,,
9,novice,CP,Jeff Eckart,88 Chevy/Camaro,88.735,(20),95.489,(26),64.589, ,64.193, ,64.193,47,54.821,58,811,,,,
10,novice,ES,Bryan Sears,87 Mazda/RX-7,74.556, ,69.720, ,74.890,(2),69.502, ,69.502,66,55.880,61,795,,,,
11,novice,DSP,Hisham Abukhzam,00 Toyota/Celica GT,73.012, ,69.842, ,70.015, ,68.268, ,68.268,64,55.911,63,795,,,,
12,novice,STX,Laura Mayer,95 VW/Jetta,75.022, ,72.402, ,70.933, ,70.803, ,70.803,68,56.288,66,790,,,,
13,novice,CSP,Mark Warner,87 Toyota/MR2,72.709, ,68.959, ,68.016, ,87.772,(20),68.016,62,56.929,68,781,,,,
14,novice,SM,Carlos Orozco,95 Nissan /200SX SE-R,DNF, ,DNF, ,DNF, ,94.087,(22),94.087,71,78.845,71,564,,,,
1,street,DS,Michael Whitehouse,03 Mazda/Mazdaspeed Protege,61.416, ,63.737,(2),61.173, ,61.422, ,61.173,28,48.571,14,915,,,,
2,street,DS,Jeff Deerinwater,03 Nissan/Sentra SE-R Spec V,63.056,(2),66.538, ,64.006, ,62.263, ,62.263,34,49.437,18,899,,,,
3,street,GS,Brad Owen,01 Nissan/Sentra SE,73.177,(2),70.375,(4),65.317, ,64.092, ,64.092,46,50.056,21,888,,,,
4,street,SS,Kim Kemper,03 Chev/Corvette,60.103, ,62.815, ,60.475, ,81.102,(20),60.103,22,50.246,25,885,,,,
5,street,SM,Todd Houser,03 Mini/S,62.992, ,60.160, ,61.929,(2),60.086, ,60.086,21,50.352,27,883,,,,
6,street,CSP,Gary Ray,88 BMW/M3,60.825, ,61.094, ,60.295, ,60.268, ,60.268,25,50.444,29,881,,,,
7,street,GS,Harry Berzes,04 Mazda/3s,66.985, ,65.707, ,66.520, ,64.682, ,64.682,50,50.517,31,880,,,,
8,street,BP,Art Ehman,65 Factory Five/Cobra,62.373, ,59.938, ,65.119, ,59.038, ,59.038,14,50.950,36,872,,,,
9,street,BS,Paul Lialios,00 porsche/boxster,91.286,(24),65.258, ,63.880, ,62.815, ,62.815,37,51.885,41,857,,,,
10,street,GS,Brian Landes,98 VW/Jetta,72.470, ,70.305, ,71.016,(2),70.116,(2),70.116,67,54.761,57,812,,,,
11,street,SM,John Raskob,90 Mitsubishi/Eclipse GSX,66.056, ,66.525, ,72.283, ,70.415, ,66.056,55,55.355,60,803,,,,
1,TO,FSP,Jim Harnish,95 Honda/Civic,56.769,(2),54.498, ,61.165,(2),DNS, ,54.498, ,44.307, ,1003,,,,
2,TO,DS,Brian Peters,03 Lexus/IS300,57.674, ,57.061, ,59.457,(2),57.164, ,57.061, ,45.306, ,981,,,,
3,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,61.452,(2),59.110, ,58.578, ,79.782,(20),58.578, ,46.335, ,959,,,,
4,TO,FJ4,Jamie Baker,Emmick/Cobra,56.930, ,56.230, ,55.767, ,56.641, ,55.767, ,46.510, ,956,,,,
5,TO,GS,Chris Sparling,02 Saab/9-3,60.541, ,63.052,(2),67.612,(2),85.248,(20),60.541, ,47.283, ,940,,,,
6,TO,SM2,Keith Lensch,98 chevrolet/corvette,58.278,(2),81.257,(24),56.310, ,56.190, ,56.190, ,47.705, ,932,,,,
