"Here are the results! We had 55 competitors for the Event, and 32 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,street,GS,Brad Owen,01 Nissan/Sentra,53.476, ,52.783, ,53.874, ,54.107, ,52.783,22,41.224,8,937,,,,
2,street,DS,Michael Whitehouse,03 Mazda/Protégé MSP,55.121,(2),53.661, ,55.262,(2),51.968, ,51.968,18,41.263,9,936,,,,
3,street,BS,Brady Dohrmann,04 Nissan/350Z,50.770, ,50.129, ,53.243,(2),50.312, ,50.129,6,41.407,10,933,,,,
4,street,BS,Paul Lialios,00 Porsche/Boxster,51.906, ,51.355, ,51.022, ,50.516, ,50.516,8,41.726,11,926,,,,
5,street,STS,John Ellis,00 Toyota/Celica GTS,54.477, ,76.023,(20),54.905, ,53.587, ,53.587,26,42.387,14,912,,,,
6,street,DS,Jamal Brewer,04 Dodge/SRT-4,76.236,(20),55.255, ,53.910, ,53.869, ,53.869,32,42.772,17,903,,,,
7,street,SS,Bill Schroeder,02 Chevrolet/Corvette,51.226, ,52.114, ,55.164,(2),51.504, ,51.226,13,42.825,18,902,,,,
8,street,BS,Kim Kemper,01 Mercedes/230 SLK,53.654, ,53.965, ,52.867, ,52.612, ,52.612,20,43.458,23,889,,,,
9,street,DS,Jack Drummond,4 Dodge/SRT4,57.392, ,55.537, ,55.861, ,54.991, ,54.991,35,43.663,24,885,,,,
10,street,STS,Rob Michaels,95 Nissan/240sx,58.650, ,63.328,(2),58.932, ,58.498, ,58.498,47,46.272,39,835,,,,
11,street,STS,Ross Jackson,89 VW/Golf,66.477,(2),81.127,(20),58.860, ,58.604, ,58.604,48,46.356,40,833,,,,
12,street,DS,Trevor Watson,03 Mazda/Protege5,68.595, ,66.749,(4),61.622,(2),59.530, ,59.530,49,47.267,43,817,,,,
13,street,AP,Dave Koepp,65 Cobra,89.942,(20),59.063, ,57.042, ,57.160,(2),57.042,42,49.512,51,780,,,,
1,TO,STX,Joshua Sortor,02 Subaru/Impreza WRX,52.028,(4),48.661, ,47.447, ,DNS, ,47.447, ,37.720, ,1024,,,,
2,TO,STS,David Rock,03 Toyota/Celica GTS,50.076, ,50.550, ,49.512, ,51.403, ,49.512, ,39.164, ,987,,,,
3,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,51.390, ,52.937,(2),52.671,(2),55.046,(4),51.390, ,40.649, ,951,,,,
4,TO,CS,Dawn Maxwell,99 Mazda/Miata,52.906,(2),50.230, ,51.086,(2),50.389, ,50.230, ,40.737, ,948,,,,
5,TO,ASP,Mark Johnson,65 Lotus/Elan,49.771, ,52.599, ,50.646,(2),48.385, ,48.385, ,41.030, ,942,,,,
6,TO,GS,Chris Sparling,02 Saab/9-3,53.510, ,57.224,(4),52.983, ,53.834, ,52.983, ,41.380, ,934,,,,
7,TO,STX,Fernando Ma,02 Volkswagen/GTI,53.957, ,52.551, ,59.804,(2),58.991,(2),52.551, ,41.778, ,925,,,,
8,TO,STS,John Ellis,00 Toyota/Celica GTS,53.802, ,53.032, ,54.091, ,53.239, ,53.032, ,41.948, ,921,,,,
9,TO,GS,Brad Owen,01 Nissan/Sentra,55.335,(2),59.501,(6),DNF, ,53.809, ,53.809, ,42.025, ,919,,,,
10,TO,DSP,Ron Terrien,95 Honda/Prelude,51.790, ,51.604, ,51.414, ,55.172,(2),51.414, ,42.108, ,918,,,,
11,TO,STX,Jeff Braciak,01 Pontiac/Firebird V6,55.476,(2),53.408, ,53.368, ,53.068, ,53.068, ,42.189, ,916,,,,
12,TO,SM2,Enrique Aviles,82 Mazda/RX-7,50.172, ,54.731,(4),51.075, ,57.973, ,50.172, ,42.596, ,907,,,,
13,TO,AS,Christopher Groppi,04 Subaru/WRX STi,52.769, ,53.945,(2),52.391, ,51.833, ,51.833, ,42.918, ,900,,,,
