"Here are the results! We had 97 competitors for the Event, and 39 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
3,open,STS,Matt Durban,98 BMW/318ti,73.675, ,72.252, ,DNF, ,71.474, ,71.474,44,56.536,22,941,,,,
4,open,STS,Adam Moore,87 BMW/325is,73.338,(2),82.254, ,76.623,(2),74.390, ,73.338,57,58.010,31,917,,,,
5,open,STS,Rob Michaels,95 Nissan/240SX,93.402,(4),86.042,(2),76.390, ,80.601,(4),76.390,75,60.424,55,881,,,,
6,open,STS,Jace Kelley,98 Mitsubishi/Eclipse,108.161,(20),82.002, ,80.701, ,81.779,(4),80.701,86,63.834,72,834,,,,
7,open,STS,Robert Moore,97 Nissan/200SX SC-R,DNF, ,DNF, ,86.726, ,102.538,(20),86.726,93,68.600,88,776,,,,
8,open,STS,Dennis Lach,99 Subaru/Impreza,98.588,(20),DNF, ,DNF, ,DNS, ,98.588,96,77.983,96,682,,,,
1,open,STU,Chris Lampe,05 Subaru/WRX STi,73.512, ,72.535, ,105.566,(30),75.436,(2),72.535,52,59.986,50,887,,,,
1,open,STX,Mike Quigley,02 subaru/wrx,74.021,(2),70.191,(2),75.503,(6),69.936, ,69.936,28,55.599,13,957,,,,
2,open,STX,Aric Trust,03 MINI/Cooper S,73.775, ,71.852, ,70.966, ,72.594,(2),70.966,38,56.418,18,943,,,,
3,open,STX,Jeff Braciak,01 Pontiac/Firebird V6,74.140, ,77.245,(4),73.503, ,72.125, ,72.125,49,57.339,25,928,,,,
4,open,STX,Fernando Ma,02 Volkswagen/GTI,73.903, ,74.855,(2),83.455,(4),79.819,(8),73.903,62,58.753,41,906,,,,
5,open,STX,Lee Mayer,95 VW/Jetta,97.634,(20),76.136, ,75.528, ,75.073, ,75.073,69,59.683,49,892,,,,
6,open,STX,Gregory Heikkila,04 Lexus/IS300,DNF, ,DNF, ,87.439,(4),106.609,(20),87.439,94,69.514,92,766,,,,
1,open,SM,Frank Miller,02 Chevy/Camaro SS Coupe,75.407, ,76.559,(2),73.126, ,73.181, ,73.126,55,61.280,60,868,,,,
2,open,SM,Mark Wilson,92 Honda/Civic Si,100.212,(8),87.653, ,82.694, ,123.476,(20),82.694,90,69.298,89,768,,,,
1,open,SM2,Dan MacKean,71 datsun/240z,66.693, ,72.063,(4),66.452, ,98.832,(24),66.452,11,56.418,17,943,,,,
2,open,SM2,Dave Skull,91 Toyota/MR2,71.611, ,69.209, ,74.158,(4),69.100, ,69.100,22,58.666,40,907,,,,
3,open,SM2,Keith Lensch,98 chevrolet/corvette,92.427,(20),71.421, ,71.812, ,90.330,(20),71.421,43,60.636,56,878,,,,
1,ladies,HS,Dawn Maxwell,02 MINI/Cooper,71.007, ,72.819,(4),72.914,(2),71.646, ,71.007,39,55.101,11,966,,,,
2,ladies,ASP,Mindi Cross,65 Lotus/Elan,69.627,(2),67.122, ,74.638, ,66.578, ,66.578,12,56.458,20,943,,,,
3,ladies,GS,Kim Sparling,02 Saab/9-3,77.702,(2),76.740, ,74.816, ,73.994, ,73.994,63,57.789,28,921,,,,
4,ladies,SS,Kat Kemper,03 Chev/Corvette,78.602, ,71.886, ,72.527, ,70.089, ,70.089,29,58.594,38,908,,,,
5,ladies,AS,Lorena Porter,02 BMW/M Roadster,107.242,(22),112.456,(26),102.812,(20),79.800, ,79.800,85,66.074,81,805,,,,
1,novice,HS,JamesFlynn,96 BMW/318si,83.202, ,79.916, ,79.540, ,78.855, ,78.855,83,61.191,59,870,,,,
2,novice,CS,Siho Lee,02 Toyota/MR2 Spyder,82.490, ,97.600,(20),78.115, ,76.171, ,76.171,74,61.775,61,861,,,,
3,novice,SM,Jimmy Cantano,98 Acura/Integra,95.965,(20),77.421, ,74.156, ,79.890, ,74.156,64,62.143,65,856,,,,
4,novice,SM,Alan Monkawa,87 Mazda/RX-7,92.796,(20),76.070, ,DNF, ,75.017, ,75.017,68,62.864,66,847,,,,
5,novice,HS,Michael Woodard,89 Honda/Accord,86.538, ,83.841, ,81.816, ,81.196, ,81.196,87,63.008,67,845,,,,
6,novice,CM,Gene Sanders,72 Formula Ford/Caldwell,73.055, ,84.027,(4),72.049, ,69.777, ,69.777,26,63.706,69,835,,,,
