"Here are the results! We had 71 competitors for the Event, and 36 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
5,open,STX,Jeremy Galo,00 Honda/Prelude Type SH,52.156,(4),46.736, ,47.148, ,48.534,(2),46.736,46,37.155,32,898,,,,
6,open,STX,Lee Mayer,95 VW/Jetta,49.309, ,47.679, ,47.652, ,48.074, ,47.652,53,37.883,40,880,,,,
7,open,STX,Greg Mondeau,89 BMW/M3,51.489, ,51.321, ,50.273, ,49.467, ,49.467,60,39.326,54,848,,,,
1,open,SM2,Keith Lensch,98 chevrolet/corvette,46.170, ,47.128,(2),67.863,(20),44.260, ,44.260,23,37.577,37,888,,,,
2,open,SM2,Dave Skull,91 Toyota/MR2,45.323, ,44.337, ,44.557, ,45.782, ,44.337,25,37.642,38,886,,,,
1,open,FJ4,Kayla Smith,00 Emmick/Cobra,58.249, ,50.720, ,49.165, ,47.907, ,47.907,55,39.954,60,835,,,,
1,ladies,HS,Dawn Maxwell,02 MINI/Cooper,52.451,(2),45.650, ,45.152, ,44.875, ,44.875,31,34.823,9,958,,,,
2,ladies,ASP,Mindi Cross,65 Lotus/Elan,46.278,(4),45.820,(2),41.864, ,41.443, ,41.443,6,35.144,12,949,,,,
3,ladies,GS,Kim Sparling,02 Saab/9-3,50.393, ,49.249, ,49.543, ,49.545, ,49.249,59,38.463,48,867,,,,
4,ladies,BS,Lorena Porter,00 bmw/m roadster,DNF, ,58.860, ,52.197, ,50.343, ,50.343,63,41.583,67,802,,,,
1,novice,SM,Jason Kennedy,86 mazda/RX7,43.075, ,49.116,(6),42.856, ,41.905, ,41.905,9,35.116,11,950,,,,
2,novice,DS,Jamal Brewer,04 Dodge/SRT-4,49.722, ,47.267, ,47.879, ,46.054, ,46.054,40,36.567,26,912,,,,
3,novice,DS,John Ellis,00 toyota/celica gts,48.996, ,47.324, ,46.916, ,47.353, ,46.916,47,37.251,34,895,,,,
4,novice,AS,Chris Groppi,04 Subaru/WRX STi,47.202, ,46.916, ,46.236, ,45.914, ,45.914,37,38.017,41,877,,,,
5,novice,CP,jeff Eckart,88 Chevy/Camaro,48.573, ,59.632,(14),46.393, ,46.478, ,46.393,42,39.620,56,842,,,,
6,novice,SM,Jimmy Cantano,98 Acura/Integra,48.346, ,47.444, ,52.421,(4),47.492, ,47.444,52,39.758,58,839,,,,
7,novice,STX,Gary Tang,00 Acura/Integra Type R,56.565,(2),51.233, ,DNF, ,DNF, ,51.233,64,40.730,63,819,,,,
8,novice,STX,Laura Mayer,95 VW/Jetta,62.534, ,53.893, ,53.703, ,51.652, ,51.652,65,41.063,64,812,,,,
9,novice,GS,Alejandrina Vargas,92 Nissan/240 SX,75.220,(20),56.139,(2),54.780, ,54.928, ,54.780,70,42.783,69,780,,,,
1,street,DS,Jeff Deerinwater,03 Nissan/Sentra SE-R Spec V,45.556, ,61.023,(2),45.364, ,44.193, ,44.193,22,35.089,10,950,,,,
2,street,SS,Bill Schroeder,02 Chevrolet/Corvette,44.674, ,43.408, ,43.166, ,42.491, ,42.491,12,35.522,15,939,,,,
3,street,BS,Jeff Williams,00 bmw/m roadster,47.515, ,43.702, ,43.553, ,43.279, ,43.279,15,35.748,18,933,,,,
4,street,SM,Todd Houser,03 Mini/S,46.404, ,51.120,(4),44.864, ,43.590, ,43.590,16,36.528,25,913,,,,
5,street,GS,Doug Evans,02 Ford/Focus SVT,48.330, ,47.800, ,49.890,(2),47.228, ,47.228,50,36.885,29,904,,,,
6,street,CSP,Jake Beggy,88 BMW/M3,46.257, ,44.445, ,45.063, ,48.281,(4),44.445,26,37.200,33,897,,,,
7,street,CSP,Gary Ray,88 BMW/M3,44.536, ,45.274, ,45.700, ,44.883, ,44.536,27,37.277,35,895,,,,
8,street,AS,Dayron Vargas,02 BMW/M3 Convertible,48.414,(2),47.612,(2),50.649,(4),45.921, ,45.921,38,38.023,42,877,,,,
9,street,HS,Tom Evans,79 FIAT/Spider,51.249, ,51.693, ,50.184, ,51.860, ,50.184,62,38.943,53,856,,,,
10,street,STS,Scott Stom,02 Saturn/L200,55.292, ,52.420, ,59.253,(8),52.889,(2),52.420,67,41.464,65,804,,,,
1,TO,STX,Joshua Sortor,02 Subaru/Impreza WRX,41.426, ,42.099, ,41.917, ,49.421,(8),41.426, ,32.934, ,1013,,,,
