"Here are the results! We had 67 competitors for the Event, and 42 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,ladies,CS,Dawn Maxwell,99 Mazda/Miata,46.223, ,47.167,(2),50.878, ,45.082, ,45.082,13,36.562,11,946,,,,
2,ladies,STS,Mindi Cross,01 Ford/Focus,49.557, ,49.516, ,48.890, ,51.440,(2),48.890,52,38.672,37,894,,,,
3,ladies,GS,Kim Sparling,02 Saab/9-3,52.328, ,51.531, ,50.873, ,50.965, ,50.873,57,39.732,47,870,,,,
4,ladies,CP,Ronda Smith,68 Camaro,51.465, ,49.292, ,48.543, ,47.320, ,47.320,35,40.411,51,856,,,,
5,ladies,STS,Lorena Porter,02 Honda/Civic Si,56.504, ,53.891, ,54.714, ,DNS, ,53.891,67,42.628,59,811,,,,
1,novice,DS,Jamal Brewer,04 Dodge/SRT4,49.347, ,49.043, ,48.169, ,47.165, ,47.165,33,37.449,18,923,,,,
2,novice,ES,Dennis Zygel,87 toyota/supra,52.510,(2),48.515, ,47.710, ,DNS, ,47.710,38,38.359,30,901,,,,
3,novice,HS,Rich Mckearney,69 datsun/510,54.700, ,52.252, ,51.192, ,52.251, ,51.192,59,39.725,46,870,,,,
4,novice,HS,Bernard Mckearney,69 datsun/510,55.657,(4),51.645, ,51.328, ,52.443,(2),51.328,61,39.831,48,868,,,,
5,novice,AS,Christopher Lampe,05 Subaru/WRX STI,52.800, ,48.849, ,48.175, ,48.549, ,48.175,42,39.889,49,867,,,,
6,novice,BS,Rob Rockefeller,00 Honda/S2000,54.253,(2),DNF, ,51.606, ,53.266,(2),51.606,62,42.627,58,811,,,,
7,novice,SS,Kyle Kemper,03 Chev/Corvette,63.776, ,68.101, ,56.373, ,52.557, ,52.557,63,43.938,63,787,,,,
1,street,BS,Paul Lialios,00 porsche/boxster,48.333,(2),65.804,(20),45.309, ,47.195,(2),45.309,16,37.425,17,924,,,,
2,street,SS,Newton Johnson,04 Corvette/Z06,45.506, ,45.392, ,44.912, ,46.328,(2),44.912,11,37.546,19,921,,,,
3,street,BS,Brady Dohrmann,04 Nissan/350Z,46.051, ,45.947, ,45.652, ,46.224, ,45.652,19,37.709,22,917,,,,
4,street,DS,Mike Rogers,94 bmw/325is,48.680, ,48.390, ,47.498, ,48.027, ,47.498,37,37.713,23,917,,,,
5,street,GS,Brad Owen,01 Nissan/Sentra,49.170, ,48.997, ,48.783, ,49.077, ,48.783,49,38.100,26,907,,,,
6,street,CS,Michael Whitehouse,99 Mazda/Miata,47.747, ,48.162, ,47.111, ,47.699, ,47.111,31,38.207,28,905,,,,
7,street,SS,Bill Schroeder,02 Chevrolet/Corvette,47.306, ,46.273, ,46.014, ,67.069,(20),46.014,21,38.468,32,899,,,,
