"Here are the results! We had 74 competitors for the Event, and 33 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,SM2,Dave Skull,91 Toyota/MR2,58.297, ,58.225, ,58.055, ,57.016, ,57.016,10,48.407,14,941,,,,
2,open,SM2,Harry Berzes,94 Mazda/Miata,58.506, ,58.153, ,57.588, ,59.478,(2),57.588,14,48.892,16,931,,,,
3,open,SM2,Enrique Aviles,82 Mazda/RX-7,62.903, ,61.518, ,59.295, ,59.144, ,59.144,18,50.213,29,907,,,,
4,open,SM2,Keith Lensch,98 chevrolet/corvette,85.768,(20),62.985, ,61.295, ,60.379, ,60.379,24,51.262,46,888,,,,
1,open,FJ4,Kayla Smith,00 Emmick/Cobra,77.463,(2),65.408, ,64.863, ,62.894, ,62.894,48,52.454,54,868,,,,
1,ladies,SS,Kat Kemper,03 Chev/Corvette,62.685, ,62.386, ,61.030, ,59.375, ,59.375,20,49.638,21,917,,,,
2,ladies,ASP,Mindi Cross,65 Lotus/Elan,58.940, ,58.658, ,DNF, ,59.913, ,58.658,16,49.742,22,915,,,,
3,ladies,GS,Kim Sparling,02 Saab/9-3,70.779,(2),65.968, ,65.315, ,70.392,(2),65.315,61,51.011,42,893,,,,
4,ladies,AS,Lorena Porter,02 BMW/M Roadster,70.034, ,65.451, ,74.086,(4),67.522, ,65.451,62,54.193,65,840,,,,
5,ladies,CP,Ronda Smith,68 Chev/Camaro,84.752, ,65.942, ,64.760, ,102.273,(20),64.760,58,55.305,69,823,,,,
1,novice,STS,Jacob Treguloff,01 Mitsubishi/Eclipse GS,71.573, ,68.764, ,69.085, ,67.435, ,67.435,71,53.341,59,854,,,,
2,novice,DSP,Shane Pootrakul,03 BMW/330i ZHP,77.209, ,68.001, ,88.454,(20),65.177, ,65.177,60,53.380,60,853,,,,
3,novice,CS,Jason Piper,99 Mazda/Miata,68.743,(2),66.412, ,70.378, ,67.039, ,66.412,67,53.860,63,845,,,,
4,novice,CM,Carlos Murphy,88 honda/crx si,107.277,(24),70.650, ,92.690,(24),67.975,(2),67.975,73,62.061,74,734,,,,
1,street,DS,Jay Balducci,02 Subaru/WRX,63.816, ,63.709,(2),67.902,(2),60.416, ,60.416,26,47.970,10,949,,,,
2,street,DS,Jeff Deerinwate,03 Nissan/Sentra SE-R Spec V,65.322, ,62.046, ,74.378,(4),61.536, ,61.536,36,48.860,15,932,,,,
3,street,GS,Brad Owen,01 Nissan/Sentra,63.058, ,86.169,(20),DNF, ,65.069, ,63.058,49,49.248,19,925,,,,
4,street,SS,Bill Schroeder,02 Chev/Corvette,61.394, ,60.100, ,59.990, ,59.522, ,59.522,21,49.760,23,915,,,,
