"Here are the results! We had 50 competitors for the Event, and 32 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
5,novice,GS,Sande Smith,04 Audi/A6,62.246, ,59.725, ,55.021, ,62.058,(6),54.113, ,54.113,50,42.262,45,842
6,novice,STS,James Chandler,04 Mitsubishi/Lancer,55.012, ,60.068,(6),54.982, ,54.524, ,53.829, ,53.829,49,42.579,47,836
7,novice,DSP,Peter Lancaster,90 Nissan/240SX,58.815, ,71.453, ,54.763, ,54.567, ,52.656, ,52.656,48,43.125,48,825
8,novice,SM,Andrew Gardner,83 Fiat/X19,55.636, ,53.554, ,52.749, ,52.122, ,74.193,(20),52.122,46,43.678,49,815
1,street,GS,Brad Owen,01 Nissan/Sentra,52.675,(2),62.502,(6),49.913, ,49.281, ,48.839, ,48.839,31,38.143,13,933
2,street,DS,Jamal Brewer,04 Dodge/SRT-4,52.005, ,49.304, ,49.015, ,60.043,(4),51.032,(2),49.015,34,38.918,21,914
3,street,CSP,Gary Ray,88 BMW/M3,62.592,(2),49.456, ,49.780,(2),50.035, ,47.597, ,47.597,21,39.839,29,893
4,street,ESP,Jim Knibloe,97 Mitsubishi/Eclipse,50.685, ,50.278, ,49.234, ,51.725,(2),48.879, ,48.879,32,40.276,36,884
5,street,HS,Tom Evans,79 Fiat/124 Spider,55.516, ,56.168,(2),54.481,(2),52.749, ,52.632, ,52.632,47,40.842,38,871
1,TO,DSP,Brian Peters,95 Acura/Integra GS-R,42.977, ,45.126,(2),47.544,(4),46.989,(4),44.678,(2),42.977, ,35.198, ,1011
2,TO,STS,David Rock,03 Toyota/Celica GTS,45.659, ,45.465, ,44.831, ,44.755, ,47.046,(2),44.755, ,35.401, ,1005
3,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,46.122, ,45.634, ,45.904, ,45.473, ,44.821, ,44.821, ,35.453, ,1004
4,TO,DSP,Ben Clement,95 Acura/Integra GSR,46.399,(2),44.521, ,44.180, ,43.495, ,45.158,(2),43.495, ,35.622, ,999
5,TO,ASP,Mindi Cross,65 Lotus/Elan,68.850,(20),43.076, ,45.978,(2),71.711,(26),47.704, ,43.076, ,36.528, ,974
6,TO,STX,Craig Meyer,01 Ford/Mustang GT,47.856, ,47.505, ,47.395, ,49.020,(2),46.680, ,46.680, ,37.111, ,959
7,TO,STS,John Ellis,00 toyota/celica gts,48.442, ,49.451,(2),48.568, ,47.450, ,47.590, ,47.450, ,37.533, ,948
8,TO,STX,Jeff Braciak,01 Pontiac/Firebird V6,48.921, ,48.188, ,51.143,(4),49.912,(2),47.832, ,47.832, ,38.026, ,936
9,TO,GS,Brad Owen,01 Nissan/Sentra,49.014, ,52.254,(4),50.633, ,49.135, ,49.437, ,49.014, ,38.280, ,930
10,TO,BS,Rob Rockefeller,00 Honda/S2000,48.315,(2),48.098,(2),60.099,(10),50.816,(2),46.371, ,46.371, ,38.302, ,929
11,TO,SS,Elvis Presley,05 Lotus/Elise,50.224,(4),48.232,(2),46.625, ,46.066, ,48.530,(2),46.066, ,38.511, ,924
12,TO,AS,Chris Lampe,05 Subaru/WRX STi,68.088,(20),46.827, ,49.673,(2),47.975, ,50.746,(2),46.827, ,38.773, ,918
13,TO,STX,Fernando Ma,02 Volkswagen/GTI,51.689,(2),56.814,(4),49.016,(2),54.131,(2),53.576,(4),49.016, ,38.968, ,913
14,TO,SS,Newton Johnson,04 Corvette/Z06,48.010,(2),48.619,(2),46.620, ,DNS, ,DNS, ,46.620, ,38.974, ,913
15,TO,DM,David Lahey,94 Mazda/Miata,49.755,(2),45.547, ,44.167, ,48.174,(4),56.304,(12),44.167, ,39.132, ,909
16,TO,GS,Mike Smith,04 Audi/A6,55.252,(4),50.156, ,50.342, ,53.096, ,52.198,(2),50.156, ,39.172, ,909
17,TO,CS,Siho Lee,02 Toyota/MR2 Spyder,48.534, ,52.667,(4),DNS, ,DNS, ,DNF, ,48.534, ,39.361, ,904
18,TO,SM2,Mark Eddy,7? Nissan/240Z,47.807, ,51.803,(4),68.800,(20),46.388, ,46.835, ,46.388, ,39.383, ,904
19,TO,STS,Rob Michaels,95 nissan/240sx,51.225, ,49.797, ,52.007,(2),53.394,(4),51.487,(2),49.797, ,39.389, ,904
20,TO,FJ4,Jamie Baker,Kart,DNF, ,48.774,(2),55.043, ,50.991,(4),47.270,(2),47.270, ,39.423, ,903
21,TO,BP,Keith Lensch,98 chevrolet/corvette,46.651, ,48.282,(2),45.715, ,46.534, ,55.517, ,45.715, ,39.452, ,902
22,TO,CS,Zach Heidepriem,00 Toyota/MR2 Spyder,51.556,(2),49.632,(2),48.742, ,70.687,(20),52.775, ,48.742, ,39.530, ,900
23,TO,GS,Sande Smith,04 Audi/A6,56.033,(6),57.436,(4),51.215, ,51.673, ,50.624, ,50.624, ,39.537, ,900
24,TO,BS,Brian Malm,86 Porsche/928S,48.537, ,52.453,(4),50.127,(2),49.878,(2),73.118,(26),48.537, ,40.092, ,888
25,TO,ESP,Jim Knibloe,97 Mitsubishi/Eclipse,49.265, ,51.943,(4),69.112,(20),48.761, ,51.652,(4),48.761, ,40.179, ,886
26,TO,FJ4,Kayla Smith,Emick/Kart,56.132, ,61.380, ,79.317,(4),48.393, ,54.500,(2),48.393, ,40.360, ,882
27,TO,FP,Enrique Aviles,82 Mazda/RX-7,49.268, ,48.142, ,54.400, ,47.018, ,55.384, ,47.018, ,40.530, ,878
28,TO,STS2,Jimmy Cantano,94 Mazda/Miata,57.333,(6),52.675,(2),50.454, ,51.420,(2),50.588, ,50.454, ,40.868, ,871
29,TO,CP,Kenny Smith,68 Chevy/Camaro,49.254, ,48.843, ,49.412, ,52.333,(4),50.606,(2),48.843, ,41.712, ,853
30,TO,STS,James Chandler,04 Mitsubishi/Lancer,53.595, ,56.975,(4),56.597,(4),54.965,(4),53.968,(2),53.595, ,42.394, ,839
31,TO,CP,Jesse Smith,68 Chevy/Camaro,51.150,(2),60.944,(4),49.806, ,81.669,(20),50.187, ,49.806, ,42.534, ,837
32,TO,EP,Robert Slocum,Mazda/RX7,53.414, ,53.160, ,52.437, ,52.542, ,52.099, ,52.099, ,44.857, ,793
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
