"Here are the rusults! We had 71 competitors for the Event, and 35 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
5,open,SM2,Greg Toy,91 Toyota/MR2,97.362,(20),DNS, ,70.127, ,71.967, ,70.127,60,59.538,64,774,,,,
1,open,KT,Dan MacKean,00 Trackmagic/Diablo,62.650, ,78.825,(20),56.669, ,59.975,(2),56.669,5,53.156,41,867,,,,
2,open,KT,Abraham Jones,00 Trackmagic/Diablo,61.942, ,58.100, ,106.726,(20),58.354,(2),58.100,12,54.498,46,846,,,,
1,ladies,SS,Kat Kemper,03 Chev/Corvette,64.503, ,62.802,(2),61.703,(2),58.613, ,58.613,18,49.000,19,941,,,,
2,ladies,HS,Mindi Cross,01 Ford/Focus,65.688, ,63.615, ,63.428, ,64.981,(2),63.428,45,49.220,21,937,,,,
3,ladies,STS,Lorena Porter,02 honda/civic si,72.775, ,71.046,(2),DNF, ,73.858,(2),71.046,63,56.197,54,820,,,,
4,ladies,SS,Andrea Baker,03 Chev/Corvette,105.693, ,95.328, ,80.594, ,70.953, ,70.953,62,59.317,62,777,,,,
1,novice,DS,Jamal Brewer,04 Dodge/SRT-4,63.054, ,63.261,(2),61.113, ,60.547, ,60.547,26,48.074,10,959,,,,
2,novice,AS,Christopher Groppi,04 Subaru/WRX STi,63.665, ,68.476, ,61.091, ,60.600, ,60.600,27,50.177,29,919,,,,
3,novice,BS,Rob Rockefeller,00 Honda/S2000,63.708, ,69.750, ,63.338, ,64.545,(2),63.338,43,52.317,38,881,,,,
4,novice,GS,Briant Luong,04 Mazda/6,111.973,(20),DNF, ,73.156, ,71.471,(2),71.471,65,55.819,52,826,,,,
5,novice,SS,Kyle Kemper,03 Chev/Corvette,68.743, ,76.289,(4),73.492, ,71.057,(2),68.743,57,57.469,56,802,,,,
6,novice,HS,James Chandler,4 Mits./Lancer,85.144,(2),75.950,(2),74.337,(2),74.297,(2),74.297,67,57.654,57,800,,,,
7,novice,AS,Lamar Jordan,01 BMW/M3,DNF, ,113.286, ,78.049, ,71.575, ,71.575,66,59.264,61,778,,,,
8,novice,ASP,Gregory Brewer,90 Nissan/300ZX Turbo,DNW, ,DNW, ,DNW, ,DNW, ,DNW, , , , ,,,,
1,street,SS,Newton Johnson,04 Corvette/Z06,62.287, ,61.185,(4),58.759,(2),56.573, ,56.573,4,47.295,8,975,,,,
2,street,BS,Brady Dohrmann,04 Nissan/350Z,59.763,(2),63.938, ,58.035, ,57.285, ,57.285,8,47.317,9,974,,,,
3,street,GS,Jeff Deerinwater,99 Acura/Integra GS-R,88.133,(22),62.560, ,66.501,(4),62.312, ,62.312,36,48.666,15,947,,,,
4,street,SS,Bill Schroeder,02 Chevy/Corvette,60.823, ,58.387, ,58.923, ,61.355,(2),58.387,15,48.812,16,945,,,,
5,street,BS,Paul Lialios,00 porsche/boxster,62.439, ,60.885, ,60.409, ,59.295, ,59.295,21,48.978,18,941,,,,
6,street,DS,Jack Drummond,4 Dodge/SRT4,68.432, ,68.046, ,62.905, ,63.026, ,62.905,39,49.947,26,923,,,,
7,street,STS,John Ellis,00 Toyota/Celica GTS,87.306,(20),63.609, ,63.368, ,83.169,(20),63.368,44,50.124,28,920,,,,
8,street,ESP,Jim Knibloe,97 Mitsubishi/Eclipse,62.256, ,62.034, ,85.675,(24),61.271, ,61.271,33,50.487,32,913,,,,
9,street,GS,Brad Owen,01 Nissan/Sentra,71.757,(2),67.217,(4),65.824,(2),64.877, ,64.877,48,50.669,33,910,,,,
10,street,CSP,Gary Ray,88 BMW/M3,63.870,(2),63.050,(2),61.121, ,61.048, ,61.048,31,51.097,35,902,,,,
11,street,ES,Ian Bennett,91 Mazda/RX-7,88.021,(20),66.543, ,66.632, ,70.297, ,66.543,52,53.501,43,862,,,,
12,street,SM,Justin Ashler,92 Acur/Integra,88.365,(20),87.016,(20),68.732,(2),66.681, ,66.681,53,55.879,53,825,,,,
13,street,SM,Jeffrey Nappi,95 Nissan/240sx,DNF, ,70.902,(2),89.452,(20),DNF, ,70.902,61,59.416,63,776,,,,
1,TO,STS,David Rock,03 Toyota/Celica GTS,59.567,(2),61.081,(2),57.693, ,58.758, ,57.693, ,45.635, ,1010,,,,
2,TO,SS,Newton Johnson,04 Corvette/Z06,56.473, ,55.721, ,DNS, ,DNS, ,55.721, ,46.583, ,990,,,,
3,TO,BS,Brian Peters,04 Nissan/350Z,57.454, ,56.558, ,56.675, ,56.496, ,56.496, ,46.666, ,988,,,,
4,TO,BS,Brady Dohrmann,04 Nissan/350Z,56.811, ,78.087,(20),59.033,(2),57.793, ,56.811, ,46.926, ,982,,,,
5,TO,GS,Chris Sparling,02 Saab/9-3,60.261, ,73.150,(2),66.109, ,66.163,(4),60.261, ,47.064, ,980,,,,
6,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,59.566, ,64.714,(4),61.729,(2),59.528, ,59.528, ,47.087, ,979,,,,
7,TO,HS,David Webb,01 Ford/Focus,62.076, ,63.140,(2),61.513, ,DNS, ,61.513, ,47.734, ,966,,,,
8,TO,STX,Fernando Ma,02 Volkswagen/GTI,60.340, ,67.632,(4),85.231,(22),89.990,(24),60.340, ,47.970, ,961,,,,
9,TO,STS,John Ellis,00 Toyota/Celica GTS,63.630, ,61.962, ,66.753,(4),62.014, ,61.962, ,49.012, ,941,,,,
10,TO,DSP,Ron Terrien,95 Honda/Prelude,63.695,(2),60.705, ,60.256, ,59.948, ,59.948, ,49.097, ,939,,,,
11,TO,SM2,Keith Lensch,98 chevrolet/corvette,77.856,(20),62.392,(4),60.173, ,57.920, ,57.920, ,49.174, ,938,,,,
12,TO,STX,Jeff Braciak,01 Pontiac/Firebird,61.932, ,73.346,(4),62.854, ,DNS, ,61.932, ,49.236, ,936,,,,
13,TO,GS,Brad Owen,01 Nissan/Sentra,64.089, ,63.118, ,66.076,(4),65.033,(2),63.118, ,49.295, ,935,,,,
14,TO,STS,Jeff Williams,02 honda/civic si,66.745,(4),64.193,(2),62.790, ,62.419, ,62.419, ,49.373, ,934,,,,
15,TO,AS,Christopher Groppi,04 Subaru/WRX STi,60.275, ,64.738,(2),61.048, ,59.928, ,59.928, ,49.620, ,929,,,,
16,TO,EM,Tom Hill,88 Pontiac/Cadero,56.778, ,60.549, ,57.257, ,55.538, ,55.538, ,49.651, ,929,,,,
17,TO,STS,Dennis Lach,99 Subaru /Impreza,63.161, ,79.385, ,64.459,(2),65.153,(2),63.161, ,49.960, ,923,,,,
18,TO,ESP,Jim Knibloe,97 Mitsubishi/Eclipse,61.740, ,60.658, ,60.641, ,60.743, ,60.641, ,49.968, ,923,,,,
19,TO,SM2,Mark Eddy,71 datsun/240z,59.552, ,64.921,(6),80.539,(20),DNS, ,59.552, ,50.560, ,912,,,,
20,TO,SM2,Enrique Aviles,82 Mazda/RX-7,61.634, ,62.317, ,62.667,(2),60.543, ,60.543, ,51.401, ,897,,,,
21,TO,STX,Greg Mondeau,89 BMW/M3,67.952,(2),67.681, ,66.088, ,67.204, ,66.088, ,52.540, ,878,,,,
22,TO,BS,Rob Rockefeller,00 Honda/S2000,70.462,(2),71.276,(4),69.150,(4),63.731, ,63.731, ,52.642, ,876,,,,
23,TO,STS,Rob Michaels,95 Nissan/240sx,87.631,(20),67.579, ,87.633,(20),67.590, ,67.579, ,53.455, ,862,,,,
24,TO,SM,Jeff Zanotti,93 Infiniti/G20,65.859, ,85.223,(20),64.109, ,69.862,(4),64.109, ,53.723, ,858,,,,
25,TO,SM,Jeffrey Nappi,95 Nissan/240sx,DNF, ,66.349, ,66.229, ,64.413, ,64.413, ,53.978, ,854,,,,
26,TO,CS,Jason Piper,99 mazda/miata,89.480,(20),90.553,(20),67.282, ,66.860, ,66.860, ,54.223, ,850,,,,
27,TO,CSP,Drew Wood,92 Mazda/Miata,65.721, ,91.079,(20),91.421,(24),64.790, ,64.790, ,54.229, ,850,,,,
28,TO,HS,James Chandler,4 Mits./Lancer,74.256,(2),73.681, ,72.610,(2),70.707, ,70.707, ,54.869, ,840,,,,
29,TO,SM,Justin Ashler,92 Acur/Integra,91.828,(22),66.126, ,66.753, ,65.539, ,65.539, ,54.922, ,839,,,,
30,TO,CS,Ralph Prince,99 mazda/miata,68.235, ,71.285,(2),75.447,(2),68.288, ,68.235, ,55.339, ,833,,,,
31,TO,STS,Lorena Porter,02 honda/civic si,DNF, ,DNF, ,93.890,(20),70.574,(4),70.574, ,55.824, ,826,,,,
32,TO,SM2,Greg Toy,91 Toyota/MR2,92.521,(20),89.669,(20),88.553,(20),66.584,(2),66.584, ,56.530, ,816,,,,
33,TO,DM,Dylan Wiggins,79 Fiat/X1/9,68.033, ,68.409, ,68.268, ,70.003, ,68.033, ,60.277, ,765,,,,
34,TO,ASP,Bob Francis,02 Chevy/Corvette Z06,DNW, ,DNW, ,DNW, ,DNW, ,DNW, , , , ,,,,
35,TO,ASP,Gregory Brewer,90 Nissan/300ZX Turbo,DNW, ,DNW, ,DNW, ,DNW, ,DNW, , , , ,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
