"Here are the results! We had 74 competitors for the Event, and 38 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,SS,David Rock,01 Chevy/Z06,41.650, ,43.696,(2),55.383,(8),41.016, ,41.016,1,34.330,1,1000,,,,
2,open,SS,Newton Johnson,04 Corvette/Z06,43.139, ,41.578, ,41.759, ,41.095, ,41.095,2,34.397,2,998,,,,
3,open,SS,Kim Kemper,03 Chev/Corvette,43.896, ,41.846, ,42.182, ,42.078, ,41.846,4,35.025,5,980,,,,
4,open,SS,Don Hyland,05 Lotus/Elise,44.287, ,42.789, ,41.900, ,42.597, ,41.900,5,35.070,8,979,,,,
5,open,SS,Elvis Presley,05 Lotus/Elise,44.347, ,45.173, ,45.427,(2),43.733, ,43.733,15,36.605,24,938,,,,
1,open,AS,Joel Schotz,04 Honda/S2000,43.577, ,42.681, ,44.371,(2),42.310, ,42.310,7,35.033,6,980,,,,
2,open,AS,Gene Sanders,89 Chevy/Corvette,44.422, ,43.517, ,42.647, ,42.603, ,42.603,8,35.275,10,973,,,,
3,open,AS,Dave Mccombs,4 honda/s2000,43.813, ,42.737, ,43.211, ,44.106, ,42.737,9,35.386,11,970,,,,
4,open,AS,Rob Rockefeller,00 Honda/S2000,44.278, ,46.079,(2),44.041, ,70.438,(20),44.041,17,36.466,21,941,,,,
5,open,AS,Wesley Green,05 Lotus/Elise,52.111, ,50.906, ,49.260, ,47.065, ,47.065,41,38.970,47,881,,,,
1,open,DS,Doug Rowse,03 BMW/330i,43.927, ,44.128, ,44.939, ,43.840, ,43.840,16,34.897,4,984,,,,
2,open,DS,David Vasquez,03 BMW/330i,48.137, ,45.746, ,47.654,(2),45.586, ,45.586,30,36.286,19,946,,,,
3,open,DS,Ben Clement,03 BMW/330i,47.274, ,47.364,(2),47.456, ,45.825, ,45.825,32,36.477,22,941,,,,
