"Here are the results! We had 61 competitors for the Event, and 26 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
4,open,SM2,Greg Mondeau,00 BMW/M coupe,53.677, ,52.669, ,51.493, ,51.025, ,51.025,52,43.473,55,817,,,,
1,ladies,GS,Kim Sparling,02 Saab/9-3,50.564, ,48.889, ,48.672, ,49.210, ,48.672,42,38.062,30,934,,,,
2,ladies,ESP,Susan Love,04 Mitsubishi/EVO,50.417,(4),47.249, ,48.724,(2),46.502, ,46.502,30,38.411,33,925,,,,
3,ladies,ASP,Mindi Cross,65 Lotus/Elan,50.262,(2),52.883,(2),45.497, ,46.440,(2),45.497,25,38.672,34,919,,,,
4,ladies,ES,Dawn Maxwell,94 Mazda/Miata,55.524, ,70.588,(2),50.928,(4),49.015,(2),49.015,46,39.457,40,901,,,,
5,ladies,CP,Ronda Smith,Chevy Camaro,55.090, ,50.378, ,49.781, ,49.223, ,49.223,47,42.086,50,844,,,,
1,novice,DS,Tom Fellows,05 bmw/325i,51.207, ,49.702, ,48.987, ,47.833, ,47.833,38,38.075,31,933,,,,
2,novice,STU,Michael Oswald,05 Subaru/WRX STi,53.399,(6),47.672,(2),47.511,(2),47.460,(2),47.460,37,38.822,36,915,,,,
3,novice,STX,Brandon Guerra,04 VW/R32,55.247, ,53.022, ,52.441,(2),49.010, ,49.010,45,39.306,39,904,,,,
4,novice,DSP,Zach Fellows,05 Honda/Civic,48.108, ,50.759,(2),48.046, ,49.541,(2),48.046,40,39.494,41,900,,,,
5,novice,ES,Greg Toy,95 Toyota/MR2,52.981, ,50.848, ,50.324, ,49.837, ,49.837,49,40.119,46,886,,,,
6,novice,DS,Amro Habib,05 INFINITI/G35 SEDAN,54.995,(4),73.879,(24),53.085,(2),60.724,(2),53.085,55,42.256,51,841,,,,
7,novice,GS,Carl Alley,04 Mazda/3,78.737,(20),75.382,(20),55.954, ,57.310, ,55.954,58,43.756,56,812,,,,
8,novice,SM,David Hsu,96 Honda/Civic,58.991,(4),63.604, ,61.393, ,53.197, ,53.197,56,44.792,57,793,,,,
1,street,SM,James Frink,04 Subaru/Impreza WRX STi,45.008, ,46.483,(2),44.658, ,44.429, ,44.429,15,37.409,24,950,,,,
2,street,AS,Clint Child,03 honda/s2000,47.398, ,46.013, ,53.677, ,45.661, ,45.661,27,37.807,29,940,,,,
3,street,HS,Tom Evans,79 Fiat/124 Spider,50.562, ,53.226,(2),50.798, ,50.601, ,50.562,51,39.287,38,905,,,,
4,street,SS,David Lee,02 Chev/Corvette Z06,53.330, ,52.371, ,52.293, ,51.228, ,51.228,53,42.878,53,829,,,,
1,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,46.619, ,46.594, ,48.871,(2),43.042, ,43.042, ,34.391, ,1033,,,,
2,TO,SS,David Rock,01 Chevy/Z06,42.441, ,41.396, ,41.660, ,41.141, ,41.141, ,34.435, ,1032,,,,
3,TO,CSP,Brian Peters,93 Mazda/Miata,42.745, ,44.193,(2),41.678, ,43.181,(2),41.678, ,34.926, ,1017,,,,
