"Here are the results! We had 54 competitors for the Event, and 38 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
8,novice,STX,Gregory Havenga,03 Subaru/WRX,66.085, ,68.084,(2),82.893,(20),64.250, ,64.250,48,51.529,46,805,,,,
9,novice,CP,Bob Helmig,68 Chevy/Camaro RS/SS,83.466,(22),62.048, ,60.691, ,DNF, ,60.691,38,51.891,49,800,,,,
10,novice,STS2,Steven Sanchez,94 Mazda/Miata,DNF, ,85.791,(20),67.015, ,64.808, ,64.808,50,52.041,50,798,,,,
11,novice,BS,Stuart Albright,03 honda/s2000,88.568,(20),65.577, ,64.302, ,93.140,(24),64.302,49,52.792,51,786,,,,
12,novice,GS,Michael Rainey,04 Mazda/3,78.311,(2),73.400,(2),69.666, ,73.070,(4),69.666,54,54.479,53,762,,,,
1,street,BS,Brady Dohrmann,05 Nissan/350Z,57.860,(2),56.453,(2),54.404, ,54.948, ,54.404,11,44.666,7,929,,,,
2,street,GS,Brad Owen,01 Nissan/Sentra,59.133, ,59.575,(2),59.718,(2),57.483, ,57.483,21,44.952,10,923,,,,
3,street,DS,James Carter,04 Subaru/WRX,60.042, ,59.479, ,58.938, ,58.698, ,58.698,27,46.724,18,888,,,,
4,street,BP,Keith Lensch,97 Chevy/Corvette,61.173,(6),55.440, ,59.265,(2),88.781,(20),55.440,12,47.734,24,869,,,,
5,street,SM2,Zach Heidepriem,00 Toyota/MR2 Spyder,57.469, ,76.003,(20),60.519,(2),57.946, ,57.469,20,48.964,32,848,,,,
6,street,SM2,Siho Lee,00 Toyota/MR2 Spyder,62.903,(2),60.428,(2),58.936, ,66.119,(8),58.936,30,50.213,39,827,,,,
7,street,AS,Lamar Jordan,01 BMW/M3,89.955,(20),88.778,(20),63.362, ,60.787, ,60.787,39,50.332,40,825,,,,
1,TO,AS,Rob Rockefeller,00 Honda/S2000,51.762, ,53.693, ,58.398, ,52.100, ,51.762, ,42.859, ,968,,,,
2,TO,AS,Dave Mccombs,4 HONDA/S2000,55.688,(6),52.317,(2),56.748,(4),DNS, ,52.317, ,43.318, ,958,,,,
3,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,57.602,(2),54.544, ,54.748, ,56.813,(2),54.544, ,43.581, ,952,,,,
4,TO,FS,Don Hyland,00 Chev./Camaro Z/28,54.881, ,56.350,(2),54.388, ,54.221,(2),54.221, ,43.648, ,951,,,,
5,TO,SS,Newton Johnson,04 Corvette/Z06,62.207, ,52.217, ,54.039,(2),53.570,(2),52.217, ,43.706, ,950,,,,
6,TO,STX,Kevin Cote,04 Infiniti/G35c,57.437,(2),73.493,(20),56.304,(2),54.681, ,54.681, ,43.854, ,946,,,,
7,TO,STS2,Steven Sanchez,86 Toyota/Corolla,55.261, ,63.506,(2),60.805, ,58.533, ,55.261, ,44.375, ,935,,,,
8,TO,DS,Ron Terrien,03 BMW/330i,60.515,(2),61.510,(4),56.721, ,56.256, ,56.256, ,44.780, ,927,,,,
9,TO,STU,Chris Lampe,05 Subaru/Impreza WRX STi,57.431,(2),58.308,(2),54.894, ,69.679,(4),54.894, ,44.903, ,924,,,,
10,TO,GS,Brad Owen,01 Nissan/Sentra,80.770,(22),58.674, ,59.542,(2),58.001, ,58.001, ,45.357, ,915,,,,
11,TO,STX,Mike Quigley,02 subaru/wrx,56.612,(2),56.904,(2),63.158,(4),59.436,(4),56.612, ,45.403, ,914,,,,
12,TO,SM2,Zach Heidepriem,00 Toyota/MR2 Spyder,60.829,(4),54.622, ,DNF, ,53.373, ,53.373, ,45.474, ,913,,,,
13,TO,DS,James Carter,04 Subaru/WRX,58.722, ,60.463,(2),59.478,(2),57.293, ,57.293, ,45.605, ,910,,,,
14,TO,STU,Chris Groppi,04 Subaru/WRX STi,57.186, ,58.540,(2),55.784,(2),57.849, ,55.784, ,45.631, ,910,,,,
15,TO,STU,Todd Allison,05 Subaru/WRX STi,57.366, ,56.116, ,63.585,(2),56.127, ,56.116, ,45.903, ,904,,,,
16,TO,STX,Jeff Braciak,01 Pontiac/Firebird V6,59.753, ,60.275, ,58.065, ,57.281, ,57.281, ,45.939, ,903,,,,
17,TO,AS,Joel Schotz,04 Honda/S2000,57.108,(6),55.760,(4),59.124,(4),DNS, ,55.760, ,46.169, ,899,,,,
18,TO,STS2,Jimmy Cantano,94 Mazda/Miata,58.542, ,64.717, ,58.262, ,58.000, ,58.000, ,46.574, ,891,,,,
19,TO,STS,Erich Eikenberry,00 Honda/Civic Si,64.598,(6),58.351, ,58.704, ,59.757, ,58.351, ,46.622, ,890,,,,
20,TO,STS,Dennis Lach,99 subaru/impreza,58.799, ,58.473, ,58.681, ,59.200, ,58.473, ,46.720, ,888,,,,
21,TO,CSP,Steve Ashcraft,85 Toyota/MR2,56.578, ,58.263,(2),56.591, ,55.824, ,55.824, ,46.781, ,887,,,,
22,TO,DSP,Michael Sanchez,94 Mazda/Miata,57.798, ,56.943, ,63.765,(2),57.677,(2),56.943, ,46.807, ,887,,,,
23,TO,STU,Jamal Brewer,04 Dodge/SRT-4,57.902, ,58.153, ,57.374, ,57.716, ,57.374, ,46.932, ,884,,,,
24,TO,FSP,Fernando Ma,91 Volkswagen/GTI,59.812, ,83.977,(22),85.104,(22),58.002, ,58.002, ,47.040, ,882,,,,
25,TO,GS,Chris Sparling,02 Saab/9-3,60.584, ,63.840,(6),62.140,(2),61.288, ,60.584, ,47.377, ,876,,,,
26,TO,FP,Enrique Aviles,82 Mazda/RX-7,60.527, ,55.129, ,55.334, ,55.404, ,55.129, ,47.521, ,873,,,,
27,TO,BP,Keith Lensch,98 chevy/corvette,59.669,(4),55.282, ,55.204, ,56.004,(2),55.204, ,47.531, ,873,,,,
28,TO,STU,Morgan Sowerby,05 Mitsubishi/Evo,59.478, ,59.529,(2),58.138, ,59.082,(2),58.138, ,47.557, ,873,,,,
29,TO,HS,Carlos Murphy,88 honda/crx hf,63.269, ,65.550,(2),61.292, ,61.551, ,61.292, ,47.624, ,871,,,,
30,TO,HS,Samuel Rolfe,88 Honda/CRX,100.764,(26),67.442,(4),64.326,(2),61.615, ,61.615, ,47.875, ,867,,,,
31,TO,SM2,Siho Lee,00 Toyota/MR2 Spyder,58.094,(2),56.606,(2),61.739,(2),57.060,(2),56.606, ,48.228, ,861,,,,
32,TO,FS,Robert Butcher,98 Chevy/Camaro Z28,62.232, ,61.467, ,61.345, ,60.231, ,60.231, ,48.486, ,856,,,,
33,TO,BS,Greg Mondeau,00 BMW/M coupe,59.930, ,59.422, ,63.048,(2),60.067, ,59.422, ,48.785, ,851,,,,
34,TO,SM,Lee Mayer,95 VW/jetta,59.799, ,60.693,(2),58.551, ,58.376, ,58.376, ,49.153, ,844,,,,
35,TO,BS,Stuart Albright,03 honda/s2000,62.627, ,82.787,(20),60.826, ,61.502, ,60.826, ,49.938, ,831,,,,
36,TO,AS,Lamar Jordan,01 BMW/M3,60.547, ,62.516,(2),61.678, ,61.415, ,60.547, ,50.133, ,828,,,,
37,TO,ASP,Gregory Brewer,90 Nissan/300ZX TT,61.210, ,70.242,(8),62.870, ,61.433, ,61.210, ,52.029, ,798,,,,
38,TO,GS,Michael Rainey,04 Mazda/3,67.574, ,67.156, ,66.826, ,68.032, ,66.826, ,52.258, ,794,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
