"Here are the results! We had 47 competitors for the Event, and 44 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event V,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
3,street,HS,Tom Evans,79 Fiat/Spider,51.987, ,51.798, ,53.857, ,52.261, ,51.798,32,40.247,26,899,,,,
4,street,AS,Paul Lialios,02 chevy/corvette z06,52.894, ,50.529, ,49.991, ,49.081, ,49.081,22,40.639,27,890,,,,
5,street,SS,Bill Schroeder,02 Chevrolet/Corvette,52.626,(2),51.073, ,49.708, ,50.088, ,49.708,26,41.606,30,869,,,,
6,street,CS,Ralph Prince,99 MAZDA/miata,58.908, ,56.652, ,54.864, ,57.418, ,54.864,44,44.440,40,814,,,,
1,TO,STX,Mike Quigley,02 subaru/wrx,46.263, ,47.125,(2),52.565, ,44.528, ,44.528, ,35.711, ,1013,,,,
2,TO,DS,Ron Terrien,03 BMW/330i,47.448, ,48.180,(2),45.166, ,48.521,(2),45.166, ,35.952, ,1006,,,,
3,TO,AS,Dave Mccombs,4 honda/s2000,45.254,(2),43.509, ,43.959, ,45.573,(2),43.509, ,36.025, ,1004,,,,
4,TO,AS,Joel Schotz,04 HONDA/S2000,43.767, ,46.347,(2),44.216, ,43.538, ,43.538, ,36.049, ,1003,,,,
5,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,46.372, ,47.209, ,46.798, ,DNS, ,46.372, ,37.051, ,976,,,,
6,TO,SS,David Rock,01 Chevrolet/Corvette Z06,50.848,(2),51.258,(4),53.321,(2),44.463, ,44.463, ,37.216, ,972,,,,
7,TO,CSP,David Lahey,91 Mazda/Miata,48.036, ,44.464, ,44.820, ,50.016,(6),44.464, ,37.261, ,971,,,,
8,TO,STX,Gary Ray,88 BMW/M3,47.255, ,47.842, ,47.041, ,48.776,(2),47.041, ,37.727, ,959,,,,
9,TO,SS,Don Hyland,5 Lotus/Elise,45.948, ,45.161, ,45.870, ,47.572, ,45.161, ,37.800, ,957,,,,
10,TO,SM2,Keith Lensch,06 chevrolet/corvette,46.610,(2),45.415, ,45.842,(2),44.409, ,44.409, ,37.836, ,956,,,,
11,TO,GS,Chris Sparling,95 Saab/900SE,50.648,(2),48.949, ,48.845, ,DNS, ,48.845, ,38.197, ,947,,,,
12,TO,SM2,Mark Eddy,71 datsun/240z,45.204, ,66.840,(22),45.012, ,DNS, ,45.012, ,38.350, ,943,,,,
13,TO,STS2,Bob Francis,94 Mazda/Miata,52.538, ,52.524,(2),49.444, ,47.818, ,47.818, ,38.398, ,942,,,,
14,TO,AS,Brian Peters,05 Mitsubishi/Evolution,53.461,(8),69.743,(20),DNF, ,46.424, ,46.424, ,38.439, ,941,,,,
15,TO,STS,John Ellis,00 toyota/celica gts,49.497, ,48.737, ,48.384, ,48.160, ,48.160, ,38.480, ,940,,,,
16,TO,STS,Matt Durban,98 BMW/318ti,50.148, ,48.308, ,70.613,(20),48.599, ,48.308, ,38.598, ,937,,,,
17,TO,SS,Elvis Presley,05 Lotus/Elise,46.252, ,52.567,(4),DNS, ,DNS, ,46.252, ,38.713, ,934,,,,
18,TO,AS,Fred Zust,04 BMW/M3,48.080, ,48.006, ,47.500, ,46.929, ,46.929, ,38.857, ,931,,,,
19,TO,STS,David Webb,02 Ford/Focus,50.397, ,48.873, ,49.176, ,50.054, ,48.873, ,39.050, ,926,,,,
20,TO,STU,Michael Oswald,05 Subaru/WRX STi,47.743,(2),50.421,(4),48.367,(2),53.789, ,47.743, ,39.054, ,926,,,,
21,TO,STU,Jamal Brewer,04 Dodge/SRT4,52.793,(4),47.755, ,48.124, ,61.018,(4),47.755, ,39.064, ,926,,,,
22,TO,FS,Roy Coombes,93 Ford/Mustang Cobra,DNF, ,48.702, ,50.949,(2),48.781, ,48.702, ,39.205, ,923,,,,
23,TO,FJ4,Jamie Baker,Emmick/Kart,47.127, ,49.087, ,54.027, ,DNS, ,47.127, ,39.210, ,923,,,,
24,TO,DS,Jon Matthias,95 Mitsubishi/Eclipse,54.610,(2),52.921,(2),51.184, ,49.326, ,49.326, ,39.263, ,921,,,,
25,TO,STX,Brandon Guerra,04 VW/R32,51.978, ,49.402, ,51.809, ,51.167, ,49.402, ,39.620, ,913,,,,
26,TO,AS,Paul Lialios,02 chevy/corvette z06,49.441, ,48.239, ,47.954, ,48.215, ,47.954, ,39.706, ,911,,,,
27,TO,GS,Kim Sparling,95 Saab/900SE,52.240, ,51.214, ,DNS, ,DNS, ,51.214, ,40.049, ,903,,,,
28,TO,GS,Manfred Reysser,01 Toyota/Celica GT,53.823,(2),52.931, ,53.793,(2),51.461, ,51.461, ,40.243, ,899,,,,
29,TO,STS,Derek Low,02 Acura/RSX-S,52.146, ,50.810, ,51.781, ,51.061, ,50.810, ,40.597, ,891,,,,
30,TO,CP,Kenny Smith,Chevy Camaro,47.609, ,52.078,(2),48.035, ,48.851, ,47.609, ,40.706, ,889,,,,
31,TO,HS,Tom Evans,79 Fiat/Spider,52.442, ,54.090, ,52.489, ,68.252,(16),52.442, ,40.747, ,888,,,,
32,TO,HS,Sheila Rigg,04 Honda/Civic EX,57.305, ,56.651, ,55.806, ,52.682,(2),52.682, ,40.934, ,884,,,,
33,TO,AS,Rob Rockefeller,00 Honda/S2000,52.377,(6),54.054,(8),49.767,(4),49.469,(4),49.469, ,40.960, ,883,,,,
