"Here are the results! We had 61 competitors for the Event, and 33 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,,,
4,novice,ES,Andrew Gardner,83 Fiat/X1/9,78.020, ,76.267, ,76.783, ,76.267,53,61.395,39,849,,,,,,
5,novice,AS,Kris Wiedeman,04 Honda/S2000,79.845, ,79.342,(2),74.409, ,74.409,41,61.611,40,846,,,,,,
6,novice,STS,Erich Eikenberry,00 Honda/Civic SI,DNF, ,78.072, ,77.141, ,77.141,56,61.636,42,845,,,,,,
7,novice,STX,John Quigley,02 Subaru/WRX,87.291, ,80.069, ,77.625, ,77.625,58,62.255,47,837,,,,,,
8,novice,BSP,Ken Voell,72 Datsun/240z,74.764,(2),76.332,(2),74.569, ,74.569,43,62.563,50,833,,,,,,
9,novice,GS,Chris Crook,92 Acura/Integra,83.550, ,82.582,(2),82.002,(2),82.002,60,64.126,54,813,,,,,,
10,novice,SM2,Russ Bennett,03 toyota/mr2,79.945,(2),95.083,(22),75.425, ,75.425,48,64.262,55,811,,,,,,
11,novice,HS,Brenda Dixon,03 Mitsubishi/Lancer,94.611, ,90.391,(4),88.392,(4),88.392,61,68.681,61,759,,,,,,
1,street,GS,Brad Owen,01 Nissan/Sentra,71.455, ,71.293, ,78.574,(6),71.293,26,55.751,9,935,,,,,,
2,street,DS,Jamal Brewer,04 Dodge/SRT-4,73.655, ,71.533,(2),70.334, ,70.334,20,55.986,12,931,,,,,,
3,street,SS,Elvis Presley,05 Lotus/Elise,69.057, ,70.166,(2),68.783, ,68.783,9,57.571,22,905,,,,,,
4,street,ESP,Patrick Fisher,05 Subaru/WRX STi,73.600,(4),73.551,(4),70.182, ,70.182,18,57.970,24,899,,,,,,
5,street,GS,James Carter,02 Subaru/Impreza 2.5 RS,75.918, ,74.315, ,76.164,(2),74.315,39,58.114,25,897,,,,,,
6,street,HS,Tom Evans,79 Fiat,79.278, ,77.285, ,76.180, ,76.180,52,59.192,32,880,,,,,,
7,street,AS,Dayron Vargas,02 BMW/M3 Convertible,73.854, ,76.229,(4),72.094, ,72.094,34,59.694,34,873,,,,,,
1,TO,STX,Joshua Sortor,02 Subaru/Impreza WRX,67.094,(2),67.242,(2),66.328,(2),66.328, ,53.195, ,979,,,,,,
2,TO,STX,David Rock,02 Subaru/Impreza WRX,68.984,(2),67.476, ,88.961,(20),67.476, ,54.116, ,963,,,,,,
3,TO,GS,Chris Sparling,02 Saab/9-3,71.488, ,76.556,(6),69.523, ,69.523, ,54.367, ,958,,,,,,
4,TO,STX,Mike Quigley,02 Subaru/WRX,70.651, ,67.911, ,71.618,(4),67.911, ,54.465, ,957,,,,,,
5,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,69.579, ,68.282, ,70.379,(2),68.282, ,54.557, ,955,,,,,,
6,TO,DS,Jamal Brewer,04 Dodge/SRT-4,73.573,(2),71.108, ,68.766, ,68.766, ,54.738, ,952,,,,,,
7,TO,SS,Newton Johnson,04 Corvette/Z06,66.707, ,66.883, ,65.714, ,65.714, ,55.003, ,947,,,,,,
8,TO,CSP,Steve Ashcraft,90 Mazda/Miata,68.855, ,67.428, ,66.633, ,66.633, ,55.838, ,933,,,,,,
9,TO,GS,Brad Owen,01 Nissan/Sentra,73.675,(2),71.713, ,71.782, ,71.713, ,56.080, ,929,,,,,,
10,TO,ESP,Patrick Fisher,05 Subaru/WRX STi,68.402, ,68.276, ,70.602,(2),68.276, ,56.396, ,924,,,,,,
11,TO,STS,Jeff Williams,02 Honda/Civic,76.595,(6),73.493,(4),70.671, ,70.671, ,56.466, ,923,,,,,,
12,TO,SS,Elvis Presley,05 Lotus/Elise,72.236,(2),68.485, ,67.600, ,67.600, ,56.581, ,921,,,,,,
13,TO,STS,John Ellis,00 Toyota/Celica GTS,75.122,(2),71.505, ,70.819, ,70.819, ,56.584, ,921,,,,,,
14,TO,BP,Keith Lensch,98 chevrolet/corvette,67.175, ,67.193, ,65.843, ,65.843, ,56.691, ,919,,,,,,
15,TO,DS,Ron Terrien,03 BMW/330i,71.963, ,71.809, ,72.389, ,71.809, ,57.160, ,912,,,,,,
16,TO,STU,Chris Groppi,04 Subaru/WRX STi,70.372, ,79.235,(6),71.500, ,70.372, ,57.564, ,905,,,,,,
17,TO,DS,David Vasquez,03 BMW/330i,73.570,(2),75.829,(4),72.747,(2),72.747, ,57.907, ,900,,,,,,
18,TO,GS,James Carter,02 Subaru/Impreza 2.5 RS,74.066, ,78.732,(4),75.861,(2),74.066, ,57.920, ,900,,,,,,
19,TO,AS,Rob Rockefeller,00 Honda/S2000,72.356,(2),70.482, ,72.235,(4),70.482, ,58.359, ,893,,,,,,
20,TO,AS,Dayron Vargas,02 BMW/M3 Convertible,71.243, ,75.625,(2),71.107, ,71.107, ,58.877, ,885,,,,,,
