"Here are the results! We had 59 competitors for the Event, and 28 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,SS,David Rock,01 Chevrolet/Corvette Z06,70.390, ,67.026, ,66.702, ,66.447, ,66.447,3,55.616,3,996,,,,
2,open,SS,Dave Mccombs,01 CHEVY/Z06,67.470, ,68.985,(2),66.512, ,66.607, ,66.512,4,55.671,4,996,,,,
3,open,SS,Newton Johnson,04 Corvette/Z06,69.269, ,67.572, ,70.145,(2),68.242, ,67.572,6,56.558,7,980,,,,
4,open,SS,Joel Schotz,01 CHEVROLET/CORVETTE ZO6,89.180,(22),69.755,(2),68.022, ,69.468,(2),68.022,8,56.934,10,973,,,,
1,open,AS,Gene Sanders,89 Chevy/Corvette,72.756, ,70.651, ,70.413, ,69.653, ,69.653,10,57.673,15,961,,,,
2,open,AS,Rob Rockefeller,00 Honda/S2000,72.022, ,73.237,(4),69.761, ,71.862,(2),69.761,11,57.762,17,959,,,,
3,open,AS,Steve Ryan,91 Chevrolet/Corvette,70.555, ,70.779, ,72.491,(2),DNF, ,70.555,17,58.420,21,949,,,,
1,open,CS,Dawn Maxwell,99 Mazda/Miata,74.987, ,74.790, ,90.519, ,DNF, ,74.790,38,60.580,34,915,,,,
1,open,DS,David Vasquez,03 BMW/330i,80.363,(2),72.975, ,71.764, ,70.562, ,70.562,18,56.167,5,987,,,,
1,open,FS,Larry Petrucci,00 Chevrolet/Camaro,70.737, ,74.990,(4),70.132, ,69.045, ,69.045,9,55.581,2,997,,,,
2,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,70.810, ,71.344, ,70.331, ,69.957, ,69.957,14,56.315,6,984,,,,
3,open,FS,Chris Addison,04 ford/Mach 1 Mustang,73.558, ,76.179,(2),74.803, ,96.544,(22),73.558,31,59.214,27,936,,,,
1,open,GS,Chris Sparling,02 Saab/9-3,75.679, ,76.470, ,74.209, ,73.947, ,73.947,33,57.827,18,958,,,,
2,open,GS,Chris Crook,92 Acura/Integra,78.774, ,75.964, ,75.292, ,74.826, ,74.826,39,58.514,22,947,,,,
1,open,HS,Shea Gaffney,90 VW/GTI,83.512, ,81.152, ,82.261, ,82.610, ,81.152,54,63.055,44,879,,,,
2,open,HS,Austin Stillwell,90 VW/GTI,110.951,(20),85.519, ,83.732, ,83.849,(2),83.732,56,65.060,53,852,,,,
3,open,HS,Shea Gaffney,90 VW/GTI,111.155, ,95.284, ,93.195, ,85.992, ,85.992,57,66.816,54,829,,,,
1,open,ASP,Ted Lewis,65 lotus/elan,73.272,(6),67.075, ,65.201, ,67.449,(2),65.201,2,55.421,1,1000,,,,
2,open,ASP,Gregory Brewer,90 Nissan/300ZX TT,97.473,(20),97.688,(22),77.949,(2),75.023, ,75.023,40,63.770,47,869,,,,
1,open,BSP,Ken Voell,72 Datsun/240Z,72.977, ,94.399,(20),96.396,(20),73.871, ,72.977,29,61.228,37,905,,,,
1,open,CSP,Ryan Shook,84 mazda/rx7,76.780, ,78.015, ,79.654, ,78.437, ,76.780,46,64.342,51,861,,,,
1,open,DSP,Doug Rowse,03 BMW/330i,73.072, ,72.275, ,71.681, ,71.916, ,71.681,23,58.922,25,941,,,,
1,open,FSP,Fernando Ma,91 Volkswagen/GTI,87.331, ,81.254,(2),76.601, ,78.545, ,76.601,44,62.123,41,892,,,,
1,open,BP,Keith Lensch,98 chevrolet/corvette,99.757,(20),73.202,(2),70.251, ,70.158, ,70.158,16,60.406,33,917,,,,
1,open,CP,Kenny Smith,Chevy Camaro,94.950,(20),73.931, ,72.022, ,71.614, ,71.614,21,61.230,38,905,,,,
2,open,CP,Jesse Smith,Chevy Camaro,81.039, ,93.046,(2),80.643, ,78.657, ,78.657,52,67.252,55,824,,,,
1,open,DP,Dylan Wiggins,79 Fiat/X1/9,77.371, ,75.202, ,75.429, ,76.672, ,75.202,41,63.470,45,873,,,,
1,open,DM,Ralph Prince,60 austin healey/frogeye,100.093,(20),72.827, ,73.522, ,94.282,(20),72.827,28,64.015,50,866,,,,
1,open,EM,Greg Duncan,84 Pontiac/Fiero,66.802, ,65.986, ,65.150, ,67.023,(2),65.150,1,57.723,16,960,,,,
1,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,72.136, ,71.438, ,92.106,(20),70.848, ,70.848,20,56.608,8,979,,,,
2,open,STS,John Ellis,00 Toyota/Celica GTS,75.245, ,74.668, ,74.443, ,77.787,(2),74.443,36,59.480,29,932,,,,
3,open,STS,Dennis Lach,99 Subaru/Impreza,78.274, ,87.976,(2),81.958,(2),78.044, ,78.044,50,62.357,42,889,,,,
1,open,STU,Chris Lampe,05 Subaru/Impreza,74.400, ,77.253, ,72.801, ,72.124, ,72.124,26,58.997,26,939,,,,
2,open,STU,Chris Groppi,04 Subaru/WRX STi,75.436,(2),72.674, ,98.112,(20),72.441, ,72.441,27,59.257,28,935,,,,
