"Here are the results! We had 65 competitors for the Event, and 36 time onlies.",,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
3,novice,GS,Matt Durban,98 BMW/318ti,57.558, ,57.467, ,55.348, ,57.852,(4),55.348,47,43.282,35,875
4,novice,STS,Jerimiah Taylor,93 Honda/Civic si,61.819, ,58.670,(2),57.892, ,56.475, ,56.475,53,44.276,42,855
5,novice,STS,Hunter McDonald,91 Honda/Civic si,83.699,(20),58.208, ,100.335,(42),56.588, ,56.588,55,44.365,43,854
6,novice,HS,Chris Peterson,91 Toyota/Celica,64.775,(2),DNF, ,58.254, ,68.861, ,58.254,60,45.322,51,836
7,novice,CS,Mark Kocsis,99 Mazda/Miata,61.428, ,58.006, ,57.245, ,56.077, ,56.077,51,45.647,53,830
8,novice,SM2,Scott Hanger,90 Nissan/300Z,58.818, ,56.988, ,56.067, ,82.332,(20),56.067,50,47.713,57,794
9,novice,SM2,Jeremiah Hansen,90 Nissan/300Z,62.911,(2),59.690, ,57.643, ,56.508, ,56.508,54,48.088,58,788
10,novice,DSP,Chris Piper,97 Honda/Civic,DNF, ,DNF, ,79.554,(20),59.026, ,59.026,61,48.283,60,784
11,novice,SM2,Jeremiah Hansen,90 Nissan/300Z,DNF, ,DNF, ,64.454, ,59.108, ,59.108,62,50.301,63,753
12,novice,GS,Frankie Barrios,95 Dodge/Neon,86.484,(20),DNF, ,80.882,(20),82.880,(20),80.882,65,63.250,65,599
1,street,GS,David Webb,02 Ford/SVT,72.952,(22),52.999, ,72.951,(20),52.751, ,52.751,39,41.251,19,918
2,street,GS,Tim Haskin,83 Alfa Romeo/GTV 2.5,79.271,(20),56.640, ,56.744, ,55.700, ,55.700,48,43.557,37,870
3,street,BSP,Steve Thompson,96 Chevrolet/Corvette GS,52.952, ,56.982,(2),51.923, ,52.013, ,51.923,33,43.615,38,868
4,street,ESP,Billy Webster,99 Dodge/Dakota R/T,72.865,(20),DNF, ,54.241, ,53.494, ,53.494,40,44.186,41,857
5,street,ESP,Steve Felde,93 Ford/SVT Mustang Cobra,54.489, ,54.170, ,DNS, ,54.818, ,54.170,43,44.744,47,847
6,street,HS,Owen Gibson,90 Ford/Mustang LX Convert,58.979, ,57.961, ,58.887,(2),78.380,(22),57.961,58,45.094,49,840
7,street,GS,Ryan Holaway,02 honda/civic si,63.687, ,60.775, ,57.815, ,57.852, ,57.815,57,45.211,50,838
8,street,SS,David Lee,00 Chevrolet/Corvette,55.956, ,67.969, ,55.599, ,54.588, ,54.588,44,45.690,54,829
9,street,FP,Nic Foster,81 BMW/320i,76.893,(20),58.290,(2),56.052,(2),74.374,(20),56.052,49,48.261,59,785
10,street,ASP,Greg Mondeau,00 BMW/M roadster,60.027, ,58.118, ,59.362, ,59.278, ,58.118,59,49.168,61,770
11,street,AS,Brad Prather,02 Subaru/WRX,85.232,(20),81.103,(20),78.865,(20),60.088, ,60.088,64,49.753,62,761
1,TO,BS,Marc McCombs,02 Honda/S2000,46.718, ,46.136, ,45.348, ,47.515,(2),45.348, ,37.412, ,1012
2,TO,STX,Joshua Sortor,02 Subaru/impreza wrx,47.059, ,48.779,(2),48.760,(2),DNS, ,47.059, ,37.553, ,1009
3,TO,STS,David Rock,03 Toyota/Celica GTS,49.358,(2),50.760,(2),49.155, ,48.013, ,48.013, ,37.642, ,1006
4,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,53.410, ,48.464, ,52.230,(4),58.736,(4),48.464, ,37.996, ,997
5,TO,AS,Steve Ryan,91 chevy/corvette,47.305, ,46.427, ,48.430,(2),47.876,(2),46.427, ,38.442, ,985
6,TO,STX,Mark Goerner,01 Acura/Integra Type-R,48.392, ,48.255, ,DNS, ,DNS, ,48.255, ,38.507, ,984
7,TO,BS,Dave McCombs,02 Honda/S2000,46.765, ,47.141, ,DNF, ,47.400, ,46.765, ,38.581, ,982
8,TO,BSP,Newton Johnson,91 Corvette/ZR - 1,47.589, ,47.025, ,48.466,(2),46.261, ,46.261, ,38.859, ,975
9,TO,GS,Dane Campbell,03 mini/cooperS,51.710, ,50.621, ,51.951,(2),49.861, ,49.861, ,38.991, ,971
10,TO,STS,Mark Eddy,76 240Z,50.103, ,49.823, ,50.382, ,51.274,(2),49.823, ,39.061, ,970
11,TO,GS,Chris Sparling,02 Saab/9-3,50.191, ,52.023, ,54.663, ,50.219, ,50.191, ,39.249, ,965
12,TO,CS,Mark Johnson,99 Mazda/Miata,51.299,(2),57.845,(4),48.300, ,49.546,(2),48.300, ,39.316, ,963
13,TO,STS,John Raskob,90 Mitsubishi/Eclipse,51.669, ,50.742, ,51.180, ,51.777, ,50.742, ,39.782, ,952
14,TO,AP,Greg Duncan,84 Pontiac/Fiero,47.029, ,48.721,(2),45.792, ,47.240, ,45.792, ,39.885, ,950
15,TO,GS,David Webb,02 Ford/SVT,52.978, ,51.964, ,53.497, ,52.737, ,51.964, ,40.636, ,932
16,TO,DSP,Ron Terrien,95 Honda/Prelude,54.899,(2),51.241,(2),49.788, ,50.318, ,49.788, ,40.727, ,930
17,TO,CS,John Wisthoff,01 Toyota/MR2,57.463, ,50.995, ,53.594,(2),50.221, ,50.221, ,40.880, ,927
18,TO,SM,Larry Petrucci,95 Pontiac/Formula Firebird,49.083, ,74.600,(24),DNS, ,DNS, ,49.083, ,40.935, ,925
19,TO,STX,Mike Quigley,02 Subaru/WRX,55.264,(4),52.966,(2),51.687,(2),52.200,(2),51.687, ,41.246, ,918
20,TO,AS,Paul Lialios,91 chevy/corvette,49.864, ,50.241, ,55.923,(2),74.529,(20),49.864, ,41.287, ,917
21,TO,CSP,Jake Beggy,89 BMW/M3,50.250, ,69.968,(20),49.939, ,52.734,(2),49.939, ,41.899, ,904
22,TO,BSP,Steve Thompson,96 Chevrolet/Corvette GS,53.797,(2),58.751,(6),53.750,(2),50.630, ,50.630, ,42.529, ,891
23,TO,ASP,Dawn Maxwell,89 Porsche/944T,52.992, ,51.691, ,68.833, ,50.722, ,50.722, ,42.911, ,883
24,TO,GS,Tim Haskin,83 Alfa Romeo/GTV 2.5,55.618, ,57.705, ,55.253, ,55.007, ,55.007, ,43.015, ,881
25,TO,GS,Ryan Holaway,02 honda/civic si,57.566, ,56.827, ,55.370, ,56.723, ,55.370, ,43.299, ,875
26,TO,ASP,Mindi Cross,89 Porsche/944T,55.140, ,52.343, ,51.250, ,52.924, ,51.250, ,43.358, ,874
27,TO,STX,Jeff Braciak,01 Pontiac/Firebird,57.701,(2),55.925, ,55.625, ,55.320, ,55.320, ,44.145, ,858
28,TO,HS,Chris Peterson,91 Toyota/Celica,58.835,(2),56.864, ,57.129, ,57.136, ,56.864, ,44.240, ,856
29,TO,CS,Mark Kocsis,99 Mazda/Miata,55.902, ,55.712, ,67.195, ,55.494, ,55.494, ,45.172, ,839
30,TO,SS,David Lee,00 Chevrolet/Corvette,54.595, ,56.110, ,54.499, ,55.004, ,54.499, ,45.616, ,830
31,TO,SM2,Scott Hanger,90 Nissan/300Z,56.166, ,54.303, ,55.695, ,53.725, ,53.725, ,45.720, ,828
32,TO,AS,Brad Prather,02 Subaru/WRX,59.109, ,55.822, ,55.787, ,55.768, ,55.768, ,46.176, ,820
33,TO,FP,Nic Foster,81 BMW/320i,62.826, ,53.882, ,68.491,(4),54.981, ,53.882, ,46.392, ,816
34,TO,ASP,Greg Mondeau,00 BMW/M roadster,57.977, ,56.732, ,55.317, ,55.568, ,55.317, ,46.798, ,809
35,TO,HS,Owen Gibson,90 Ford/Mustang LX Convert,DNS, ,DNS, ,DNS, ,DNS, ,DNS, ,DNS, ,0
36,TO,EM,Bill Schroeder,91 Ford/Mustang,DNS, ,DNS, ,DNS, ,DNS, ,DNS, ,DNS, ,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
