The Spring series for 2003 is a best 3 out of 4 event series.,,,,,,,,,,,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,MAR ,APR ,TOTAL,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,,,,,,
POS,CLS,NAME,JAN,FEB,MAR,APR,TOTAL,,,,,,,,,,
4,CM,Tom Errickson,832, , ,758,1590,,,,,,,,,,
1,DM,Joe Curry,871,873, ,861,2605,,,,,,,,,,
2,DM,David Lahey, ,907, ,861,1768,,,,,,,,,,
3,DM,Ralph Prince,794,809, , ,1603,,,,,,,,,,
4,DM,Adam Sporleder,793, , , ,793,,,,,,,,,,
5,DM,Rick Brown, , , ,660,660,,,,,,,,,,
1,EM,Tom Hill,877,882, ,859,2618,,,,,,,,,,
2,EM,Bill Schroeder, ,829,847,838,2514,,,,,,,,,,
3,EM,Woody Remencus Jr, , , ,820,820,,,,,,,,,,
4,EM,Brian Malm, ,782, , ,782,,,,,,,,,,
5,EM,George Coppus, , , ,587,587,,,,,,,,,,
1,FM,Terry Murray,827, , , ,827,,,,,,,,,,
1,STS,Mark Eddy,995,985,1000,953,2980,,,,,,,,,,
2,STS,David Rock,1000,1000,937,964,2964,,,,,,,,,,
3,STS,Jonathan Eddy,990,955,971,942,2916,,,,,,,,,,
4,STS,John Raskob,908, ,899,916,2723,,,,,,,,,,
5,STS,Dennis Lach, , , ,813,813,,,,,,,,,,
1,STX,Mark Goerner,964,913, ,946,2823,,,,,,,,,,
2,STX,Chuck Lubin,905, , ,900,1805,,,,,,,,,,
3,STX,Mike Demrovsky, , , ,884,884,,,,,,,,,,
4,STX,Zach Hancock, ,876, , ,876,,,,,,,,,,
5,STX,Jim Knibloe, , , ,869,869,,,,,,,,,,
6,STX,Walter Stoss, ,854, , ,854,,,,,,,,,,
1,SM,David Harsay,935,900,901, ,2736,,,,,,,,,,
2,SM,Geren Smith,905,893, ,895,2693,,,,,,,,,,
3,SM,Tage Evanson, ,977, , ,977,,,,,,,,,,
4,SM,Dave Young, , , ,932,932,,,,,,,,,,
5,SM,Steve Steele, , , ,910,910,,,,,,,,,,
6,SM,James Frink,893, , , ,893,,,,,,,,,,
7,SM,Gary Howard, ,890, , ,890,,,,,,,,,,
8,SM,Jeremy Hayes,874, , , ,874,,,,,,,,,,
9,SM,Brian Parks,842, , , ,842,,,,,,,,,,
1,SM2,Jason Boles,922, ,901,834,2657,,,,,,,,,,
2,SM2,Harry Berzes,891,878, ,848,2617,,,,,,,,,,
3,SM2,Enrique Aviles,877,860,859, ,2596,,,,,,,,,,
4,SM2,Paul Hamersly, , , ,888,888,,,,,,,,,,
5,SM2,Mat Cable, , , ,536,536,,,,,,,,,,
1,SpecFJr,Kayla Smith,850,835,832,896,2581,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LADIES CLASS,,,,,,,,,,,,,,,,,
POS,CLS,NAME,JAN,FEB,MAR,APR,TOTAL,,,,,,,,,,
1,CP,Ronda Smith,819,788,818,820,2457,,,,,,,,,,
2,SM2,Jennifer Aviles,663,611,670, ,1944,,,,,,,,,,
3,ASP,Mindi Cross, ,840, ,880,1720,,,,,,,,,,
4,CM,Sheryl Zavion, ,743, ,824,1567,,,,,,,,,,
5,CS,Dawn Maxwell, , , ,907,907,,,,,,,,,,
6,FSP,Audrey Harnish, , , ,903,903,,,,,,,,,,
7,ES,Susan Love, ,846, , ,846,,,,,,,,,,
8,ES,Glenda Meyers, , , ,807,807,,,,,,,,,,
9,FS,Cheryl Rivera, , ,684, ,684,,,,,,,,,,
10,ES,Jill Chantengco, , , ,673,673,,,,,,,,,,
,,,,,,,,,,,,,,,,,
DAILY DRIVER CLASS,,,,,,,,,,,,,,,,,
