"Here are the results! We had 92 racers for the Event, and 48 time onlies. ",,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
4,open,STS,John Raskob,90 Mitsubishi/Eclipse,64.160, ,63.311, ,62.976, ,64.780, ,62.976,51,49.373,27,908
1,open,STX,Mark Goerner,01 Acura/Integra Type R,58.320, ,60.588,(2),62.876,(4),67.459,(8),58.320,20,46.539,7,964
2,open,STX,Chuck Lubin,02 Subaru/WRX,63.324, ,62.098, ,63.754, ,64.785,(2),62.098,47,49.554,29,905
3,open,STX,Jamie Duffy,01 Acura/Integra Type R,91.875,(20),65.708, ,66.421, ,65.971, ,65.708,76,52.435,62,855
1,open,SM,David Harsay,00 Ford/Mustang,124.357,(20),60.114, ,61.225, ,57.524, ,57.524,15,47.975,19,935
2,open,SM,Geren Smith,02 Subaru/Impreza WRX,61.434,(2),59.400, ,78.838,(20),91.574,(20),59.400,26,49.540,28,905
3,open,SM,James Frink,02 Subaru/Impreza WRX,91.730,(20),63.057, ,64.887,(4),60.200, ,60.200,32,50.207,35,893
4,open,SM,Jeremy Hayes,84 Volkswagen/GTI 16v,63.860, ,63.922,(2),62.342, ,61.527, ,61.527,42,51.314,49,874
5,open,SM,Brian Parks,84 Volkswagen/Rabbit ,87.025,(20),66.383,(2),63.840, ,65.161, ,63.840,59,53.243,70,842
1,open,SM2,Jason Boles,99 BMW/Z Coupe,58.245, ,57.376, ,85.006,(6),57.154, ,57.154,11,48.638,23,922
2,open,SM2,Harry Berzes,94 Mazda /Miata,60.126, ,60.107, ,59.199, ,59.140, ,59.140,25,50.328,36,891
3,open,SM2,Enrique Aviles,82 Mazda/Rx-7,60.499, ,60.671, ,62.411,(2),60.115, ,60.115,31,51.158,47,877
1,open,FJr,Kayla Smith,00 Emmick/Cobra,75.480, ,69.574, ,67.541, ,64.348, ,64.348,65,52.765,65,850
1,ladies,CP,Ronda Smith,68 Chevy/Camaro,DNF, ,68.990, ,67.127, ,64.216, ,64.216,64,54.776,82,819
2,ladies,SM2,Jennifer Aviles,82 Mazda/Rx-7,107.898, ,89.752, ,81.051, ,79.503, ,79.503,92,67.657,92,663
1,novice,STX,Todd Houser,03 Mini/S,62.669, ,63.422, ,64.068, ,60.479, ,60.479,35,48.262,20,929
2,novice,DS,Jeff Deerinwater,03 Nissan/Sentra SE-R Spec V,64.831, ,62.061, ,60.715, ,60.845, ,60.715,38,48.268,21,929
3,novice,BS,Matt Smith,00 BMW M Coupe,76.229, ,60.220, ,72.935, ,66.282, ,60.220,33,49.682,30,903
4,novice,GS,Bill Peake,01 Audi/A4,69.579, ,67.060, ,66.439, ,64.503, ,64.503,67,50.441,39,889
5,novice,CS,John Wisthoff,01 Toyota/mr2,63.498, ,62.073, ,63.162,(2),65.249,(2),62.073,46,50.527,40,888
6,novice,STS,Jonathan Kelly,94 ford/mustang,69.245, ,69.817, ,66.381, ,64.685, ,64.685,68,50.713,42,884
7,novice,STS,Steven Chavez,02 Nissan Sentra,67.928, ,65.620, ,64.760, ,65.998,(2),64.760,69,50.772,43,883
8,novice,STS,Mike Boisvert,83 VW/GTi,64.935, ,65.821, ,85.603,(20),65.168, ,64.935,70,50.909,45,881
9,novice,HS,Lee Mayer,03 VW/Golf,70.525, ,69.451, ,66.278, ,67.604,(2),66.278,79,51.564,55,870
10,novice,ES,Jeremy Jones,90 honda/civic si,67.303, ,64.956, ,65.021, ,67.044, ,64.956,71,52.225,60,859
11,novice,BS,Richard Lang,98 BMW/M3,64.303, ,64.039, ,64.366, ,63.327, ,63.327,53,52.245,61,859
12,novice,AS,Jim Gregory,93 Acura/NSX,68.115, ,87.475,(20),65.888, ,63.930, ,63.930,61,52.934,67,847
13,novice,ES,Matt Smith,93 Mazda/MX-5 Miata,66.088, ,85.152, ,66.274, ,66.074, ,66.074,77,53.123,69,844
14,novice,EM,Bill Schroeder,91 Ford/Mustang GT,63.509, ,59.639, ,60.032, ,59.905, ,59.639,28,53.615,72,837
15,novice,GS,Luke Moore,84 ford/svo,71.532, ,68.901, ,77.047, ,69.031, ,68.901,87,53.881,74,832
16,novice,AS,Merrill Niles,65 Shelby Cobra,73.359, ,90.544,(20),66.663,(2),83.055,(20),66.663,81,55.197,83,813
17,novice,ESP,Travis Colton,78 chevrolet/malibu,69.798, ,69.333, ,DNS, ,DNS, ,69.333,89,57.269,88,783
18,novice,HS,Richard Brown,78 Triumph Spitfire,85.736, ,79.025, ,76.765, ,76.128, ,76.128,91,59.228,91,757
1,daily,HS,David Webb,01 Ford/Focus,62.757, ,63.616, ,63.978, ,62.496, ,62.496,49,48.622,22,922
2,daily,HS,Mindi Cross,01 Ford/Focus,68.047, ,65.112, ,65.308, ,65.081, ,65.081,72,50.633,41,886
3,daily,FS,Jack Drummond,01 Chevrolet/Z-28 Camaro,65.357, ,64.613, ,63.671, ,67.394,(2),63.671,57,51.319,50,874
4,daily,FS,Roy Coombes,93 FORD/MUSTANG COBRA,68.275, ,65.681, ,64.494, ,66.199,(2),64.494,66,51.982,57,863
5,daily,HS,Owen Gibson,89 Ford/Mustang,68.629, ,67.128, ,67.120, ,68.089,(2),67.120,83,52.219,59,859
6,daily,FS,Dennis Zygel,87 toyota/supra,67.239, ,66.149, ,65.102, ,DNS, ,65.102,73,52.472,63,855
7,daily,FS,Kelly Lamont,02 Chevrolet/Camaro,70.395, ,67.506, ,65.516, ,65.970, ,65.516,75,52.806,66,849
8,daily,ESP,Steve Felde,93 Ford/Mustang SVT Cobra,66.130, ,69.697,(4),64.120, ,65.682,(2),64.120,63,52.963,68,847
9,daily,CSP,Jake Beggy,89 BMW/M3,65.900,(2),66.195,(2),70.286, ,63.584, ,63.584,56,53.347,71,841
10,daily,CP,Sean Marrtinez,66 Chevy/Chevelle,93.730,(22),63.819, ,66.879,(2),63.016, ,63.016,52,53.753,73,834
11,daily,ESP,Billy Webster,99 Dodge/Dakota R/T,66.810, ,67.526, ,67.650,(2),65.407, ,65.407,74,54.026,76,830
12,daily,ES,Adam Rivera,77 VW/Scirocco,71.325, ,67.501, ,68.345,(2),69.740,(4),67.501,85,54.271,79,826
13,daily,ESP,Bob Bastian,88 pontiac/Fiero,67.253, ,66.188, ,66.259, ,66.774, ,66.188,78,54.671,81,820
14,daily,ES,Manuel Rivera,77 VW/Scirocco,98.575,(22),77.571,(2),74.243, ,72.421, ,72.421,90,58.226,89,770
1,TO,STS,David Rock,00 Toyota/Celica GTS,59.503,(2),58.097,(2),56.713, ,56.232, ,56.232, ,44.086,TO,1017
2,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,76.886, ,66.198, ,57.782, ,57.196, ,57.196, ,44.842,TO,1000
3,TO,ESP,David Schotz,95 Ford/Mustang Cobra R,54.352, ,54.430, ,62.064,(2),61.513, ,54.352, ,44.895,TO,999
4,TO,BS,Marc McCombs,02 Honda/S2000,54.646, ,54.964, ,55.286, ,57.175,(2),54.646, ,45.083,TO,995
5,TO,AS,Jason Isley,89 Chevy/Corvette,56.290,(2),54.509, ,55.748,(2),56.164, ,54.509, ,45.133,TO,994
6,TO,STS,Mark Eddy,00 Subaru/Impreza 2.5 RS,67.567,(2),66.469, ,67.961, ,57.593, ,57.593, ,45.153,TO,993
7,TO,BS,Dave McCombs,02 Honda/S2000,56.944,(2),55.065, ,57.291,(2),55.294, ,55.065, ,45.429,TO,987
8,TO,SS,Bob Isley,02 corvette/Z06,79.515,(22),57.337, ,61.988,(6),54.994, ,54.994, ,46.030,TO,974
