"Here are the results! We had 67 competitors for the Event, and 34 time onlies.",,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
4,novice,STS,Dennis Lach,99 Acura/Integra,74.233,(20),55.192, ,56.098, ,54.442, ,54.442,56,42.683,38,866
5,novice,HS,Chris Peterson,91 Toyota/Celica,56.446, ,56.788,(2),69.527,(2),55.225, ,55.225,58,42.965,44,861
6,novice,DSP,Nic Foster,81 BMW/320i,53.531, ,57.647,(4),55.567,(2),52.725, ,52.725,50,43.129,46,857
7,novice,GS,Matt Durban,98 BMW/318ti,58.446, ,56.642, ,55.560, ,55.351, ,55.351,59,43.284,48,854
8,novice,STX,Jeff Braciak,01 Pontiac/Firebird,54.772, ,55.270, ,54.357, ,54.657, ,54.357,55,43.377,49,853
9,novice,FS,Thomas Allen,96 Nissan/300ZX,64.522, ,60.518, ,57.446, ,56.542, ,56.542,61,45.573,59,811
10,novice,CSP,Mark Kocsis,99 Mazda/Miata,68.060, ,61.780, ,60.574, ,58.206, ,58.206,62,48.835,63,757
11,novice,AS,Abner Lim,03 mitsubishi/evolution,88.572,(20),61.105, ,59.039, ,75.663,(22),59.039,64,48.884,64,756
1,street,GS,Ryan Yantzer,93 Nissan/240SX,49.442, ,48.568, ,50.563,(2),51.272,(2),48.568,20,37.980,7,974
2,street,DS,Brian Peters,03 BMW/330i,52.025,(2),49.264, ,51.757,(2),48.477, ,48.477,19,38.539,9,960
3,street,AS,Sheng-Wen Seow,03 Mitsubishi/Evo 8,49.152, ,49.135, ,48.067, ,50.276,(2),48.067,15,39.799,16,929
4,street,DS,Jeff Deerinwater,03 Nissan/Sentra SER Spec V,52.101, ,50.574, ,53.076,(2),50.172, ,50.172,33,39.887,17,927
