"Here are the results! We had 72 competitors for the Event, and 37 time onlies.",,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
2,novice,STS,Richard Vela,90 Nissan/240sx,57.246, ,55.474, ,56.790, ,54.863, ,54.863,36,43.013,18,925
3,novice,STX,Nicole Kins,89 VW/GTI,56.586, ,54.607, ,55.066, ,54.197, ,54.197,33,43.249,24,920
4,novice,ASP,Keith Lensch,98 chevrolet/corvette,75.257,(20),54.118, ,53.520, ,51.200, ,51.200,13,43.315,25,919
5,novice,STS,Jerimiah Taylor,03 Honda/Civic,58.135, ,75.213,(4),55.670, ,59.356, ,55.670,40,43.645,29,912
6,novice,STS,Hunter McDonald,91 Honda/Civic,58.431, ,DNS, ,56.471, ,56.022, ,56.022,43,43.921,35,906
7,novice,DS,John Ellis,00 Toyota/Celica GT-S,75.904,(20),58.418, ,55.763, ,56.676, ,55.763,42,44.332,38,898
8,novice,STS,Champa Phetsomphou,92 nissan/240sx,64.177, ,57.992, ,56.790, ,67.865,(4),56.790,50,44.523,39,894
9,novice,STS,Dennis Lach,99 Acura/Integra,57.600, ,58.174, ,57.892, ,57.946, ,57.600,56,45.158,46,881
10,novice,ES,Shane Bullis,90 Mazda/Miata,64.965,(2),57.376, ,59.237, ,58.079, ,57.376,55,46.130,50,863
11,novice,HS,Mike Woodard,89 Honda/Accord,60.301, ,59.840, ,59.296, ,64.234,(4),59.296,65,46.132,51,863
12,novice,FS,Thom Allen,96 Nissan/300ZX,59.006, ,58.579, ,59.166, ,57.811, ,57.811,58,46.596,55,854
13,novice,CSP,Drew Wood,92 Mazda/Miata,59.977, ,62.324,(4),64.584, ,56.368, ,56.368,49,47.293,60,842
14,novice,STS,Chris Piper,97 Honda/Civic,79.210,(20),61.835,(4),77.204,(20),76.200,(20),61.835,68,48.479,63,821
15,novice,CSP,Drew Wood,92 Mazda/Miata,68.636, ,62.955, ,59.008, ,58.439, ,58.439,62,49.030,67,812
16,novice,STS,Doug Smutnick,02 Subaru/WRX,DNS, ,76.165,(20),76.351,(20),DNF, ,76.165,71,59.713,71,667
17,novice,STS,Gary Tang,00 Acura/Integra,83.587,(20),DNF, ,DNF, ,87.409,(20),83.587,72,65.532,72,607
1,street,GS,David Webb,02 Ford/Focus SVT,52.852, ,52.929, ,54.419,(2),61.293,(6),52.852,27,41.330,9,963
2,street,SS,Kim Kemper,03 Chev/Corvette,59.798,(2),51.729, ,50.905, ,50.346, ,50.346,4,42.140,14,945
3,street,CSP,Jake Beggy,89 BMW/M3,53.908, ,51.435, ,51.101, ,50.390, ,50.390,6,42.277,16,941
4,street,FS,Roy Coombes,93 FORD/MUSTANG COBRA,54.601, ,56.184,(2),56.163,(2),53.480, ,53.480,30,43.105,21,923
5,street,ESP,Abraham Jones,00 Chevrolet/Camaro SS,73.648,(20),76.064,(22),53.354, ,53.229, ,53.229,28,43.967,36,905
6,street,DS,David Vasquez,03 BMW/330i,78.290,(20),56.671, ,57.459, ,56.069, ,56.069,45,44.575,40,893
