"Here are the results! We had 100 competitors for the Event, and 51 time onlies.",,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
2,open,SM,Steve Steele,65 Ford/Mustang,61.865,(2),59.323, ,60.041,(2),58.895,(2),58.895,17,49.118,22,931
3,open,SM,Dave Harsay,00 Ford/Mustang GT,77.403,(8),66.289, ,65.982, ,90.032,(20),65.982,72,55.029,79,831
4,open,SM,Brandon Smith,92 Nissan/240SX Turbo,66.494, ,70.172,(4),66.564,(2),96.295,(22),66.494,75,55.456,82,825
5,open,SM,Brady Dohrmann,95 Nissan/240SX,73.705,(6),69.074,(2),66.923,(2),67.503,(2),66.923,77,55.814,85,820
6,open,SM,Christopher Tolar,92 Nissan/240SX,111.042,(20),91.789,(8),74.899, ,72.040,(2),72.040,96,60.081,96,762
1,open,SM2,Dave Skull,91 Toyota/MR2,60.747, ,DNF, ,59.434, ,59.248, ,59.248,21,50.420,33,907
2,open,SM2,Harry Berzes,94 Mazda/Miata,61.558, ,59.753, ,59.927, ,59.989, ,59.753,23,50.850,39,900
1,open,KT,Michael Roland,02 Rotax/Top Kart,76.174,(20),DNF, ,63.127,(2),62.837,(2),62.837,42,58.941,94,776
1,open,KTJr,Jamie Baker,98 Emmick/Cobra,61.292, ,60.747,(2),59.020, ,58.657, ,58.657,14,48.099,13,951
2,open,KTJr,Kayla Smith,00 Emmick/Cobra,75.884, ,76.736, ,75.226, ,74.472,(4),74.472,97,61.067,97,749
1,ladies,GS,Kim Sparling,02 Saab/9-3,73.230,(4),67.415, ,65.079, ,65.767, ,65.079,67,50.892,42,899
2,ladies,ASP,Mindi Cross,65 Lotus/Elan,67.964,(4),66.119,(6),66.547,(4),61.539,(2),61.539,33,52.062,47,879
3,ladies,STX,Shawna McHargue,02 VW/GTI,68.580, ,70.884,(2),73.187,(6),66.959, ,66.959,78,53.433,62,856
4,ladies,CP,Ronda Smith,68 chevy/camaro,72.452, ,68.853, ,65.868, ,71.884,(4),65.868,71,56.185,88,814
1,novice,STS,Steve Smith,89 VW/GTI,69.547, ,66.314, ,64.810, ,63.754, ,63.754,54,49.983,27,915
2,novice,BS,Matt Francis,03 Nissan/350Z Track,65.802, ,64.064, ,63.154, ,64.870, ,63.154,46,52.102,48,878
3,novice,ES,Shane Bullis,90 Mazda/Miata,70.350, ,65.670, ,64.975, ,69.835,(4),64.975,66,52.240,50,876
4,novice,AS,Dayron Vargas,02 BMW/M3 Convertible,83.936,(20),65.610,(2),64.262, ,63.312, ,63.312,50,52.422,52,873
5,novice,STS,Dennis Lach,99 Acura/Integra,67.012, ,68.425, ,68.263, ,67.734, ,67.012,79,52.537,54,871
6,novice,ASP,Keith Lensch,98 chevrolet/corvette,71.409,(4),65.879, ,64.750, ,62.905, ,62.905,44,53.218,61,860
7,novice,STS,Chris Piper,97 Honda/Civic,95.671,(20),70.332, ,68.386, ,70.194,(2),68.386,83,53.615,66,853
8,novice,SS,Steven Dalbec,03 Chevrolet/Corvette,65.404, ,64.669,(2),66.759,(4),65.247,(2),64.669,64,54.128,71,845
9,novice,ESP,Travis Berry,97 Chevrolet/Camaro Z28,67.272, ,66.328, ,66.166,(2),65.805,(2),65.805,70,54.355,73,842
