"Here are the results! We had 85 competitors for the Event, and 40 time onlies.",,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
3,novice,STS,Dennis Lach,99 Acura/Integra,87.173,(20),68.210, ,67.200, ,66.556, ,66.556,56,52.180,37,905
4,novice,STS,Richard Vela,90 Nissan/240SX,68.442, ,67.130, ,66.613, ,66.948, ,66.613,58,52.225,38,904
5,novice,GS,Steve Smith,89 Volkswagen/GTI,71.000, ,68.497, ,67.912, ,66.934, ,66.934,60,52.342,39,902
6,novice,HS,Chris Peterson,91 Toyota/Celica,72.332, ,69.157, ,67.398, ,67.316, ,67.316,61,52.372,40,901
7,novice,FSP,Travis Berry,97 Chevrolet/Camaro Z28,71.346,(2),73.586,(4),65.446, ,65.141, ,65.141,41,53.090,45,889
8,novice,STS,Alfred Trujillo,89 Nissan/240sx,89.523,(20),73.232,(2),69.560, ,67.973, ,67.973,67,53.291,48,886
9,novice,HS,Miles Davis,02 Subaru/Impreza,71.845, ,70.655, ,69.104, ,70.165, ,69.104,73,53.763,51,878
10,novice,BS,Matthew Francis,03 Nissan/350Z Track,70.331, ,65.917, ,65.578, ,65.425, ,65.425,44,53.976,54,874
11,novice,DS,John Ellis,00 toyota/celica gts,92.701,(20),91.622,(20),72.811, ,68.236, ,68.236,68,54.248,55,870
12,novice,GS,Nicola Kins,89 Volkswagen/GTI,71.842, ,70.054, ,69.641, ,86.783,(20),69.641,76,54.459,57,867
13,novice,GS,Matt Durban,98 BMW/318ti,92.300,(20),73.411,(4),69.896, ,70.178,(2),69.896,78,54.659,60,864
14,novice,AS,Jerry Reues,93 Toyota/Supra Turbo,66.483, ,90.841,(22),66.360, ,103.004,(22),66.360,54,54.946,63,859
15,novice,DSP,Chris Piper,97 Honda/Civic,DNF, ,91.977,(20),70.084, ,67.561, ,67.561,63,55.265,64,854
16,novice,DSP,Shawna McHargue,02 Volkswagen/GTI,74.056, ,68.553, ,68.603, ,67.834, ,67.834,65,55.488,65,851
17,novice,FS,Thomas Allen,96 Nissan/300ZX,77.360,(4),70.301, ,71.943,(2),69.001, ,69.001,72,55.615,66,849
18,novice,SM2,John Callie,94 Honda/Del Sol,68.854, ,66.044, ,67.698, ,88.512,(20),66.044,51,56.203,68,840
19,novice,CS,Mark Ewings,93 mazda/miata,91.320,(20),71.787, ,71.337, ,69.502, ,69.502,75,56.575,71,834
20,novice,ESP,Martin Sector,91 Toyota/MR2,73.452, ,96.957,(20),71.555, ,69.239, ,69.239,74,57.191,73,825
21,novice,CS,Stephen Stalcup,97 Mazda/Miata,DNF, ,76.963, ,71.304, ,72.657, ,71.304,80,58.041,77,813
22,novice,FSP,Domingo Favis,86 Toyota/Corolla GTS,DNF, ,DNF, ,76.972, ,72.194, ,72.194,82,58.838,81,802
23,novice,GS,Josh Frankhouser,93 Mazda/MX-5 Miata,84.811,(6),96.130,(22),76.623,(4),99.168,(24),76.623,83,59.919,82,788
24,novice,SS,Keith Lensch,98 chevrolet/corvette,92.901,(20),79.496, ,90.502,(20),87.734,(20),79.496,85,66.538,85,709
1,street,SS,Kim Kemper,03 Chev/Corvette,69.462, ,62.716, ,61.170, ,60.703, ,60.703,19,50.808,25,929
2,street,DS,Jeff Deerinwater,03 Nissan/Sentra SE-R Spec V,74.411,(2),64.675, ,63.979, ,64.553, ,63.979,37,50.863,27,928
3,street,SM,James Frink,02 Subaru/Impreza WRX,63.351, ,61.824, ,61.637, ,61.382, ,61.382,20,51.193,29,922
4,street,GS,Doug Evans,02 Ford/Focus SVT,68.542,(2),66.283, ,65.656, ,69.071, ,65.656,46,51.343,32,919
5,street,CSP,Clint Child,00 acura/integra r,65.248, ,63.002, ,63.435, ,63.187, ,63.002,30,52.859,42,893
6,street,DS,David Vasquez,03 BMW/330i,69.609, ,68.094, ,67.090, ,66.745, ,66.745,59,53.062,43,890
7,street,SS,Patrick Soukup,01 Chevrolet/Corvette,64.433, ,94.833,(20),63.662, ,63.889, ,63.662,33,53.285,47,886
8,street,SM,Jeremy Hayes,84 Volkswagen/Rabbit GTI,64.092, ,64.725, ,64.743, ,64.602, ,64.092,38,53.453,49,883
9,street,CSP,Jake Beggy,89 BMW/M3,85.612,(20),63.804, ,63.812, ,65.520,(2),63.804,35,53.532,50,882
10,street,SS,Bill Schroeder,02 Chevrolet/Corvette ,85.058,(20),66.590, ,65.060, ,65.395, ,65.060,40,54.455,56,867
11,street,ESP,Abraham Jones,00 Chevrolet/Camaro,65.959, ,78.874,(4),66.463, ,66.342, ,65.959,50,54.482,58,866
12,street,SM,Brian Parks,01 Volkswagen/GTI,67.338, ,67.015, ,66.553, ,65.682, ,65.682,48,54.779,61,862
13,street,CSP,Sean Martinez,66 chevy/Chevelle,65.445, ,65.605, ,DNF, ,DNS, ,65.445,45,54.908,62,860
14,street,GS,Brian Landes,98 Volkwagen/Jetta,73.398, ,94.372,(20),71.697, ,72.169, ,71.697,81,56.067,67,842
15,street,FSP,Greg Toy,86 Toyota/Corolla GTS,71.488, ,69.893, ,70.883, ,71.478, ,69.893,77,56.963,72,829
16,street,DSP,Colin Tisdale,94 Acura/Integra,70.119, ,71.061, ,99.750,(20),82.061, ,70.119,79,57.357,75,823
17,street,ASP,Greg Mondeau,00 BMW/M roadster,71.563, ,68.456, ,68.349, ,69.299, ,68.349,69,57.823,76,816
18,street,ASP,Jon Castillo,93 Toyota/MR2,68.753, ,68.644, ,77.725,(2),77.169, ,68.644,71,58.073,78,813
1,TO,ASP,Mark Huffman,66 Lotus/Elan,56.623, ,59.957,(4),55.208, ,57.715,(2),55.208, ,46.706, ,1011
2,TO,STX,Joshua Sortor,02 Subaru/Impreza WRX,58.865, ,59.284, ,58.767, ,82.082,(20),58.767, ,46.896, ,1007
3,TO,STS,David Rock,03 Toyota/Celica GTS,61.173, ,60.526, ,65.383,(4),82.931,(22),60.526, ,47.452, ,995
4,TO,SS,Joel Schotz,01 CHEVROLET/CORVETTE ZO6,58.297, ,57.950, ,57.214, ,57.306, ,57.214, ,47.888, ,986
5,TO,CS,Dawn Maxwell,99 Mazda/Miata,59.447, ,60.099, ,59.974, ,59.013, ,59.013, ,48.037, ,983
6,TO,GS,Dane Campbell,03 Mini/Cooper S,62.045, ,61.968, ,61.754, ,62.312, ,61.754, ,48.292, ,977
7,TO,BS,Dave Mccombs,02 HNDA/S2000,59.835, ,58.930, ,60.450,(2),58.562, ,58.562, ,48.314, ,977
8,TO,AP,Greg Duncan,84 Pontiac/Fiero,55.862, ,55.552, ,55.733, ,55.621, ,55.552, ,48.386, ,976
9,TO,STS,Kelly Randall,00 Subaru/Impreza 2.5 RS,65.228,(2),62.194, ,62.211, ,61.733, ,61.733, ,48.399, ,975
10,TO,SM,Geren Smith,02 Subaru/Impreza WRX,62.465,(2),60.679, ,59.776, ,58.109, ,58.109, ,48.463, ,974
11,TO,SM,Larry Petrucci,95 Pontiac/Formula,59.053, ,79.615,(20),58.119, ,88.123,(20),58.119, ,48.471, ,974
12,TO,DSP,Ben Clement,95 Acura/Integra GSR,65.268,(6),59.673, ,61.757,(2),59.378, ,59.378, ,48.571, ,972
13,TO,GS,Chris Sparling,02 Saab/9-3,62.712, ,62.981, ,63.676, ,63.880, ,62.712, ,49.041, ,963
14,TO,DSP,Edward Prather,96 Nissan/240,61.926,(2),65.465,(4),64.339, ,60.067, ,60.067, ,49.135, ,961
15,TO,STS,Jonathan Eddy,00 Subaru/Impreza,62.780, ,63.485, ,62.707, ,85.064,(22),62.707, ,49.162, ,960
16,TO,STX,Mike Quigley,02 Subaru/WRX,62.704, ,61.635, ,66.385, ,63.987,(2),61.635, ,49.185, ,960
17,TO,STS,Josh Randall,00 Subaru/Impreza 2.5 RS,90.440,(22),64.566, ,63.677, ,63.078, ,63.078, ,49.453, ,954
18,TO,BSP,Newton Johnson,91 Corvette/ZR - 1,59.071, ,61.588,(2),DNS, ,DNS, ,59.071, ,49.620, ,951
19,TO,AS,Paul Lialios,91 chevy/corvette,60.966, ,61.674, ,DNS, ,DNS, ,60.966, ,50.480, ,935
20,TO,DS,Jeff Deerinwater,03 Nissan/Sentra SE-R Spec V,65.359, ,64.752, ,63.504, ,63.550, ,63.504, ,50.486, ,935
21,TO,SM,James Frink,02 Subaru/Impreza WRX,60.622, ,65.551,(4),61.407, ,60.558, ,60.558, ,50.505, ,935
22,TO,DSP,Ron Terrien,95 Honda/Prelude,61.966, ,61.900, ,63.424, ,63.645, ,61.900, ,50.634, ,932
23,TO,STS,Richard Vela,90 Nissan/240SX,89.720,(22),65.402, ,65.897, ,82.466,(4),65.402, ,51.275, ,921
24,TO,HS,Chris Peterson,91 Toyota/Celica,69.341,(2),68.587, ,66.234, ,66.307, ,66.234, ,51.530, ,916
25,TO,FSP,Travis Berry,97 Chevrolet/Camaro Z28,65.315, ,66.025, ,64.223, ,63.307, ,63.307, ,51.595, ,915
26,TO,STS,Dennis Lach,99 Acura/Integra,67.275, ,67.617, ,67.230, ,66.396, ,66.396, ,52.054, ,907
27,TO,SS,Bob Francis,02 Corvette/Z06,65.991,(2),86.210,(22),62.362, ,DNS, ,62.362, ,52.197, ,904
28,TO,STX,Fernando Ma,02 Volkswagen/GTI,66.242,(2),65.707, ,69.830,(4),76.046,(10),65.707, ,52.434, ,900
29,TO,CSP,Clint Child,00 acura/integra r,62.933, ,63.076, ,62.934, ,62.581, ,62.581, ,52.505, ,899
30,TO,BS,Brian Malm,86 Porsche/928s,95.635,(22),97.650,(30),65.257, ,64.959, ,64.959, ,53.591, ,881
31,TO,STX,Jeff Braciak,01 Pontiac/Firebird,71.087,(2),67.175, ,68.584, ,72.120,(4),67.175, ,53.606, ,881
32,TO,CS,Stephen Stalcup,97 Mazda/Miata,69.742, ,67.037, ,67.070, ,DNF, ,67.037, ,54.568, ,865
33,TO,SS,Bill Schroeder,02 Chevrolet/Corvette ,66.432, ,66.998, ,65.444, ,68.873,(2),65.444, ,54.777, ,862
34,TO,ESP,Martin Sector,91 Toyota/MR2,71.224, ,69.261, ,66.541, ,114.086,(24),66.541, ,54.963, ,859
35,TO,STS,Rob Michaels,95 Nissan/240sx,91.950,(20),91.257,(20),71.417, ,70.634, ,70.634, ,55.377, ,852
36,TO,CS,Mark Ewings,93 mazda/miata,70.230, ,69.065, ,68.069, ,72.704,(4),68.069, ,55.408, ,852
37,TO,ASP,Greg Mondeau,00 BMW/M roadster,69.776, ,66.981, ,66.585, ,67.510, ,66.585, ,56.331, ,838
38,TO,CS,Josh Frankhouser,93 Mazda/Miata,71.882, ,89.142,(20),69.287, ,87.125,(6),69.287, ,56.400, ,837
39,TO,SS,Keith Lensch,98 chevrolet/corvette,88.389,(20),68.407, ,87.602,(20),70.113, ,68.407, ,57.257, ,824
40,TO,CS,Ralph Prince,99 Mazda/Miata,71.608, ,72.715,(2),DNS, ,DNS, ,71.608, ,58.289, ,810
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
