"Here are the results! We had 37 competitors for the Event, and 33 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,,Run 2 ,,Run 3 ,,Run 4 ,,Run 5 ,,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
7,TO,STU,Jay Balducci,05 Subaru/STi,50.297,,49.437,,51.134,(2),48.719,,DNS,,48.719,,40.437,,978
8,TO,STX,Mike Quigley,02 Subaru/WRX,53.270,(2),50.093,,75.287,(20),49.579,,50.062,,49.579,,40.655,,973
9,TO,XP,Diane Deanovic,05 Lotus/Elise,47.032,,46.380,,46.931,,47.577,,51.318,(2),46.380,,40.907,,967
10,TO,STU,Chris Groppi,04 Subaru/WRX STi,50.108,,50.222,,49.323,,DNS,,DNS,,49.323,,40.938,,966
11,TO,GS,David Webb,06 MINI/Cooper S,50.448,,50.899,,50.626,,57.566,,DNS,,50.448,,41.115,,962
12,TO,STX,Doug Rowse,98 BMW/325,51.286,,51.737,,51.993,(2),50.151,,50.576,,50.151,,41.124,,962
13,TO,DS,Thomas Martell,8 BMW/135i,50.777,,50.709,,DNS,,DNS,,DNS,,50.709,,41.176,,961
14,TO,STU,David Lahey,04 Subaru/WRX Sti,50.737,,49.644,,51.023,(2),DNS,,52.179,,49.644,,41.205,,960
15,TO,STX,Jeffrey Israel,04 Volkswagen/Golf R32,50.850,,50.604,,50.868,,50.331,,52.687,(2),50.331,,41.271,,958
16,TO,FS,Jim Bright,06 Ford/Mustang GT,50.724,,50.679,,51.671,,50.315,,DNS,,50.315,,41.309,,957
17,TO,STX,Elliot Speidell,95 BMW/325,50.486,,50.798,,57.206,(6),51.212,,DNS,,50.486,,41.399,,955
18,TO,STS,Mark Eddy,99 Subaru 2.5 RS,51.104,,50.989,,51.346,,51.044,,DNS,,50.989,,41.607,,951
19,TO,STS,Jonathan Eddy,05 Subaru 2.5 RS,56.393,(4),51.883,,51.387,,51.637,,53.382,(2),51.387,,41.932,,943
20,TO,SS,John Carson,06 Lotus/Elise,70.619,(20),50.251,,89.106,(22),50.731,,50.462,,50.251,,42.814,,924
21,TO,FS,Chase Torres,06 Ford/Mustang GT,54.105,(2),52.196,,54.190,(2),55.675,(4),52.546,,52.196,,42.853,,923
22,TO,GS,Kris Tvedt,03 Toyota/Celica,54.028,,52.988,,53.147,,52.877,,54.391,,52.877,,43.095,,918
23,TO,DS,Kevin O'Neill,08 Audi/TT Quattro,75.735,(24),71.487,(20),54.731,,53.314,(2),54.622,(4),53.314,,43.291,,914
24,TO,STX,Matt Evans,04 Subaru/WRX Wagon,58.194,(4),53.718,,53.233,,56.004,(2),53.175,,53.175,,43.604,,907
25,TO,BS,Bruce Hazen,07 Mini/Cooper S,DNS,,62.576,(4),53.488,,56.593,,53.195,,53.195,,44.258,,894
26,TO,SM,Harry Steiner,95 Nissan/240SX,51.966,,53.749,(2),55.742,(2),57.338,(4),51.509,,51.509,,44.298,,893
27,TO,AS,Trevor Davis,07 Pontiac/Soltice GXP,56.654,,60.188,(4),55.504,(2),53.295,,53.189,,53.189,,44.785,,883
28,TO,CSP,Andy Ross,87 porsche/944,75.735,,53.541,,54.527,(2),52.753,,54.179,(2),52.753,,45.157,,876
29,TO,AS,Bruce Patterson,03 Honda/S2000,54.381,(2),54.462,(2),61.082,(2),74.626,(20),58.555,,54.381,,45.789,,864
30,TO,SM2,Stuart Anderson,99 Mazda/Miata,54.301,,53.950,,62.008,(8),53.738,,83.172,(20),53.738,,46.591,,849
31,TO,BSP,John Yamasaki,05 Mazda/RX8,56.739,,56.012,,56.826,,54.923,,DNS,,54.923,,47.124,,839
32,TO,DS,Al Blankenship,05 Chrysler/Crossfire,58.827,,58.412,,59.357,,77.526,(20),58.790,,58.412,,47.431,,834
33,TO,BS,Mark Teng,06 Nissan/350Z,62.909,,58.838,,58.882,,59.163,,58.306,,58.306,,48.511,,815
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
