"Here are the results! We had 58 competitors for the Event, and 30 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
11,novice,CSP,Roberta Orbach,Porche 924,100.444,(20),90.136,(20),DNF, ,60.341, ,50.953, ,50.953,49,43.616,54,787
12,novice,SM2,Spencer Metz,04 Nissan/350Z,77.754,(20),75.770,(20),DNF, ,56.151, ,52.808, ,52.808,55,45.785,55,750
13,novice,SM2,Miguel Figueroa,77 Datsun/280z,75.718,(20),55.356,(2),74.107,(24),70.530,(20),71.109,(22),55.356,58,47.994,58,716
1,street,HS,Chad Mizner,03 Honda/Civic Si,68.551,(20),45.974, ,45.888, ,53.492, ,DNS, ,45.888,25,36.343,10,945
2,street,HS,Kevin Gleaton,03 Honda/Civic,46.451, ,47.071, ,46.478, ,45.899, ,DNS, ,45.899,26,36.352,11,945
3,street,FS,Jim Bright,06 Ford/Mustang GT,68.703,(22),67.523,(22),46.892, ,45.058, ,44.572, ,44.572,14,36.594,13,939
4,street,DS,Habib Amro,05 Infiniti/G35 sedan,46.803, ,45.634, ,45.478, ,47.033, ,45.553, ,45.478,24,36.928,16,930
5,street,CS,Harry Berzes,07 Mazda/MX5,46.621, ,45.635, ,45.756, ,44.946, ,45.159, ,44.946,17,37.350,19,920
6,street,DS,Jeff Deerinwater,08 Mazda/MAZDASPEED3,46.668, ,47.372, ,46.473, ,49.394,(4),DNF, ,46.473,30,37.736,20,910
7,street,HS,Zach Fellows,05 Honda/Civic,49.313, ,48.810, ,47.892, ,48.295, ,50.776,(4),47.892,38,37.930,23,906
8,street,FS,Tom Fellows,07 BMW/335i,47.872, ,47.835,(2),53.855,(4),47.199, ,46.979, ,46.979,34,38.570,30,890
9,street,AS,Mike Whitehouse,07 Ford/Shelby GT 500,46.816, ,47.171, ,46.746, ,46.256, ,47.947,(2),46.256,29,38.948,32,882
10,street,CSP,Andy Ross,87 Porsche/944,48.467, ,48.814,(2),46.208, ,47.648, ,46.222, ,46.208,28,39.554,36,868
11,street,CS,Jim Williamson,00 Mazda/Miata,DNF, ,52.204, ,51.468, ,49.734, ,50.224, ,49.734,45,41.329,45,831
12,street,ASP,Daniel Reed,87 Ford/Ranger,51.598, ,50.832,(2),51.379,(4),49.711,(2),49.339, ,49.339,43,42.530,52,808
13,street,ASP,Alex Pomales,04 Honda/S2000,59.875, ,53.322, ,59.146, ,43.542*,(2),71.771,(20),53.322,56,45.964,56,747
14,street,SM2,Nate Hocking,00 Honda/S2000,72.942,(20),68.404,(20),DNF, ,68.261,(20),54.134,(6),54.134,57,46.934,57,732
1,TO,CSP,Brian Peters,Mazda Miata,40.009, ,42.195,(2),40.274, ,41.632,(2),39.936, ,39.936, ,34.185, ,1005
2,TO,STU,Ben Clement,05 Mitsubishi/Evo,42.276, ,42.303, ,41.869, ,43.761,(2),41.817, ,41.817, ,34.708, ,990
3,TO,DSP,Doug Rowse,03 BMW/330,42.426, ,41.235, ,43.387,(2),41.610, ,43.739,(2),41.235, ,34.761, ,988
4,TO,STU,Chris Groppi,04 Subaru/WRX STi,42.595, ,46.348,(2),43.001, ,42.265, ,42.178, ,42.178, ,35.008, ,981
5,TO,STU,Jonathan Eddy,05 Subaru/WRX STi,44.097, ,42.943, ,42.822, ,44.295, ,DNS, ,42.822, ,35.542, ,966
6,TO,AS,Rob Rockefeller,00 Honda/S2000,43.778, ,42.800, ,44.833,(2),44.762,(2),42.699, ,42.699, ,35.953, ,955
7,TO,STX,Mike Quigley,02 Subaru/WRX,45.558,(2),44.723, ,45.686, ,44.115, ,46.208, ,44.115, ,36.174, ,949
8,TO,STU,James Hayden,95 BMW/M3,46.230,(2),43.894, ,43.668, ,45.357,(2),43.803, ,43.668, ,36.244, ,948
9,TO,XP,Fred Zust,05 Lotus/Elise,41.357, ,41.487, ,DNS, ,DNS, ,DNS, ,41.357, ,36.477, ,942
10,TO,DS,Habib Amro,05 Infiniti/G35 sedan,45.285, ,45.534, ,45.302, ,45.681, ,44.931, ,44.931, ,36.484, ,941
11,TO,GS,Chris Sparling,08 Saab 9-3,45.229, ,45.730, ,46.551, ,45.182, ,45.291, ,45.182, ,36.823, ,933
12,TO,FS,Jim Bright,06 Ford/Mustang GT,46.764,(2),45.316, ,45.121, ,48.068, ,47.853,(2),45.121, ,37.044, ,927
13,TO,GS,Kris Tvedt,03 Toyota/Celica,DNS, ,47.220,(2),45.640, ,DNS, ,DNS, ,45.640, ,37.197, ,923
14,TO,XP,Diane Deanovic,05 Lotus/Elise,42.744, ,44.854,(2),DNS, ,DNS, ,DNS, ,42.744, ,37.700, ,911
15,TO,AS,Bruce Patterson,03 Honda/S2000,66.767, ,45.042, ,44.829, ,49.263, ,51.691, ,44.829, ,37.746, ,910
16,TO,CSP,Cliff Orbach,88 porsche/924S,44.707, ,55.365, ,44.509, ,44.248, ,44.794, ,44.248, ,37.876, ,907
17,TO,STX,Jeff Israel,04 VW/R32,47.520,(2),47.570,(2),46.467, ,DNS, ,DNS, ,46.467, ,38.103, ,901
18,TO,AS,Keith Lensch,00 Honda/S2000,47.832,(2),47.587,(2),52.534, ,47.254,(2),45.974, ,45.974, ,38.710, ,887
19,TO,DS,Al Blankenship,05 Chrysler/Crossfire,49.279, ,49.587, ,48.859, ,47.778, ,48.737, ,47.778, ,38.796, ,885
20,TO,CSP,Stuart Anderson,99 Mazda/Miata,45.603, ,66.285,(20),67.462,(20),47.028, ,DNS, ,45.603, ,39.036, ,880
21,TO,AS,Trevor Davis,07 Pontiac/Solstice,49.080, ,47.606, ,47.421, ,46.885, ,53.289,(2),46.885, ,39.477, ,870
22,TO,ASP,Chris Kissel,65 ffr/cobra,45.858, ,49.055,(2),71.198,(22),68.801,(20),46.670, ,45.858, ,39.530, ,869
23,TO,CSP,Andy Ross,87 Porsche/944,48.722,(2),46.633, ,47.440, ,46.302, ,47.796, ,46.302, ,39.635, ,867
24,TO,CSP,Kim Unger,83 porsche/944,48.284,(2),46.870, ,46.322, ,46.810, ,47.049, ,46.322, ,39.652, ,866
25,TO,CS,Jim Williamson,00 Mazda/Miata,48.957, ,48.577, ,49.274, ,48.153, ,48.682, ,48.153, ,40.015, ,858
26,TO,AS,Fred Peterson,03 Honda/S2000,50.917,(2),49.460, ,48.667, ,47.764, ,49.743,(2),47.764, ,40.217, ,854
27,TO,GS,Frank Avitia,03 Mini/Cooper,50.797, ,54.564,(4),54.580,(4),50.018, ,49.543,(2),49.543, ,40.378, ,851
28,TO,BSP,John Yamasaki,05 Mazda/RX-8,48.376, ,49.347, ,50.459,(2),48.603, ,47.125, ,47.125, ,40.433, ,849
29,TO,STS,Dave Hymers,95 Subaru/Impreza,50.755, ,53.549,(2),49.758, ,57.009,(4),57.762,(4),49.758, ,40.603, ,846
30,TO,ASP,Daniel Reed,87 Ford/Ranger,48.793, ,51.981,(2),47.989, ,48.581, ,47.674, ,47.674, ,41.095, ,836
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
