"Here are the results! We had 40 competitors for the Event, and 23 time onlies.",,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,PAX,STX,Mike Quigley,02 Subaru/WRX,53.116, ,52.554, ,55.217,(2),51.937, ,51.937,2,42.588,1,1000
2,PAX,STU,Ben Clement,05 Mitsubishi/Evo,55.988,(2),52.232, ,57.548,(6),53.876,(2),52.232,4,43.353,2,982
3,PAX,GS,Rob Rockefeller,03 Toyota/Celica,56.981, ,54.909, ,54.844, ,53.967, ,53.967,5,43.983,3,968
4,PAX,GS,Kris Tvedt,03 Toyota/Celica,58.547,(2),56.033, ,55.675, ,54.030, ,54.030,6,44.034,4,967
5,PAX,SS,David Rock,01 Chevrolet/Corvette Z06,52.867, ,52.191, ,53.257,(2),55.933,(4),52.191,3,44.467,5,958
6,PAX,XP,Fred Zust,05 Lotus/Elise,56.944,(6),54.100,(4),50.924, ,DNF, ,50.924,1,44.915,6,948
7,PAX,STU,Jonathan Eddy,05 Subaru/WRX STi,72.698,(20),55.117, ,57.202,(4),57.554,(2),55.117,10,45.747,8,931
1,open,SS,Peter Drubin,06 Lotus/Exige,83.151,(20),60.287, ,59.920, ,59.297, ,59.297,26,50.521,29,843
1,open,AS,Chris Sparling,08 Saturn/Sky,57.436, ,62.113,(6),75.974, ,54.829, ,54.829,8,46.166,11,922
2,open,AS,Keith Lensch,08 Saturn/Sky,78.026,(20),57.433, ,56.753, ,54.976, ,54.976,9,46.290,12,920
3,open,AS,Bruce Patterson,03 Honda/S2000,56.983, ,55.547, ,55.226, ,58.561,(2),55.226,12,46.500,15,916
1,open,DS,Al Blankenship,05 Chrysler/crossfire,DNF, ,64.727, ,83.729,(20),61.467, ,61.467,32,49.911,26,853
1,open,ES,Jamal Brewer,95 Mazda/Miata,55.648, ,55.618,(2),58.235,(2),55.584,(2),55.584,13,45.412,7,938
1,open,ASP,Chris Kissel,65 FFR/COBRA,83.848,(20),59.122, ,59.263, ,57.977, ,57.977,23,49.976,27,852
1,open,CSP,Stuart Anderson,99 Mazda/Miata,63.857, ,80.409,(20),58.967, ,57.583, ,57.583,21,49.291,24,864
1,open,STU,James Hayden,95 BMW/M3,58.761,(2),56.246, ,55.140, ,55.161, ,55.140,11,45.766,9,931
1,open,STX,E Eikenberry,02 subaru/WRX,56.224, ,56.732, ,59.941,(4),58.263,(4),56.224,15,46.104,10,924
2,open,STX,Jeffrey Israel,04 Volkswagen/Golf R32,60.491,(2),58.811,(2),58.446,(2),56.535, ,56.535,16,46.359,13,919
3,open,STX,Dennis Lach,05 subaru/wrx wagon,66.514,(6),63.282,(4),59.850, ,58.284, ,58.284,24,47.793,19,891
1,open,SM,Luke Walker,04 Subaru/WRX,57.870,(2),56.809,(2),57.127,(2),55.614, ,55.614,14,47.828,20,890
1,ladies,XP,Diane Deanovic,05 Lotus/Elise,76.273,(20),54.331, ,DNF, ,57.389,(4),54.331,7,47.920,21,889
1,novice,HS,Bill Lewis,02 Honda/Civic LX,71.366, ,66.578, ,64.831, ,62.877, ,62.877,34,49.799,25,855
