"Here are the results! We had 49 competitors for the Event, and 32 time onlies.",,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,PAX,STU,Ben Clement,05 Mitsubishi/Evo,45.135, ,44.232, ,45.326, ,44.142, ,44.142,4,36.638,1,1000
2,PAX,SS,David Rock,01 Chevrolet/Corvette Z06,44.158, ,43.513, ,43.012, ,43.043, ,43.012,2,36.646,2,1000
3,PAX,STU,Chris Groppi,04 Subaru/WRX STi,46.946, ,46.542, ,45.711, ,44.362, ,44.362,5,36.820,3,995
4,PAX,SS,Larry Petrucci,01 Chebby/Zed06,44.954, ,45.890,(2),46.182,(2),43.722, ,43.722,3,37.251,4,984
5,PAX,STU,Jonathan Eddy,05 Subaru/WRX STi,46.142, ,46.719,(2),44.979, ,65.147,(20),44.979,6,37.333,5,981
6,PAX,GS,David Webb,06 MINI/Cooper S,46.698, ,46.076, ,45.987, ,65.271,(20),45.987,7,37.479,6,978
7,PAX,GS,Kris Tvedt,03 Toyota/Celica,50.156,(2),47.088, ,48.516, ,47.303, ,47.088,11,38.377,7,955
8,PAX,F125,Keith Lensch,06 SODI KART/,64.629,(20),44.417, ,42.928, ,41.452, ,41.452,1,39.296,12,932
9,PAX,STS,Arnaldo (Naz) Nazario,90 Honda/Civic Si,49.451, ,51.179, ,48.287, ,48.668, ,48.287,18,39.402,14,930
10,PAX,CS,Michael Pertile,96 Mazda/Miata,48.221, ,48.428, ,48.318, ,48.464, ,48.221,17,40.072,17,914
11,PAX,F125,Mark Eddy,99 kgb/spy,51.166, ,68.534,(20),62.596,(20),DNF, ,51.166,34,48.505,47,755
1,open,AS,Chris Sparling,08 Saturn/Sky,46.984, ,77.605, ,46.156, ,46.409, ,46.156,8,38.863,9,943
2,open,AS,Bruce Patterson,03 Honda/S2000,68.770,(20),47.982, ,47.674, ,48.513, ,47.674,14,40.142,18,913
3,open,AS,Stuart Anderson,04 Porsche/Boxster,72.558,(20),75.784,(22),50.343, ,58.234, ,50.343,32,42.389,34,864
4,open,AS,Christopher Norton,95 Mazda/Miata,DNF, ,95.502,(20),85.757,(20),64.573, ,64.573,48,54.370,48,674
1,open,ES,Jamal Brewer,95 Mazda/Miata,48.104, ,47.732, ,47.766, ,47.629, ,47.629,13,38.913,10,942
1,open,HS,Bruce Hazen,08 Mazda/3,96.129,(20),69.530, ,84.629,(20),84.736,(20),69.530,49,55.068,49,665
1,open,BSP,John Yamasaki,07 Mazda/RX8,55.999, ,54.024, ,53.160, ,52.069, ,52.069,40,44.675,40,820
1,open,CSP,Gene Sanders,06 Mazda/Miata,48.657, ,65.808,(20),46.719, ,46.679, ,46.679,10,39.957,15,917
1,open,STS,Joshua Brumfield,06 CHevrolet/Cobalt,75.662,(22),51.990, ,53.792,(2),51.352, ,51.352,36,41.903,31,874
1,open,STU,James Hayden,95 BMW/M3,48.180, ,66.448,(20),50.874,(4),46.354, ,46.354,9,38.474,8,952
1,open,STX,Matt Evans,04 Subaru/WRX,70.901,(20),49.144, ,48.922, ,48.849, ,48.849,20,40.056,16,915
2,open,STX,Sergio Perez,00 bmw/328i,51.843, ,50.061, ,54.314,(4),50.405, ,50.061,29,41.050,26,893
3,open,STX,Dennis Lach,05 subaru/wrx wagon,52.377, ,50.643, ,50.274, ,69.287,(20),50.274,31,41.225,27,889
1,open,SM2,Dave Skull,91 Toyota/MR2 /T,52.348,(2),50.516,(2),48.948,(2),47.298, ,47.298,12,41.007,25,893
2,open,SM2,Frank Peebles,91 Toyota/MR2,73.323,(22),50.778, ,52.915,(2),71.242,(20),50.778,33,44.025,37,832
3,open,SM2,Greg Toy,91 Toyota/MR2,76.170,(20),72.649,(20),55.156,(2),51.375, ,51.375,37,44.542,39,823
1,ladies,AS,Kim Sparling,08 Saturn/Sky,52.339, ,51.364, ,49.770, ,50.078, ,49.770,28,41.906,32,874
1,novice,DS,Thomas Martell,08 BMW/135i,51.493, ,50.234, ,50.194, ,68.870,(20),50.194,30,40.758,23,899
2,novice,AS,Trevor Davis,07 Pontiac/Solstice,50.318, ,50.160, ,49.400, ,49.252, ,49.252,23,41.470,28,883
3,novice,SS,John Carson,06 Lotus/Elise,61.205, ,51.389, ,51.610, ,48.903, ,48.903,21,41.665,29,879
4,novice,AS,Andy Phan,05 Honda/s2000,52.776, ,51.711, ,49.728, ,51.697,(2),49.728,27,41.871,30,875
5,novice,SS,Chris Cox,06 Chevy/Corvette Z06,54.305,(2),50.147, ,49.738, ,49.192, ,49.192,22,41.912,33,874
6,novice,DS,Bryan Sears,04 Subaru/WRX,59.990, ,55.284, ,53.085, ,54.731,(2),53.085,41,43.105,35,850
7,novice,SM2,Sean Wright,73 Datsun/240z,56.988, ,55.042, ,52.244, ,52.055, ,52.055,39,45.132,41,812
8,novice,BS,Rick Bean,05 Nissan/350Z,DNF, ,77.205,(20),DNF, ,55.187, ,55.187,43,45.916,43,798
9,novice,BS,Scott Gavel,05 Nissan/350Z Touring,DNF, ,58.317, ,57.902, ,55.715, ,55.715,46,46.355,44,790
10,novice,DS,Sonya Sozanski,04 Subaru/WRX,74.441, ,61.152, ,60.569, ,58.451, ,58.451,47,47.462,45,772
11,novice,SM2,Matthew Thomas,91 Toyota/Mr2,80.868,(20),56.878, ,56.092, ,55.237, ,55.237,44,47.890,46,765
1,street,DS,Kevin O'Neill,08 Audi/TT Quattro,49.447, ,50.316,(2),47.960, ,50.332,(2),47.960,16,38.944,11,941
2,street,FS,Jim Bright,06 Ford/Mustang GT,53.047,(2),66.985,(20),66.963,(20),47.918, ,47.918,15,39.341,13,931
3,street,CS,Harry Berzes,07 Mazda/MX5,50.858, ,49.476, ,49.232, ,48.332, ,48.332,19,40.164,19,912
4,street,ES,Michael Woodard,95 Mazda/Miata,61.072,(2),50.157, ,52.293,(2),49.317, ,49.317,24,40.292,20,909
5,street,FS,Wayne Tiffin,06 Ford/Mustang GT,52.340, ,50.220, ,51.063, ,49.472, ,49.472,25,40.617,21,902
6,street,FS,Tom Fellows,07 BMW/335i,50.572, ,49.521, ,49.565, ,50.440, ,49.521,26,40.657,22,901
7,street,HS,Zach Fellows,05 Honda/Civic,53.009, ,53.953,(2),51.886, ,51.529, ,51.529,38,40.811,24,898
8,street,DS,Amro Habib,05 Infiniti/G35 sedan,55.320, ,66.072, ,58.398, ,54.155, ,54.155,42,43.974,36,833
9,street,SM,Harry Steiner,95 Nissan/240 SX,53.806, ,68.985,(2),51.240, ,51.720, ,51.240,35,44.066,38,831
10,street,GS,James Tomassoni,08 VW/GTi,DNF, ,75.648,(24),55.722,(2),55.654,(4),55.654,45,45.358,42,808
1,TO,STU,Ben Clement,05 Mitsubishi/Evo,44.403, ,44.214, ,43.677, ,43.972, ,43.677, ,36.252, ,1011
2,TO,SS,David Rock,01 Chevrolet/Corvette Z06,42.887, ,42.886, ,43.181, ,DNS, ,42.886, ,36.539, ,1003
3,TO,SS,Larry Petrucci,01 Chebby/Zed06,43.166, ,43.441, ,43.358, ,DNS, ,43.166, ,36.777, ,996
4,TO,STU,Jonathan Eddy,05 Subaru/WRX STi,DNF, ,44.838, ,68.416,(24),DNS, ,44.838, ,37.216, ,984
5,TO,STU,Chris Groppi,04 Subaru/WRX STi,45.712, ,75.373,(20),45.147, ,45.446, ,45.147, ,37.472, ,978
6,TO,GS,David Webb,06 MINI/Cooper S,46.443, ,46.859, ,47.791,(2),49.709,(4),46.443, ,37.851, ,968
7,TO,STU,James Hayden,95 BMW/M3,48.836,(2),46.133, ,47.028, ,46.371, ,46.133, ,38.290, ,957
8,TO,F125,Keith Lensch,06 SODI KART/,41.537, ,40.886, ,40.753, ,40.895, ,40.753, ,38.634, ,948
9,TO,F125,Mark Eddy,99 kgb/spy,42.390, ,41.222, ,41.090, ,45.105,(4),41.090, ,38.953, ,941
10,TO,FS,Jim Bright,06 Ford/Mustang GT,49.539,(2),73.310,(20),47.672, ,48.981,(2),47.672, ,39.139, ,936
11,TO,STS,Arnaldo (Naz) Nazario,90 Honda/Civic Si,48.483, ,56.888,(4),49.621, ,48.335, ,48.335, ,39.441, ,929
12,TO,STX,Matt Evans,04 Subaru/WRX,53.142,(4),48.953, ,49.259, ,48.212, ,48.212, ,39.534, ,927
13,TO,GS,Kris Tvedt,03 Toyota/Celica,49.347,(2),74.225,(26),48.633, ,68.119,(20),48.633, ,39.636, ,924
14,TO,AS,Bruce Patterson,03 Honda/S2000,52.841, ,58.493, ,48.990,(2),47.531, ,47.531, ,40.021, ,915
15,TO,AS,Chris Sparling,08 Saturn/Sky,49.243,(2),50.600, ,50.587, ,47.580, ,47.580, ,40.062, ,915
16,TO,SS,Chris Cox,06 Chevy/Corvette Z06,50.648, ,49.348, ,47.270, ,49.955,(2),47.270, ,40.274, ,910
17,TO,AS,Andy Phan,05 Honda/s2000,59.364, ,68.221,(20),49.135, ,47.969, ,47.969, ,40.390, ,907
18,TO,STX,Dennis Lach,05 subaru/wrx wagon,49.581, ,54.058,(2),50.078, ,84.168,(24),49.581, ,40.656, ,901
19,TO,SM2,Jeremy Stein,71 Datsun/240Z,47.710, ,48.567, ,47.369, ,47.269, ,47.269, ,40.982, ,894
20,TO,HS,Bruce Hazen,08 Mazda/3,58.708, ,52.091, ,59.453, ,58.552, ,52.091, ,41.256, ,888
21,TO,DS,Bryan Sears,04 Subaru/WRX,51.096, ,50.825, ,68.858,(2),52.443, ,50.825, ,41.270, ,888
22,TO,SS,John Carson,06 Lotus/Elise,48.922, ,53.258,(4),51.293,(2),48.574, ,48.574, ,41.385, ,885
23,TO,GS,James Tomassoni,08 VW/GTi,53.166,(2),53.178,(2),51.848, ,51.776, ,51.776, ,42.197, ,868
24,TO,SM2,Jeremy Stein,71 Datsun/240Z,52.068,(2),50.556,(2),48.796, ,50.692,(2),48.796, ,42.306, ,866
25,TO,AS,Stuart Anderson,04 Porsche/Boxster,71.015,(20),50.940, ,51.205, ,50.553, ,50.553, ,42.566, ,861
26,TO,SM,Harry Steiner,95 Nissan/240 SX,50.984, ,49.819, ,52.000, ,50.798, ,49.819, ,42.844, ,855
27,TO,GS,Amro Habib,91Honda/CRX,55.026, ,53.506, ,52.800, ,53.462, ,52.800, ,43.032, ,851
28,TO,BSP,John Yamasaki,07 Mazda/RX8,52.135, ,51.084, ,52.879,(2),85.952,(22),51.084, ,43.830, ,836
29,TO,SM2,Greg Toy,91 Toyota/MR2,51.658, ,50.957, ,51.011, ,51.116, ,50.957, ,44.180, ,829
30,TO,SM2,Sean Wright,73 Datsun/240z,51.652, ,63.423,(2),51.280, ,53.126, ,51.280, ,44.460, ,824
31,TO,SM2,Matthew Thomas,91 Toyota/Mr2,54.101, ,55.406, ,54.225, ,52.376, ,52.376, ,45.410, ,807
32,TO,AS,Christopher Norton,95 Mazda/Miata,59.421, ,64.343, ,62.157, ,81.308,(20),59.421, ,50.032, ,732
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
