59 competitors & 38 time onlies.,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
14,novice,STS,Darwood Martin,99 Toyota/Corolla,DNF, ,85.503,(4),93.810,(22),91.645,(22),85.503,58,69.770,58,647
15,novice,SM,Paul Simmons,02 Chevy/Cavalier,DNF, ,96.005,(20),92.026,(20),88.243,(20),88.243,59,75.889,59,595
16,novice,HS,Roger Pederson,01 Toyota/Echo,107.941,(20),DNF, ,DNF, ,98.875,(20),98.875,60,78.309,60,576
1,street,DS,Erich Eikenberry,02 Subaru/WRX,63.116,(2),58.941, ,61.803,(2),59.376, ,58.941,26,47.860,14,943
2,street,CS,Matt Soeffner,99 Mazda/Miata Sport,74.831,(20),77.040,(20),58.632, ,77.801,(20),58.632,19,48.723,19,926
3,street,CS,Harry Berzes,07 Mazda/MX5,60.144, ,58.658, ,58.991, ,58.820, ,58.658,20,48.745,20,926
4,street,DS,Kevin O'Neill,08 Audi/TT Quattro,DNF, ,69.054, ,60.480, ,66.572,(6),60.480,31,49.110,22,919
5,street,GS,Todd Houser,07 Mini Cooper/S,60.582, ,60.927, ,60.309, ,60.560, ,60.309,30,49.152,23,918
6,street,AS,Bruce Patterson,03 Honda/S2000,61.144,(2),58.745, ,59.070, ,58.831, ,58.745,22,49.463,26,912
7,street,DS,Jack Drummond,4 Dodge/SRT-4,79.903,(20),63.555, ,62.290, ,61.297, ,61.297,32,49.773,29,907
8,street,FS,Wayne Tiffin,06 Ford/Mustang GT,64.289, ,85.000,(22),62.233, ,62.332, ,62.233,39,51.093,34,883
9,street,CS,John Ellis,03 mazda/miata,84.808,(20),81.519,(20),61.718, ,63.729,(2),61.718,35,51.288,35,880
10,street,CS,Larry Burrow,99 Mazda/Miata 10AE,62.402, ,62.617, ,61.793, ,63.354, ,61.793,37,51.350,36,879
11,street,SM,Harry Steiner,95 Nissan/240 SX,60.715, ,60.060, ,60.430,(2),59.867, ,59.867,28,51.486,38,876
12,street,CSP,Stuart Anderson,99 mazda/miata,64.596, ,63.919, ,62.485, ,64.679, ,62.485,40,53.487,46,844
1,TO,FM,Dan Hawrylkiw,86 Zink Z-19,52.013,(2),49.728, ,58.626,(2),DNS, ,49.728, ,44.507, ,1014
2,TO,XP,Fred Zust,05 Lotus/Elise,53.531, ,51.668, ,50.784, ,52.638,(2),50.784, ,44.791, ,1007
3,TO,AS,Rob Rockefeller,00 Honda/S2000,55.698, ,56.083,(2),53.998, ,54.081, ,53.998, ,45.466, ,992
4,TO,STS,Britt Dollmeyer,90 Honda/Civic Si,58.942,(2),56.506, ,55.795, ,56.165, ,55.795, ,45.529, ,991
5,TO,STU,Chris Groppi,04 Subaru/WRX STi,57.333, ,56.015, ,55.618, ,DNS, ,55.618, ,46.163, ,977
6,TO,CSP,Kevin Gleaton,99 Mazda/Miata,57.290,(2),56.844,(2),54.787, ,55.848, ,54.787, ,46.898, ,962
7,TO,CSP,Brad Owen,99 Mazda/Miata,69.315,(6),54.884, ,56.802,(2),56.617, ,54.884, ,46.981, ,960
8,TO,DS,Erich Eikenberry,02 Subaru/WRX,58.792, ,58.049, ,58.988, ,59.284, ,58.049, ,47.136, ,957
9,TO,GS,Kris Tvedt,03 Toyota/Celica,58.189, ,58.399, ,59.802,(2),61.605,(4),58.189, ,47.424, ,951
10,TO,FS,Jim Bright,06 Ford/Mustang GT,58.069, ,61.745,(4),58.046, ,60.022,(2),58.046, ,47.656, ,947
11,TO,F125,Mark Eddy,99 kgb/spy ,51.116, ,50.426, ,51.413, ,50.911, ,50.426, ,47.804, ,944
12,TO,STU,Jonathan Eddy,05 Subaru/Impreza WRX STi,58.847,(2),59.646,(2),57.693, ,DNS, ,57.693, ,47.885, ,942
13,TO,XP,Diane Deanovic,05 Lotus/Elise,54.342, ,64.115, ,58.881, ,55.796,(2),54.342, ,47.930, ,941
14,TO,CS,Matt Soeffner,99 Mazda/Miata Sport,59.335, ,57.948, ,58.476, ,DNF, ,57.948, ,48.155, ,937
15,TO,BM,Alan Wagstaffe,00 Legrand/Dragon SR1,54.160,(2),51.419, ,DNS, ,DNS, ,51.419, ,48.180, ,937
16,TO,STU,James Hayden,95 BMW/M3,58.571, ,58.270, ,58.342, ,58.160, ,58.160, ,48.273, ,935
17,TO,CSP,David Lahey,91 Mazda/Miata,57.410, ,85.548,(20),56.805, ,56.741, ,56.741, ,48.570, ,929
18,TO,STX,Jeffrey Israel,04 Volkswagen/Golf R32,59.960, ,80.200,(20),62.396,(2),60.211, ,59.960, ,49.167, ,918
19,TO,SM2,Dave Skull,91 Toyota/MR-2,62.542,(4),57.530, ,56.862, ,57.680, ,56.862, ,49.299, ,915
20,TO,AS,Chris Sparling,08 Saturn/Sky,58.631, ,58.892, ,64.815,(2),63.683,(2),58.631, ,49.367, ,914
21,TO,AS,Bruce Patterson,03 Honda/S2000,61.213,(2),63.641, ,59.403, ,DNS, ,59.403, ,50.017, ,902
22,TO,FS,James Cruice,06 Ford/Mustang GT,64.814,(2),64.304, ,62.806, ,61.153, ,61.153, ,50.207, ,899
23,TO,FS,Wayne Tiffin,06 Ford/Mustang GT,61.660, ,63.405,(2),61.566, ,61.236, ,61.236, ,50.275, ,898
24,TO,CS,John Ellis,03 mazda/miata,61.953, ,61.683, ,63.137,(2),60.833, ,60.833, ,50.552, ,893
25,TO,DS,Kevin O'Neill,08 Audi/TT Quattro,62.405,(2),83.190,(20),DNF, ,81.636,(20),62.405, ,50.673, ,890
26,TO,SM,Harry Steiner,95 Nissan/240 SX,59.639, ,59.144, ,58.990, ,60.443,(2),58.990, ,50.731, ,889
27,TO,CSP,Andy Ross,87 Porsche/944,62.222,(2),59.622, ,59.895, ,60.234, ,59.622, ,51.036, ,884
28,TO,CS,Larry Burrow,99 Mazda/Miata 10AE,67.774,(2),61.463, ,61.550, ,61.729, ,61.463, ,51.076, ,883
29,TO,AS,Chris Kissel,65 ffr/cobra,61.931, ,64.461,(2),60.755, ,80.838,(20),60.755, ,51.156, ,882
30,TO,STS,Brian Bilbo,97 Honda/Civic,65.513, ,63.832, ,63.487, ,63.109, ,63.109, ,51.497, ,876
31,TO,CS,Kyle Stelzer,04 mazda/mazdaspeed mx5,63.219, ,63.062, ,63.025, ,62.616, ,62.616, ,52.034, ,867
32,TO,CS,Mitzi Burrow,99 Mazda/Miata 10AE,65.249, ,64.631, ,63.103, ,62.755, ,62.755, ,52.149, ,865
33,TO,FSP,Thayer Keller,84 VW/Scirocco,64.680, ,63.764, ,66.593,(2),66.455,(2),63.764, ,53.115, ,850
34,TO,GS,Mark Teng,04 Mitsubishi/Eclipse Spyder,68.000, ,66.875, ,65.727, ,67.748, ,65.727, ,53.568, ,842
35,TO,CS,Jim Williamson,00 Mazda/Miata,65.549, ,66.685,(2),64.577, ,64.761, ,64.577, ,53.663, ,841
36,TO,HS,Dave Hymers,95 Subaru/Impreza L AWD,68.084, ,67.997, ,70.630,(2),DNS, ,67.997, ,53.854, ,838
37,TO,CSP,Stuart Anderson,99 mazda/miata,65.323, ,63.688, ,62.964, ,64.774, ,62.964, ,53.897, ,837
38,TO,SS,Thomas Blanchette,06 Ford /Mustang GT,90.762,(22),64.975, ,64.637, ,64.343, ,64.343, ,54.820, ,823
