"Here are the results! We had 65 racers for the Event, and 30 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,
2,OPEN,SM,JEREMY HAYES,84 VW GTI,60.173, ,60.029, ,60.174, ,75.715, ,60.029,28,50.064,36,860,,
1,OPEN,SM2,HARRY BERZES,94 MIATA,58.860, ,56.171, ,56.126, ,55.661, ,55.661,6,47.646,16,904,,
2,OPEN,SM2,ENRIQUE AVILES,82 MAZDA RX7,62.564, ,59.128, ,58.456, ,DNS, ,58.456,22,50.038,35,861,,
1,LADIES,CM,SHERYL ZAVION,82 FF,76.561, ,69.904, ,91.389,-20,69.368, ,69.368,57,63.749,64,675,,
1,NOVICE,SM,DAVID HARSAY,00 MUSTANG GT,65.595, ,60.159, ,58.867, ,58.333, ,58.333,21,48.650,22,885,,
2,NOVICE,FS,ERIC BROWN,89 TRANS AM,63.753, ,66.425,-4,60.670, ,69.972, ,60.670,34,49.082,25,877,,
3,NOVICE,ESP,FRANK JUDNICH,01 PONTIAC GTP,61.087, ,60.939, ,60.086, ,60.277, ,60.086,29,49.631,29,868,,
4,NOVICE,DSP,JEFF DEERINWATER,99 INTEGRA GS-R,64.092, ,87.309,-24,62.095, ,60.627, ,60.627,33,49.714,31,866,,
5,NOVICE,ESP,BILLY WEBSTER,99 DAKOTA R/T PUP,83.943,-20,62.560, ,61.676, ,64.112,(2),61.676,39,50.944,45,845,,
6,NOVICE,CSP,CLIFF ORBACH,73 PORSCHE 914,80.419, ,79.490,-4,61.033, ,60.578, ,60.578,32,51.007,46,844,,
7,NOVICE,STX,CHUCK LUBIN,02 SUBARU WRX,74.115, ,84.591,-20,63.950, ,82.367,-20,63.950,51,51.224,47,841,,
8,NOVICE,SM2,JOHN CALLIE,94 HONDA DELSOL,64.560, ,62.340, ,64.122,-2,64.813, ,62.340,44,53.363,55,807,,
9,NOVICE,HS,DAVID KHA,02 MINI COOPER,101.356,-20,72.831, ,71.748, ,73.206, ,71.748,62,55.892,57,770,,
10,NOVICE,FS,KELLY LAMONT,02 CAMARO,80.486, ,72.930,-2,69.637, ,69.518,-4,69.518,58,56.240,59,766,,
11,NOVICE,CSP,ROBERTA ORBACH,73 PORSCHE 914,DNF, ,DNF, ,73.164, ,70.884, ,70.884,61,59.684,62,721,,
12,NOVICE,FS,GARY BROWN,99 TRANS AM,118.041,-20,78.497, ,73.928, ,74.217, ,73.928,65,59.808,63,720,,
1,DAILY DRIVER,BS,PAUL LIALIOS,03 NISSAN 350Z,59.334, ,58.049, ,59.286, ,58.744, ,58.049,20,48.007,19,897,,
2,DAILY DRIVER,FS,JACK DRUMMOND,01 CAMARO Z28,DNF, ,64.955, ,62.778, ,59.756, ,59.756,26,48.343,21,891,,
3,DAILY DRIVER,DS,WALTER NASH,02 BMW 330Ci,70.641, ,63.349, ,62.090, ,63.606, ,62.090,41,49.548,28,869,,
4,DAILY DRIVER,GS,MIKE MORZINSKI,00 INTEGRA,69.689, ,65.323, ,63.636, ,64.355, ,63.636,50,49.954,32,862,,
5,DAILY DRIVER,ESP,TROY BILSE,00 DAKOTA R/T PUP,62.179, ,61.429, ,60.547, ,60.628, ,60.547,30,50.012,34,861,,
