"Here are the results! We had 71 racers for the Event, and 31 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event VI,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,
2,CS,LADIES,ROBERTA ORBACH,73 PORSCHE 914,89.385,-20,67.541,,66.441,,64.201,,64.201,50,52.131,43,845,,
1,GS,NOVICE,MIKE MORZINSKI,00 INTEGRA,64.766,,84.779,-20,64.729,,65.959,(2),64.729,54,50.812,36,867,,
3,ESP,NOVICE,JEFF MAKOWSKI,VW JETTA,88.082,-22,64.552,,64.751,,62.375,,62.375,37,51.522,37,855,,
2,BS,NOVICE,DAVID HEINITZ,01 HONDA S2000,64.327,,63.809,,63.574,,62.828,,62.828,40,51.959,41,848,,
3,AS,NOVICE,TOM LIALIOS,87 PORSCHE 944T,73.045,,67.496,,64.744,,63.016,,63.016,41,52.177,46,844,,
4,ES,NOVICE,SAM BROWN,85 TOYOTA MR,66.209,,65.492,,65.464,,66.018,(2),65.464,57,52.502,46,839,,
5,DS,NOVICE,MIKE QUIGLEY,02 SUBARU WRX,85.393,-20,66.005,,65.812,,69.047,-2,65.812,58,52.518,48,839,,
6,ESP,NOVICE,TROY BILSE,00 DAKOTA R/T,65.160,,64.779,,64.250,,65.032,,64.250,51,53.070,52,830,,
7,ESP,NOVICE,TRAVIS HIGGINS,00 DAKOTA R/T,66.178,,67.373,-2,64.851,,67.665,(2),64.851,55,53.567,56,822,,
8,FS,NOVICE,DAN COMPTON,91 CAMARO,DNF,,75.713,-2,92.361,-22,66.613,,66.613,62,53.890,57,817,,
9,DSP,NOVICE,AARON PURSLEY,91 VW GTI,93.106,-26,70.021,,66.019,,66.792,-2,66.019,59,54.136,58,814,,
10,ES,NOVICE,DON POSEY,81 DATSUN 280ZX,71.678,,70.017,,67.704,,68.486,,67.704,64,54.299,60,811,,
11,HS,NOVICE,OWEN GIBSON,89 MUSTANG,73.807,,71.790,,72.695,,70.137,,70.137,69,54.637,62,806,,
12,STX,NOVICE,JOSH FRANKHOUSER,86 MUSTANG,DNF,,71.000,(2),69.046,,75.018,-6,69.046,66,55.306,64,796,,
13,GS,NOVICE,CHUCK LUBIN,02 SUBARU WRX,76.053,,71.029,,70.740,,70.561,-2,70.561,70,55.390,66,795,,
14,BP,NOVICE,JUSTIN SHOOK,84 MAZDA RX7,68.158,,65.308,,68.015,-4,71.330,,65.308,56,56.622,69,778,,
15,ESP,NOVICE,JASON WATTS,89 MUSTANG,72.522,,71.659,-2,68.928,,69.803,-2,68.928,65,56.935,70,774,,
16,CP,NOVICE,JESSE SMITH,68 CAMARO,78.468,,72.770,-2,77.135,,76.844,,72.770,71,62.146,71,709,,
1,BS,DAILY,PAUL LIALIAS,01 HONDA S2000,59.662,,59.062,,58.283,,58.211,,58.211,21,48.140,24,915,,
2,FS,DAILY,JACK DRUMMOND,01 CAMARO Z28,62.846,,60.990,,61.794,-2,59.722,,59.722,29,48.315,25,912,,
3,ES,DAILY,CARL KOSKI,85 TOYOTA MR2,75.746,,63.653,,62.398,,66.103,-2,62.398,39,50.043,31,880,,
4,ESP,DAILY,DOUG EVANS,99 CAMARO,62.475,-2,61.337,,60.973,,60.846,,60.846,32,50.259,34,876,,
5,ES,DAILY,DAVID BARGER,88 MAZDA RX7,83.167,-20,63.982,,63.396,,63.112,,63.112,44,50.616,35,870,,
6,BS,DAILY,BILL SPARLING,88 BMW M3,63.192,,63.113,,62.397,,62.794,,62.397,38,51.602,39,853,,
7,SM,DAILY,FRANK JUDNICK,01 PONTIAC GTP,65.638,,64.389,,64.272,,63.025,,63.025,42,52.563,49,838,,
8,SS,DAILY,DAVID LEE,00 CORVETTE,67.115,,65.838,,64.816,,63.244,,63.244,45,52.872,50,833,,
9,ES,DAILY,KEVIN HAWLEY,73 DATSUN 240Z,93.111,-20,66.891,,66.204,,69.923,-2,66.204,61,53.096,53,829,,
,AS,TIME ONLY,STEVE RYAN,91 CORVETTE,54.772,,53.709,,54.077,,53.513,,53.513,,44.309,TO,994,,
,SS,TIME ONLY,MARC MCCOMBS,01 ???,53.636,,53.168,,73.372,-20,53.169,,53.168,,44.448,TO,991,,
,SM,TIME ONLY,DAVE YOUNG,02 BMW M3,53.458,,55.599,-2,55.349,-2,55.964,(2),53.458,,44.584,TO,988,,
,BS,TIME ONLY,DAVE MCCOMBS,02 HONDA S2000,54.707,,55.022,,54.700,,54.392,,54.392,,44.982,TO,979,,
,STX,TIME ONLY,MARK GOERNER,01 INTEGRA TYPE R,60.212,-2,57.416,,56.709,,56.997,,56.709,,45.424,TO,970,,
,BSP,TIME ONLY,NEWTON JOHNSON,91 CORVETTE,54.374,,56.012,,57.428,-2,56.147,-2,54.374,,45.674,TO,964,,
,BS,TIME ONLY,DAVE SKULL,91 TOYOTA MR2/T,60.071,-4,55.503,,55.631,,55.687,,55.503,,45.901,TO,959,,
,SS,TIME ONLY,JOEL SCHOTZ,01 CORVETTE,57.189,-2,55.244,,55.213,,54.917,,54.917,,45.911,TO,959,,
,AP,TIME ONLY,GREG DUNCAN,84 FIERO,52.805,,53.232,,54.964,-2,DNS,,52.805,,46.152,TO,954,,
,HS,TIME ONLY,BUD ADELMAN,88 MAZDA 626/T,60.879,,60.128,,59.858,,59.531,,59.531,,46.375,TO,950,,
,CS,TIME ONLY,JIM O'HARRA,66 LOTUS SUPER7,58.449,,57.426,,57.266,,62.709,-4,57.266,,46.500,TO,947,,
,ESP,TIME ONLY,ABRAHAM JONES,00 CAMARO SS,58.564,,56.619,,65.923,,57.377,,56.619,,46.767,TO,942,,
,GS,TIME ONLY,CHRIS SPARLING,02 SAAB 9-3,61.803,,61.139,,60.339,,59.830,,59.830,,46.967,TO,938,,
,CS,TIME ONLY,RALPH PRINCE,60 BUGEYE,61.923,(2),58.715,,67.155,(6),DNS,,58.715,,47.677,TO,924,,
,BS,TIME ONLY,PAUL LIALIAS,01 HONDA S2000,82.153,-20,59.522,,90.060,-4,60.004,,59.522,,49.225,TO,895,,
,EM,TIME ONLY,BRIAN MALM,90 CORVARRI,54.662,,54.840,,56.231,-2,60.657,-6,54.662,,49.414,TO,891,,
,ES,TIME ONLY,CARL KOSKI,85 TOYOTA MR2,63.156,,61.957,,64.850,-2,65.505,,61.957,,49.690,TO,886,,
,EM,TIME ONLY,RON TERRIEN,90 CORVARRI,57.866,,55.771,,55.381,,58.497,-2,55.381,,50.064,TO,880,,
,GS,TIME ONLY,SPENCER YARTER,99 GRAND PRIX,64.863,,64.164,,70.492,-4,65.788,-2,64.164,,50.369,TO,874,,
