"Here are the results! We had 102 racers for the Event, and 37 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
3,DM,OPEN,RALPH PRINCE,60 BUGEYE,69.860, ,59.724, ,57.219, ,57.219,49,51.154,82,797,,,,
1,EM,OPEN,TOM HILL,88 FIERO,54.399, ,56.138,-4,51.187, ,51.187,5,46.273,41,881,,,,
1,STS,OPEN,DAVID ROCK,00 CELICA GTS,57.168,-2,52.643, ,52.181, ,52.181,11,40.910,2,997,,,,
2,STS,OPEN,JONATHAN EDDY,00 SUBARU IMPREZA,53.887, ,57.012, ,53.357, ,53.357,22,41.832,5,975,,,,
3,STS,OPEN,MARK EDDY,00 SUBARU IMPREZA,65.459,-6,DNF, ,54.155,-2,54.155,23,42.458,6,961,,,,
4,STS,OPEN,JOSH HOLDEN,00 CIVIC Si,79.364,-20,58.974, ,56.541, ,56.541,40,44.328,21,920,,,,
5,STS,OPEN,JOHN RASKOB,90 ECLIPSE,56.917, ,57.445, ,66.719,-2,56.917,46,44.623,25,914,,,,
6,STS,OPEN,TODD LYDIC,00 TOYOTA CELICA GTS,58.173, ,60.392,-4,58.417, ,58.173,59,45.608,33,894,,,,
1,STX,OPEN,MARK GOERNER,01 INTEGRA TYPE R,52.300, ,55.493,-4,51.536, ,51.536,7,41.280,3,988,,,,
2,STX,OPEN,ZACH HANCOCK,02 SUBARU WRX,61.796,-2,58.944, ,56.781, ,56.781,44,45.482,32,897,,,,
3,STX,OPEN,JONATHAN KELLY,94 MUSTANG,DNF, ,95.085,-24,DNF, ,95.085,99,76.163,99,535,,,,
1,SM,OPEN,DAVE YOUNG,02 BMW M3,70.085,-20,70.118,-20,49.754, ,49.754,2,41.495,4,983,,,,
2,SM,OPEN,GEREN SMITH,02 SUBARU WRX,58.094,-2,54.792, ,74.746,-20,54.792,27,45.697,35,893,,,,
