"Here are the results!. We had 104 racers for the Morning Event and 76 for the Afternoon Event.",,,,,,,,,,,,,,,,,,,
Morning Event,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
2,STS,OPEN,JONATHAN EDDY,00 SUBARU 2.5RS,54.593,,52.487,,52.417,,52.417,26,41.095,9,972,,,,
3,STS,OPEN,DAVID ROCK,00 CELICA GTS,52.979,,53.221,,52.511,,52.511,27,41.169,11,970,,,,
4,STS,OPEN,MIKE JAMES,98 VW PASSAT,56.968,,55.66,,57.89,,55.66,44,43.637,30,915,,,,
1,STX,OPEN,MARK GOERNER,01 INTEGRA TYPE R,53.889,,53.007,,52.269,,52.269,25,41.867,18,954,,,,
2,STX,OPEN,MICHAEL VEALE,02 SUBARU WRX,61.186,,56.842,,58.524,(2),56.842,51,45.53,44,877,,,,
1,SM,OPEN,DAVE YOUNG,02 BMW M3,50.184,,50.129,,49.128,,49.128,6,40.973,8,974,,,,
2,SM,OPEN,STEVE STEELE,65 MUSTANG,52.288,,58.177,(6),51.96,,51.96,23,43.335,26,921,,,,
3,SM,OPEN,JEREMY HAYES,84 VW GTI,56.472,,55.803,,56.991,,55.803,46,46.54,51,858,,,,
1,SM2,OPEN,HARRY BERZES,94 MIATA,53.911,,52.311,,51.404,,51.404,16,44.002,32,907,,,,
1,KT,OPEN,KAYLA SMITH,00 COBRA JR KART,80.748,,78.98,,74.125,,74.125,103,60.412,103,661,,,,
1,ES,LADIES,SUSAN LOVE,93 TOYOTA MR2,60.69,,60.59,,57.465,,57.465,56,46.087,46,866,,,,
2,GS,LADIES,LORI EHMAN,98 NISSAN MAXIMA SE,64.362,,65.391,(2),59.941,,59.941,71,47.054,55,848,,,,
3,KT,LADIES,RONDA SMITH,00 EMMICK KART,83.882,(4),62.65,,60.069,,60.069,73,48.956,71,816,,,,
