"Here are the results! We had 60 competitors for the Event, and 29 time onlies.",,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,street,DS,Zach Fellows,05 BMW/325i,60.978,(2),78.327,(20),57.541, ,56.910, ,56.910,21,45.756,10,934
2,street,FS,Jim Bright,06 Ford/Mustang GT,60.996,(2),57.975, ,57.542, ,57.084, ,57.084,23,46.181,15,925
3,street,AS,Don Hyland,07 Saturn/Sky Red Line,56.861, ,56.952, ,56.219, ,57.651,(2),56.219,18,47.112,20,907
4,street,ES,Michael Woodard,95 Mazda/Miata,59.859, ,59.721, ,58.410, ,59.711, ,58.410,34,47.429,24,901
5,street,CSP,Matt Soeffner,99 Mazda/Miata,58.437, ,60.342,(2),78.195,(20),56.954, ,56.954,22,48.126,32,888
6,street,FS,Jim Barks,07 Ford/Mustang GT,83.195,(20),61.029, ,60.238, ,59.739, ,59.739,36,48.329,33,884
7,street,ASP,Jeff Williams,02 Chevy/Vette,57.310, ,57.450, ,64.503, ,56.702, ,56.702,19,48.650,34,878
8,street,CS,Bill Fisher,03 Mazda/Miata,62.319,(2),61.510,(2),59.404, ,59.611, ,59.404,35,48.830,35,875
9,street,FS,Tom Fellows,07 BMW/335i,82.725,(20),81.514,(20),61.314, ,60.519, ,60.519,40,48.960,36,872
10,street,AS,Arland Crump,90 chev/corvette,91.114,(20),62.609, ,DNF, ,60.783, ,60.783,41,50.936,39,839
11,street,CS,Stuart Anderson,99 mazda/miata,64.262,(2),62.038, ,81.911,(20),62.657, ,62.038,43,50.995,40,838
12,street,DP,Sean Powers,85 Toyota/MR2,DNF, ,66.975,(2),62.072, ,60.986, ,60.986,42,52.448,48,814
13,street,CS,Dave Hurt,06 Mazda/Miata,DNF, ,64.197, ,69.708, ,65.617,(2),64.197,50,52.770,49,809
14,street,DSP,Larry Burrow,87 BMW/325is,68.468, ,66.413, ,66.219, ,65.913, ,65.913,57,55.103,56,775
15,street,AS,Dave Hymers,93 Saturn/SW2,DNF, ,73.744, ,DNF, ,70.477, ,70.477,59,59.060,60,723
1,TO,FJ1,Michelle Lensch,Kart,54.828, ,54.099, ,53.382, ,52.596, ,52.596, ,41.551, ,1028
2,TO,SS,David Rock,01 Chevrolet/Corvette,50.625, ,52.178,(2),50.021, ,62.086,(4),50.021, ,42.418, ,1007
3,TO,STU,Chris Groppi,04 Subaru/WRX STi,55.304,(2),53.716, ,53.849, ,53.536, ,53.536, ,43.953, ,972
4,TO,DS,Mark Eddy,06 mazda/speed6,62.481,(8),55.020, ,DNS, ,DNS, ,55.020, ,44.236, ,966
5,TO,STU,Ben Clement,05 Mitsubishi/Evo,54.431, ,54.187, ,54.281, ,56.059,(2),54.187, ,44.488, ,960
6,TO,STS2,David Lahey,91 Mazda/Miata,56.307, ,58.516,(2),56.572, ,57.690, ,56.307, ,45.383, ,941
7,TO,STU,Teresa Clement,05 Mitsubishi/Evo,55.953, ,56.020, ,55.328, ,57.782, ,55.328, ,45.424, ,940
8,TO,AS,Robert Rockefeller,00 Honda/S2000,57.521,(2),54.387, ,61.463, ,54.604, ,54.387, ,45.576, ,937
9,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,56.827, ,57.071, ,57.665, ,57.504, ,56.827, ,45.746, ,934
10,TO,DS,Amro Habib,05 Infiniti/G35 sedan,60.543,(2),60.700,(2),57.828,(2),56.973, ,56.973, ,45.806, ,933
11,TO,SM,Bill (Dr Evo) Miskovic,06 Mitsubishi/Evolution,53.838, ,57.389,(2),54.363, ,56.660,(2),53.838, ,46.085, ,927
12,TO,GS,Chris Sparling,02 Saab/9-3,58.225, ,57.738, ,57.650, ,57.949, ,57.650, ,46.293, ,923
13,TO,CS,Jeff Hancock,99 Mazda/Miata,56.887, ,56.347, ,57.605, ,66.270,(2),56.347, ,46.317, ,922
14,TO,FM,Dan Hawrylkiw,86 Zink/Z-19,54.540, ,52.632, ,DNF, ,75.490,(20),52.632, ,46.842, ,912
15,TO,FS,Jim Bright,06 Ford/Mustang GT,58.097, ,61.452,(2),63.267,(2),60.262,(2),58.097, ,47.000, ,909
16,TO,BSP,Chris Sugar,06 Subaru/STi,56.882, ,58.721,(2),55.563, ,55.993, ,55.563, ,47.395, ,901
17,TO,BM,Alan Wagstaffe,00 Legrand/Mk.25,71.864,(20),50.998, ,50.329, ,72.116,(20),50.329, ,47.511, ,899
18,TO,CSP,Matt Soeffner,99 Mazda/Miata,76.889,(20),57.658, ,57.099, ,60.003,(2),57.099, ,48.249, ,885
19,TO,AS,Bruce Patterson,03 Honda/S2000,58.333, ,59.082,(2),57.722, ,59.358,(2),57.722, ,48.371, ,883
20,TO,ASP,Jeff Williams,02 chevy/Vette,57.181, ,57.537, ,56.889, ,59.707,(2),56.889, ,48.811, ,875
21,TO,ASP,Greg Toy,05 Lotus/Elise,59.075,(2),57.715, ,57.979, ,58.185, ,57.715, ,49.519, ,863
22,TO,CS,Stuart Anderson,99 Miata,60.716, ,63.698,(2),61.076, ,61.819, ,60.716, ,49.909, ,856
23,TO,CS,Jonathan Schwab,06 Pontiac/Solstice,65.732, ,62.237, ,61.292, ,62.264, ,61.292, ,50.382, ,848
24,TO,STS,Chase Torres,98 Honda/Civic EX,65.439, ,63.068, ,65.886, ,62.697, ,62.697, ,50.471, ,846
25,TO,CS,Dave Hurt,06 Mazda/Miata,63.930, ,64.870,(2),62.029, ,61.578, ,61.578, ,50.617, ,844
26,TO,AS,Barbie Patterson,03 Honda/S2000,62.352, ,61.924, ,61.584, ,62.406, ,61.584, ,51.607, ,828
27,TO,CS,Jim Williamson,00 Mazda/Miata,64.441, ,64.220, ,63.306, ,62.954, ,62.954, ,51.748, ,825
28,TO,ASP,Alona Bachi,98 Porche/Boxster,65.608,(4),63.732,(4),62.200,(4),DNF, ,62.200, ,53.368, ,800
29,TO,AS,Dave Hymers,93 Saturn/SW2,69.570, ,69.738, ,68.030, ,68.860, ,68.030, ,57.009, ,749
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
