"Here are the results! We had 51 competitors for the Event, and 34 time onlies.",,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
4,street,CS,Harry Berzes,07 Mazda/MX5,57.139, ,55.443, ,55.402, ,55.537, ,55.402,21,45.540,22,925
5,street,FS,Jim Bright,06 Ford/Mustang GT,57.052, ,56.549, ,58.120,(2),57.351, ,56.549,29,45.748,23,920
6,street,CSP,Matt Soeffner,99 Mazda/Miata,56.540,(2),56.101,(2),56.911,(2),57.178,(2),56.101,27,47.405,30,888
7,street,CS,John Ellis,03 mazda/miata,59.767,(2),57.789, ,58.902,(2),58.643, ,57.789,33,47.503,31,886
8,street,HS,Larry Burrow,03 VW/TDI Beetle,61.888, ,61.146, ,63.400,(2),62.748, ,61.146,43,48.244,33,873
1,TO,CP,Brian Weikert,85 Chevrolet/Camaro Z-28,51.991, ,55.032,(4),54.123,(2),0.000, ,0.000, ,0.000, ,#DIV/0!
2,TO,STU,Chris Groppi,04 Silver Sti,54.271,(2),51.232, ,50.811, ,51.808, ,50.811, ,41.716, ,1009
3,TO,ASP,Ted Lewis,Lotus elan,48.695, ,53.243,(4),49.556, ,48.646, ,48.646, ,41.738, ,1009
4,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,53.405, ,53.718, ,52.992, ,53.386, ,52.992, ,42.659, ,987
5,TO,STU,Jay Balducci,05 Subaru/STI,53.562, ,52.312, ,59.404,(8),55.606,(4),52.312, ,42.948, ,980
6,TO,GS,Dave Webb,Mini,54.499, ,55.402, ,54.433, ,53.721, ,53.721, ,43.138, ,976
7,TO,STU,Ben Clement,05 Mitsubishi/Evo,52.772, ,56.057,(4),53.620,(2),72.451,(20),52.772, ,43.326, ,972
8,TO,STX,Mike Quigley,02 Subaru/WRX,54.392, ,54.105, ,58.642,(2),53.890, ,53.890, ,43.543, ,967
9,TO,CSP,Steve Steele,93 Mazda/Miata,55.577,(2),54.308,(2),54.018,(2),51.761, ,51.761, ,43.738, ,963
10,TO,SS,David Rock,01 Chevrolet/Corvette,54.448,(2),51.776, ,54.138, ,52.877, ,51.776, ,43.906, ,959
11,TO,CSP,Mark Johnson,94 Mazda/Miata,52.490, ,52.353, ,54.685,(2),52.840, ,52.353, ,44.238, ,952
12,TO,GS,Mindi Cross,Mini,58.807,(4),55.665, ,55.100, ,84.703,(22),55.100, ,44.245, ,952
13,TO,STU,Teresa Clement,05 Mitsubishi/Evo,55.284, ,56.565,(2),56.534,(2),54.171, ,54.171, ,44.474, ,947
14,TO,DS,Amro Habib,05 INFINITI/G35 SEDAN,55.979, ,61.364,(6),56.344, ,56.666, ,55.979, ,45.007, ,935
15,TO,HS,Dan Hawrylkiw,99 Toyota/Corolla,60.927,(2),80.984,(20),57.208, ,77.835,(20),57.208, ,45.137, ,933
16,TO,FS,Jim Bright,06 Ford/Mustang GT,56.606, ,56.573, ,55.815, ,59.612,(2),55.815, ,45.154, ,932
17,TO,STU,Daniyar Murataliev,07 Mazda/Mazdaspeed3,57.585, ,57.490, ,55.735, ,56.817, ,55.735, ,45.758, ,920
18,TO,CSP,Matt Soeffner,99 Mazda/Miata,59.912, ,54.816, ,54.613, ,54.191, ,54.191, ,45.791, ,919
19,TO,SS,Keith Lensch,01 Chevrolet/Corvette,56.470,(2),57.066,(2),62.159,(2),54.157, ,54.157, ,45.925, ,917
20,TO,CS,Harry Berzes,07 Mazda/MX5,56.758, ,57.715,(2),55.890, ,56.025, ,55.890, ,45.942, ,916
21,TO,DS,Mark Eddy,06 Mazzda Speed 6,57.682, ,60.599,(2),58.871,(4),57.176,(2),57.176, ,45.970, ,916
22,TO,ASP,Paul Morel,98 Porsche/Boxster,53.737, ,55.838,(2),55.112, ,57.597,(4),53.737, ,46.106, ,913
23,TO,CP,Richard Rippy,86 chevy/camaro,53.381, ,58.261,(6),58.692,(6),DNS, ,53.381, ,46.121, ,913
24,TO,AS,Stuart Anderson,04 Porsche/Boxster,59.339,(2),57.642, ,57.346, ,56.301, ,56.301, ,47.180, ,892
