"Here are the results! We had 45 competitors for the Event, and 38 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
5,street,SS,Zach Heidepriem,94 Mazda/RX7,44.880,(2),41.034,(2),38.929, ,41.475,(2),38.929,25,32.700,27,861,,
6,street,GS,Ian Whitehouse,93 Mazda/MX-6 LS,43.676,(2),66.940,(24),42.053,(2),44.004,(4),42.053,31,33.390,32,843,,
1,TO,CSP,Brian Peters,93 Mazda/Miata,32.122, ,DNS, ,DNS, ,DNS, ,32.122, ,26.918, ,1046,,
2,TO,STU,Jay Balducci,05 Subaru/WRX-STI,34.023, ,DNS, ,DNS, ,DNS, ,34.023, ,27.899, ,1009,,
3,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,35.303, ,37.555,(2),39.559,(4),DNS, ,35.303, ,28.136, ,1001,,
4,TO,STX,Mike Quigley,02 subaru/wrx,37.056,(2),35.271, ,37.262,(2),DNS, ,35.271, ,28.358, ,993,,
5,TO,ESP,Larry Petrucci,95 Pontiac/Firechicken,34.686,(2),DNS, ,DNS, ,DNS, ,34.686, ,28.720, ,980,,
6,TO,BS,Carey Kriger,99 BMW/M Coupe,34.986, ,DNS, ,DNS, ,DNS, ,34.986, ,28.758, ,979,,
7,TO,BS,Elliot Speidell,04 Mazda/Rx-8,35.648, ,46.706,(14),35.976, ,36.583, ,35.648, ,29.303, ,961,,
8,TO,STS,Manfred Reysser,01 Toyota/Celica GT,37.303, ,36.836, ,DNS, ,DNS, ,36.836, ,29.358, ,959,,
9,TO,ASP,Joel Schotz,06 Chevrolet/Corvette Z06,34.488, ,DNS, ,DNS, ,DNS, ,34.488, ,29.384, ,958,,
10,TO,STX,Shea Burns,00 Subaru/Impreza,37.489, ,DNS, ,DNS, ,DNS, ,37.489, ,30.141, ,934,,
11,TO,AS,Rob Rockefeller,00 Honda/S2000,36.762,(2),DNS, ,DNS, ,DNS, ,36.762, ,30.549, ,922,,
12,TO,STS,Kris Chang,96 Honda/Accord,45.118,(6),38.384, ,38.872, ,63.355,(22),38.384, ,30.592, ,920,,
