"Here are the results! We had 52 competitors for the Event, and 25 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
1,street,DS,Ian Whitehouse,03 MazdaSpeed/Protege,52.809, ,50.116, ,49.108, ,49.927, ,49.108,30,39.188,22,893,,
2,street,DS,Michael Whitehouse,03 MazdaSpeed/Protege,54.170,(4),49.980, ,49.332, ,50.163, ,49.332,32,39.367,23,889,,
3,street,DSP,John Lawson,96 Dodge/Neon,52.451,(2),49.114, ,49.217, ,49.218, ,49.114,31,40.716,32,859,,
4,street,HS,Michael Starr,06 Chevy/Aveo,55.838, ,54.148, ,54.989,(2),52.506, ,52.506,45,40.955,34,854,,
5,street,ESP,Matt Evans,98 Ford/Mustang,50.835, ,52.267, ,50.557, ,50.415, ,50.415,34,41.744,37,838,,
6,street,AS,Stuart Anderson,04 Porsche/Boxster,55.501, ,52.387, ,51.790, ,51.047, ,51.047,37,42.420,39,825,,
7,street,HS,Michael Starr,06 Chevy/Aveo,86.117,(20),59.615, ,57.410, ,55.261, ,55.261,48,43.104,43,812,,
8,street,SM,Chris Parks,97 firebird/trans am,DNF, ,52.449, ,54.166, ,DNF, ,52.449,44,44.319,47,790,,
9,street,SM,Ted Parks,97 firebird/trans am,87.261,(22),60.883, ,57.325, ,53.916, ,53.916,46,45.559,49,768,,
1,TO,SS,David Rock,01 Chevrolet/Corvette Z06,43.573, ,66.334,(22),43.349, ,42.859, ,42.859, ,36.002, ,972,,
2,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,71.181,(24),45.606, ,45.409, ,45.196, ,45.196, ,36.021, ,972,,
3,TO,FM,Chuck Voboril,86 Zink/Z19,41.330, ,42.122,(2),41.149,(2),40.815, ,40.815, ,36.203, ,967,,
4,TO,SS,Newton Johnson,04 Corvette/Z06,44.090, ,47.503,(4),47.331,(4),43.518, ,43.518, ,36.555, ,957,,
5,TO,AS,Rob Rockefeller,00 Honda/S2000,44.676, ,45.749, ,50.154,(6),44.785, ,44.676, ,37.126, ,943,,
6,TO,ASP,Keith Lensch,06 CHEVROLET/CORVETTE,43.581, ,DNF, ,44.878,(2),65.757,(22),43.581, ,37.131, ,942,,
7,TO,DS,Doug Rowse,03 BMW/330i,54.873,(8),46.673, ,50.174,(2),49.673,(4),46.673, ,37.245, ,940,,
8,TO,STS,Erich Eikenberry,00 Honda /Civic Si,49.338,(2),47.491, ,56.885,(8),47.009, ,47.009, ,37.466, ,934,,
9,TO,STU,Chris Lampe,ru Impreza/WRX STi,50.584,(2),46.887, ,45.739, ,49.265,(2),45.739, ,37.506, ,933,,
10,TO,DS,Ron Terrien,03 BMW/330,47.222, ,48.277, ,47.222, ,47.278, ,47.222, ,37.683, ,929,,
11,TO,STX,Mike Quigley,02 subaru/wrx,51.087,(6),50.167, ,48.771, ,46.991, ,46.991, ,37.781, ,926,,
12,TO,GS,Kris Tvedt,03 Toyota/Celica,49.485, ,50.826,(2),48.251, ,47.661, ,47.661, ,37.843, ,925,,
13,TO,EM,Greg Duncan,84 Pontac/Fiero,43.585, ,44.004, ,44.046, ,43.232, ,43.232, ,38.087, ,919,,
14,TO,STU,Christopher Groppi,04 Subaru/WRX STi,47.181, ,47.372, ,46.793, ,46.463, ,46.463, ,38.100, ,919,,
15,TO,DS,Michael Whitehouse,03 MazdaSpeed/Protege,51.718,(2),55.147,(6),48.822, ,49.559, ,48.822, ,38.960, ,898,,
16,TO,STX,Amro Habib,05 INFINITI/G35 SEDAN,50.310, ,49.299, ,49.696, ,48.949, ,48.949, ,39.355, ,889,,
17,TO,GS,Chris Sparling,02 Saab/9-3,49.843, ,54.831,(2),49.909, ,DNS, ,49.843, ,39.575, ,884,,
18,TO,ASP,Greg Toy,05 Lotus/Elise,46.660, ,50.688,(2),46.837, ,47.786, ,46.660, ,39.754, ,880,,
19,TO,DSP,John Lawson,96 Dodge/Neon,49.589, ,48.834, ,48.145, ,52.199,(4),48.145, ,39.912, ,877,,
20,TO,SM2,Jeremy Stein,71 Datsun/240Z,50.019,(2),47.086, ,46.954, ,46.830, ,46.830, ,39.993, ,875,,
21,TO,STU,Chris Sugar,06 Subaru/STi,50.623,(2),49.757,(2),48.910,(2),49.089,(2),48.910, ,40.106, ,873,,
22,TO,DS,Scott Douglas,06 Subaru/WRX,54.600,(2),50.386, ,50.505, ,53.454,(4),50.386, ,40.208, ,870,,
23,TO,AS,Stuart Anderson,04 Porsche/Boxster,50.449, ,50.270, ,56.009,(4),51.466, ,50.270, ,41.774, ,838,,
24,TO,ASP,Andreas Georgiades,05 Lotus/Elise,51.699, ,49.495, ,49.054, ,49.216, ,49.054, ,41.794, ,837,,
25,TO,SM,Chris Parks,97 firebird/trans am,DNF, ,54.740,(2),53.748,(2),DNS, ,53.748, ,45.417, ,771,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
