The Spring series for 2006 is a best 3 out of 4 event series.,,,,,,,
Note that the first April event was an SSCC event that also counted for this series.,,,,,,,
OPEN CLASSES,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,APR,,
(SSCC) ,APR ,TOTAL,,,,,
7,ESP,Matt Evans,850,821, ,856,2527
8,HS,Sheila Rigg,810,810,803,850,2470
9,AS,Mark Wilson,781,791, ,828,2400
10,SS,Jason Weiss,847,870, , ,1717
11,DSP,Miguel Snyder, ,857,859, ,1716
12,GS/STX,Scott Taylor,839,866, , ,1705
13,HS,Robert Morse,894, , , ,894
14,AS,Chris Sugar, , , ,871,871
15,SS,Troy Bilse, , , ,866,866
16,ES,Mike Woodard, , , ,861,861
17,STS,Matt Leavy, , ,854, ,854
18,ESP,Braden Mc Grew, , ,853, ,853
19,DS,Scott Douglas, , , ,851,851
20,HS,Chris Elofson, , , ,851,851
21,GS,Chester Kingsbury, ,842, , ,842
22,SS,Dusten Salinas,841, , , ,841
23,HS,Christopher Nickols, , ,837, ,837
24,GS,Michael Cirello, , , ,827,827
25,CS,Adam Spohleder, ,823, , ,823
26,ES ,Steve Thomas, ,822, , ,822
27,HS,Christopher Elofson, , ,821, ,821
28,ES,Mike King, , , ,820,820
29,HS,Genaro Serrano, ,801, , ,801
30,SM2,Tommy Olsen, , , ,794,794
31,AS,Nigel Flahart, , , ,794,794
32,CSP/CP,Michael Starr,789, , , ,789
33,DS,Aaron Wilson, ,786, , ,786
34,STS,William Molina, , ,782, ,782
35,STX,Charles Allen, , ,782, ,782
36,STX,Matthew Mason, , ,781, ,781
37,CP,Justin Jaiber,773, , , ,773
38,STU,Sara Stigler, , ,734, ,734
39,CS,James Kendler,726, , , ,726
40,SM2,Randy Price, , ,456, ,456
