"Here are the results! We had 67 competitors for the Event, and 38 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
5,ladies,F125,Ronda Smith,Top Cart,70.537,(2),65.384, ,62.919, ,62.919,33,58.955,63,805,,,,
1,novice,STU,Scott Douglas,06 Subaru/WRX,67.672,(2),65.066, ,64.705, ,64.705,42,53.058,39,894,,,,
2,novice,ES,Roger Velasco,06 nissan/sentra,68.746,(2),65.902, ,66.735, ,65.902,47,53.117,40,893,,,,
3,novice,STS,David Salazar,02 Volkswagen/Jetta,66.844, ,67.977, ,67.978,(2),66.844,51,53.275,41,890,,,,
4,novice,DS,Tom Fellows,05 BMW /325i,68.686, ,67.094, ,67.300, ,67.094,52,53.541,42,886,,,,
5,novice,STS,Tyler Powell,97 saturn/SL2,73.073,(2),70.427, ,67.328, ,67.328,54,53.660,43,884,,,,
6,novice,GS,Ruben Pacheco,00 toyota/celica,73.108,(2),70.086, ,70.090, ,70.086,62,55.648,54,852,,,,
7,novice,FS,Matthew White,06 ford/mustang GT,72.316,(2),71.786,(4),99.435,(30),71.786,63,57.788,60,821,,,,
8,novice,ASP,Andreas Georgiades,05 Lotus/Elise,68.688, ,DNF, ,88.876,(22),68.688,58,58.522,62,811,,,,
9,novice,GS,Joey Chen,00 Mitsubishi/Eclipse,80.504, ,82.998,(4),75.292, ,75.292,66,59.782,65,794,,,,
10,novice,STS,Kristen Lordi,00 Mitsubishi/Eclipse,75.403, ,75.612, ,97.183,(22),75.403,67,60.096,66,789,,,,
1,street,SS,Greg Toy,05 Lotus/Elise,68.970,(4),61.993, ,62.494, ,61.993,27,52.074,28,911,,,,
2,street,AS,Stuart Anderson,04 Porsche/Boxster,70.507, ,64.670,(2),62.681, ,62.681,29,52.088,29,911,,,,
3,street,DS,Amro Habib,05 INFINITI/G35 SEDAN,69.914,(4),65.364, ,66.447,(2),65.364,45,52.160,30,909,,,,
4,street,DSP,John Lawson,96 Dodge/Neon,63.113, ,64.924, ,64.063, ,63.113,35,52.321,34,907,,,,
5,street,DS,Chris Donato,01 BMW 330 CI,71.890,(4),66.736, ,66.441, ,66.441,50,53.020,38,895,,,,
6,street,SM,Matt Evans,98 Ford/Mustang,66.398, ,63.891, ,64.790, ,63.891,37,53.988,47,879,,,,
7,street,DS,Rob Michaels,03 Subaru WRX,72.243,(2),67.836,(2),68.720,(2),67.836,55,54.133,48,876,,,,
8,street,CSP,Zach Heidepriem,94 Mazda/Miata,66.374,(2),91.392,(26),64.719, ,64.719,43,54.235,52,875,,,,
9,street,SM2,Siho Lee,00 Toyota/MR2 Spyder,83.813,(20),63.906, ,66.704,(2),63.906,38,54.576,53,869,,,,
10,street,AS,James Kendler,02 Porsche Boxster S/,81.364,(4),71.314, ,69.510, ,69.510,60,57.763,59,821,,,,
1,TO,SS,David Rock,01 Chevrolet/Corvette Z06,58.590,(2),56.018, ,55.791, ,55.791, ,46.864, ,1012,,,,
2,TO,DM,Mark Huffman,65 Lotus/Elan,60.431,(4),53.132, ,53.903, ,53.132, ,47.022, ,1009,,,,
3,TO,SS,Newton Johnson,04 Corvette/Z06,58.276, ,62.602,(4),56.866, ,56.866, ,47.767, ,993,,,,
4,TO,ASP,Dave Mccombs,6 CHEVY/CORVETTE,58.290,(2),58.110,(2),56.394, ,56.394, ,48.048, ,987,,,,
5,TO,STX,Mike Quigley,02 subaru/wrx,60.727, ,59.988, ,62.436,(2),59.988, ,48.230, ,984,,,,
6,TO,ASP,Joel Schotz,06 Chevrolet/Corvette Z06,76.954,(20),57.540, ,60.443,(2),57.540, ,49.024, ,968,,,,
7,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,65.204,(2),61.619, ,61.853, ,61.619, ,49.110, ,966,,,,
8,TO,ASP,Mindi Cross,65 Lotus/Elan,69.820,(4),62.172,(4),57.921, ,57.921, ,49.349, ,961,,,,
9,TO,HS,David Webb,01 Ford/Focus,64.550,(2),63.972, ,72.687,(10),63.972, ,49.898, ,951,,,,
10,TO,SM2,Mark Eddy,71 datsun/,59.087, ,60.608,(2),58.454, ,58.454, ,49.920, ,950,,,,
11,TO,AS,Stuart Anderson,04 Porsche/Boxster,62.992, ,61.684, ,60.948, ,60.948, ,50.648, ,937,,,,
12,TO,STU,Chris Sugar,06 Subaru/STi,64.888,(2),62.219, ,64.393,(2),62.219, ,51.020, ,930,,,,
13,TO,EM,Tom Hill,88 Pontiac/Cadero,62.967,(6),80.614,(22),57.913, ,57.913, ,51.021, ,930,,,,
14,TO,STU,Chris Groppi,04 Subaru/WRX STi,66.633,(4),62.397, ,63.638,(2),62.397, ,51.166, ,927,,,,
15,TO,ASP,Paul Morel,98 Porsche/Boxster,61.061, ,60.193, ,60.144, ,60.144, ,51.243, ,926,,,,
16,TO,DS,Amro Habib,05 INFINITI/G35 SEDAN,64.613, ,64.645, ,64.251, ,64.251, ,51.272, ,925,,,,
17,TO,STS,Erich Eikenberry,00 Honda /Civic Si,64.719, ,67.104,(4),68.924,(6),64.719, ,51.581, ,920,,,,
18,TO,SM2,Larry Petrucci,86 chevrolet/Corvette,61.350,(2),65.441,(2),81.005,(22),61.350, ,52.393, ,905,,,,
19,TO,STS,David Salazar,02 VW Jetta,65.741, ,70.172,(4),72.321, ,65.741, ,52.396, ,905,,,,
20,TO,DSP,John Lawson,96 Dodge/Neon,63.275, ,DNS, ,67.549,(2),63.275, ,52.455, ,904,,,,
21,TO,ES,Roger Velasco,06 nissan/sentra,65.486, ,66.593,(2),65.111, ,65.111, ,52.479, ,904,,,,
22,TO,STS,Jacob Treguboff,01 Mitsubishi Eclipse,67.639, ,70.753,(4),66.545, ,66.545, ,53.036, ,894,,,,
23,TO,SM2,Siho Lee,00 Toyota/MR2 Spyder,64.766,(4),62.976,(2),84.372,(22),62.976, ,53.782, ,882,,,,
24,TO,STU,Scott Douglas,06 Subaru/WRX,65.638,(2),66.954, ,70.622, ,65.638, ,53.823, ,881,,,,
25,TO,GS,Chris Sparling,02 Saab /9-3,70.707,(2),67.823, ,68.686, ,67.823, ,53.851, ,881,,,,
26,TO,DS,Rob Michaels,03 Subaru WRX,68.053, ,67.993,(2),86.070,(24),67.993, ,54.258, ,874,,,,
27,TO,FP,Enrique Aviles,82 Mazda/RX-7,63.495, ,63.656, ,63.539, ,63.495, ,54.796, ,866,,,,
28,TO,ASP,Jamal Brewer,90 Nissan/300ZX,64.565,(2),65.664,(4),65.425,(4),64.565, ,55.009, ,862,,,,
